channel,b0_mse,future_oracle_mse,correction_oracle_mse,gain_future_vs_b0,gain_correction_vs_b0,future_mean_rank,correction_mean_rank,future_ndcg10,correction_ndcg10,future_margin_abs,correction_margin_abs,correction_beats_future
0,1.449566398588645,0.21085766570287004,0.1817552225808053,1.238708732885775,1.2678111760078399,757.7535,632.146,0.5239470572918653,0.5127390771731735,0.008380787219852208,0.005730901058763266,True
1,0.32449047963359556,0.0778108431480018,0.0770307308797491,0.24667963648559377,0.24745974875384646,751.66,2172.715,0.5724989682659507,0.6595446582362056,0.003603864435106516,0.002433680832386017,True
2,1.537129774698592,0.19694298557861348,0.1748130274988947,1.3401867891199784,1.362316747199697,990.593,703.873,0.5186362938433886,0.5164362048208714,0.00971423614770174,0.0063888015374541285,True
3,0.2701080997570912,0.06573739261112835,0.0664999407759011,0.20437070714596287,0.2036081589811901,839.3255,3218.556,0.5638796917870641,0.7207782470956444,0.003220788408070803,0.0021246921569108962,False
4,0.7303896908842825,0.12948444944024443,0.12558860787369405,0.6009052414440381,0.6048010830105884,612.492,1013.349,0.6103244753703475,0.6660196020007133,0.0024691574946045874,0.002068489709869027,True
5,0.15847744358060317,0.03716699523056502,0.03858931163344855,0.12131044835003815,0.11988813194715461,2776.3315,3427.5845,0.9238293907642364,0.9309722456932068,0.0005773608665913344,0.000544658001512289,False
6,0.05696242515517166,0.0032381734262899964,0.0032447937414504897,0.053724251728881664,0.05371763141372117,3820.311,5022.2535,0.8789650844931602,0.8841442837715149,0.00030637459037825463,0.0002224408535985276,False
