epoch,drift_l2_mean,cosine_to_b0_mean,embedding_pairwise_cosine_mean,embedding_pairwise_cosine_std,embedding_variance,embedding_dimension_std_mean,embedding_effective_rank,embedding_effective_rank_ratio,embedding_dead_dimension_fraction
1,0.8260630369186401,0.6503355503082275,0.9931730031967163,0.007153539918363094,5.312882422003895e-05,0.006594313774257898,2.9626076221466064,0.023145372048020363,0.0
2,0.8349205255508423,0.643197774887085,0.993169903755188,0.009359808638691902,5.3152296459302306e-05,0.006277905777096748,2.2944765090942383,0.017925597727298737,0.0
3,0.8477983474731445,0.6320161819458008,0.988074004650116,0.016409561038017273,9.280871745431796e-05,0.00813108030706644,1.8917343616485596,0.014779174700379372,0.0
4,0.8821097612380981,0.6027593612670898,0.9546209573745728,0.07579566538333893,0.00035313976695761085,0.013704647310078144,1.4671052694320679,0.01146175991743803,0.0
5,0.910563588142395,0.5775390863418579,0.9302099347114563,0.10724309831857681,0.0005431058816611767,0.01621447689831257,1.4553396701812744,0.011369841173291206,0.0
6,0.9307606220245361,0.5594331622123718,0.91498863697052,0.13897205889225006,0.0006615581223741174,0.01740969717502594,1.4946039915084839,0.01167659368366003,0.0
