epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_loss,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_pred_rank_mean,train_selected_individual_future_mse,train_spearman,train_top10_acc,train_top1_acc,train_top1_top2_margin_mean,train_top5_acc,train_train_prefix_aggregate_future_mse,val_expert_containment_at_10,val_expert_rank_median,val_expert_regret_mean,val_free_running_aggregate_future_mse,val_ndcg_at_10,val_oracle_action_acc,val_spearman
1,1.8781513599923545,0.0,53.06793212890625,1.0,2.5177680385013446e-08,0.19868718409933872,False,0.08492816239595413,0.056856002658605576,0.06111592426896095,0.4100721120675461,0.4160590389184033,0.010865902964959569,0.07601078167115903,0.044289083557951484,0.10830935097275668,874.1556772237196,402.8242587601078,0.5179806165658238,5.849500863057263,8070.324528301887,0.9651715806231023,0.010865902964959569,230.61324123989218,0.6695429675180635,0.22392747915080716,0.19911219676549866,0.027099056603773587,0.017343328728697028,0.11588106469002696,0.3817473929003885,0.22890625,142.87110389610388,0.2208905320835312,0.7116541235622427,0.671647978634513,0.030554991883116882,0.16412608771447926
2,1.5921620601089634,0.0,56.54889678955078,1.0,2.8056549083999016e-08,0.256652280732902,False,0.08565051853656769,0.042620208114385605,0.054172638803720474,0.3849379126655704,,0.013712938005390836,0.08923517520215633,0.051869946091644206,0.10078182654761875,813.4168295148248,351.977897574124,0.5179312737241909,5.482052810237093,8070.324528301887,0.9653159606488888,0.013712938005390836,163.66711421832883,0.6692843457558406,0.15525865329983068,0.2467435983827493,0.03459400269541779,0.016397845626857654,0.14557951482479783,0.375308693905243,0.24796570616883118,131.0399350649351,0.22122791876227224,0.7187462455620519,0.6687658535147254,0.03310673701298701,0.1579651759721717
3,1.5233021189515499,0.0,58.0122184753418,1.0,2.9626496811374636e-08,0.3006603716657277,False,0.08574390411376953,0.04303566738963127,0.053742676973342896,0.3825342206112684,,0.013022237196765499,0.09172843665768195,0.052981805929919135,0.099808536671702,805.5647574123989,336.43180592991916,0.5196565029053193,5.402394555649668,8070.324528301887,0.9652785398568104,0.013022237196765499,154.5585680592992,0.6713232103223107,0.14812808632339533,0.2630340296495957,0.03704346361185984,0.016280280506819476,0.15506064690026955,0.3761437968263086,0.2516081574675324,133.36152597402597,0.22002852103686527,0.7164857656078923,0.66780803254866,0.03329443993506494,0.15791265815083574
4,1.4751537978740494,0.0,59.426605224609375,1.0,2.7932127721896904e-08,0.3390197464666587,False,0.08571604639291763,0.04446098208427429,0.048937682062387466,0.38527001178510534,,0.012921159029649595,0.09223382749326145,0.05249326145552561,0.09929367449470969,801.3997473045822,336.577897574124,0.5227794914112258,5.36204599524444,8070.324528301887,0.9652385552938415,0.012921159029649595,149.07751179245284,0.6741011944421218,0.1484152186465439,0.2704262129380054,0.03825471698113207,0.016774282668512615,0.160419474393531,0.3800759960056315,0.263179788961039,129.88847402597406,0.22799380721241636,0.7224477093913297,0.6661691628202989,0.03538453733766234,0.16003545769839428
5,1.4378311809849156,0.0,59.71609115600586,1.0,3.156189265496323e-08,0.37376913342275225,False,0.08536547422409058,0.05178651586174965,0.051729053258895874,0.3791782795003036,0.4224261144194757,0.013460242587601078,0.09439016172506738,0.05525606469002695,0.09889458196320523,798.1864892183288,331.23018867924526,0.5185993489390114,5.3285972253331595,8070.324528301887,0.9654614822562493,0.013460242587601078,146.14037904312667,0.6700784813923977,0.1499100515681915,0.27705357142857145,0.03941374663072776,0.016131680413109133,0.16423685983827493,0.37626430390257076,0.2690594561688312,123.89285714285714,0.22936074046316768,0.7262220441039616,0.663968110253865,0.03661221590909091,0.161268643280032
6,1.4049895458156336,0.0,60.96308898925781,1.0,2.9626496811374636e-08,0.40455165896428164,False,0.08517517149448395,0.057837892323732376,0.04658932611346245,0.3767689720401281,,0.01443733153638814,0.09600741239892183,0.05672169811320755,0.09769434019436211,788.4955020215633,319.76064690026953,0.5174858846794563,5.288548214030715,8070.324528301887,0.9656377321626298,0.01443733153638814,140.82980626684636,0.6690606760609182,0.14645106739381242,0.28588274932614555,0.041393194070080866,0.01612294127006144,0.17096529649595688,0.3762745716460953,0.27877435064935063,121.07207792207791,0.22481333449794366,0.7217874500439025,0.6627798770010085,0.03863636363636363,0.16738634132589517
