epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_gap_1_10,train_gap_1_2,train_loss,train_multipos_loss,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_positive_count_max,train_positive_count_mean,train_positive_count_median,train_pred_rank_mean,train_selected_individual_future_mse,train_spearman,train_top10_acc,train_top1_acc,train_top1_in_positive_rate,train_top1_top2_margin_mean,train_top5_acc,train_train_prefix_aggregate_future_mse,val_expert_containment_at_10,val_expert_rank_median,val_expert_regret_mean,val_free_running_aggregate_future_mse,val_ndcg_at_10,val_oracle_action_acc,val_spearman
1,1.6137730289249534,0.0,55.233333587646484,1.0,2.639337992604851e-08,0.20087274580102044,False,0.08599995076656342,0.03641519322991371,0.05774250626564026,0.3525220117459957,0.41768706831980756,0.011455525606469003,0.0771900269541779,0.0444743935309973,0.11155647288077834,900.3599056603773,407.9584905660377,0.5188559096818665,0.056588175220682206,0.017142151620239857,4.884784891020577,4.592146112776759,8070.324528301887,0.9650693450012618,0.011455525606469003,6.048936807427373,2.9710916442048516,2.7950883498053307,899.3599056603773,0.6704182622808652,0.19533166844269714,0.0771900269541779,0.011455525606469003,1.0,0.018585587956508335,0.0444743935309973,0.3812159160478417,0.22756189123376624,149.49334415584414,0.22162276353821606,0.7121045138458544,0.6717326576446557,0.030281047077922073,0.15016093482551962
2,1.3562561374091224,0.0,58.490413665771484,1.0,3.089266087386022e-08,0.2593768750334012,False,0.08610263466835022,0.03601811081171036,0.0508304201066494,0.3235807657702337,,0.013392857142857142,0.0892688679245283,0.051768867924528304,0.10461666851804649,844.3783018867924,350.92183288409706,0.5145585475464394,0.052723432338190455,0.016126791827211072,4.550889599998042,4.239037369467892,8070.324528301887,0.9652702506019099,0.013392857142857142,6.0285115303983225,2.9575116052710393,2.7838274932614557,843.3782850404313,0.6659116192166054,0.14086529127411135,0.0892688679245283,0.013392857142857142,1.0,0.018555777349554485,0.051768867924528304,0.37482552634416566,0.2473823051948052,137.4439935064935,0.22522161861423512,0.7242271817429504,0.6684282284326755,0.03281250000000001,0.14291586939525266
3,1.3089799955335812,0.0,60.73873519897461,1.0,2.54528540466481e-08,0.30465939407225356,False,0.08581617474555969,0.04341043159365654,0.049054063856601715,0.3277690732881959,,0.012803234501347708,0.09268867924528301,0.05325134770889488,0.10386015939095743,838.276364555256,338.711051212938,0.515241642567427,0.05228276823857349,0.01597365073933048,4.475852260949477,4.1590437467671615,8070.324528301887,0.9653398873349727,0.012803234501347708,6.028811021263851,2.965792527702905,2.785265049415993,837.276364555256,0.6669083490043959,0.13294196961641438,0.09268867924528301,0.012803234501347708,1.0,0.018578463441609454,0.05325134770889488,0.37591163006352607,0.2471996753246753,139.36704545454543,0.22318688037543702,0.7200852493909108,0.6680947004684381,0.03285308441558442,0.1480788895879714
4,1.269434625232352,0.0,61.460628509521484,1.0,2.6525018625989105e-08,0.3433757537162398,False,0.08602118492126465,0.03925994783639908,0.04735855385661125,0.32168706418946563,,0.013173854447439353,0.09268867924528301,0.053369272237196765,0.10319624688649535,832.9013814016173,340.1008086253369,0.5197659387702569,0.05310994264970674,0.016556121845683346,4.441961283053992,4.123030713233594,8070.324528301887,0.9653028965960294,0.013173854447439353,6.01749026654687,2.960734875711291,2.7889787361485476,831.9013814016173,0.6710876403150533,0.13143191830145853,0.09268867924528301,0.013173854447439353,1.0,0.018588049686890387,0.053369272237196765,0.3805606367533419,0.25711241883116887,132.98993506493508,0.2441118291087067,0.7416776138683865,0.6644302140727832,0.03454748376623377,0.14619008412501105
5,1.2418618293205723,0.0,62.45206832885742,1.0,2.4189933611751258e-08,0.37796544319420544,False,0.08586341887712479,0.04337897524237633,0.04563796520233154,0.32004398764858616,0.43048099060257444,0.013106469002695418,0.0949966307277628,0.05505390835579515,0.10307393897264554,831.9317216981132,330.17520215633425,0.5126541091987707,0.051951246806840164,0.015920881866222217,4.404956725858293,4.083697840309886,8070.324528301887,0.965449059844981,0.013106469002695418,6.0228811021263855,2.9604653339323153,2.783048817011081,830.9317216981132,0.6641332407604973,0.13305603157017584,0.0949966307277628,0.013106469002695418,1.0,0.018553258919199764,0.05505390835579515,0.37632293111551807,0.2647270698051948,130.91834415584415,0.240430636898548,0.7386472618852741,0.6619846741874496,0.03686079545454546,0.14437211105664913
6,1.225552010219811,0.0,63.013031005859375,1.0,2.5725086061356706e-08,0.4100540093116395,False,0.08494877815246582,0.0664002001285553,0.043554965406656265,0.316457515724002,,0.01413409703504043,0.0976078167115903,0.05668800539083558,0.10163176942571515,820.2845518867924,321.6323450134771,0.5145907353318605,0.05176648517256682,0.015887949931652566,4.366179037993809,4.045081573805076,8070.324528301887,0.9655857003924018,0.01413409703504043,6.01874812818209,2.9580937406409102,2.780772686433064,819.2845518867924,0.6661655252834536,0.13594564731081593,0.0976078167115903,0.01413409703504043,1.0,0.018679372456948954,0.05668800539083558,0.3770777278833312,0.2709872159090909,124.46006493506495,0.2281641288432928,0.7325980105975495,0.6584639852503678,0.03795657467532468,0.15831230380702904
