epoch,train_loss,val_base_mae,val_base_mse,val_counterfactual_lambda0_mse,val_counterfactual_lambda1_mse,val_final_mae,val_final_mse,val_gate_gt_0.10,val_gate_gt_0.50,val_gate_gt_0.98,val_gate_lt_0.02,val_gate_max,val_gate_mean,val_gate_median,val_gate_min,val_gate_p10,val_gate_p25,val_gate_p75,val_gate_p90,val_gate_std,val_projected_retrieval_branch_mae,val_projected_retrieval_branch_mse,val_raw_retrieval_aggregate_mae,val_raw_retrieval_aggregate_mse
1,0.39828000507264766,0.638611489813114,0.873864033866909,0.873864033866909,0.8083497355858098,0.55304750711722,0.682356026629826,0.9949730634689331,0.07073608785867691,0.0,0.0006155424634926021,0.7237745523452759,0.4062073826789856,0.4156875014305115,0.0056248134933412075,0.31526902318000793,0.36968836188316345,0.448938250541687,0.48094287514686584,0.07860881835222244,0.6145116418755502,0.8083497355858098,0.6145116387447394,0.8083497303677918
2,0.3593101345143228,0.616446335580478,0.8206742270457354,0.8206742270457354,0.8083497355858098,0.5522222737099275,0.6829706037269756,0.9942036271095276,0.00010259040573146194,0.0,0.0006668376736342907,0.5108633041381836,0.3405472934246063,0.3522893488407135,0.004854993429034948,0.25755372643470764,0.3064022660255432,0.3857510983943939,0.40452811121940613,0.061813198029994965,0.6145116418755502,0.8083497355858098,0.6145116387447394,0.8083497303677918
3,0.3520340085029602,0.5989219744449865,0.7800067196363586,0.7800067196363586,0.8083497355858098,0.54627797784811,0.6766839297844873,0.9924083352088928,0.007899461314082146,0.0,0.0009233136661350727,0.5655783414840698,0.33203235268592834,0.339528888463974,0.003394666127860546,0.2582207918167114,0.30235612392425537,0.3646641671657562,0.3914776146411896,0.06295490264892578,0.6145116418755502,0.8083497355858098,0.6145116387447394,0.8083497303677918
4,0.3484421119375049,0.5977356596238452,0.7798866067165451,0.7798866067165451,0.8083497355858098,0.5431389311557041,0.6704793862545604,0.9921005368232727,0.0014875609194859862,0.0,0.0005129520432092249,0.5443697571754456,0.3096725642681122,0.31629398465156555,0.007486471440643072,0.23046272993087769,0.28050458431243896,0.3438760042190552,0.37965482473373413,0.0628921240568161,0.6145116418755502,0.8083497355858098,0.6145116387447394,0.8083497303677918
5,0.3467008606442865,0.5924908820549586,0.7683550781578735,0.7683550781578735,0.8083497355858098,0.543839751735471,0.6685951624913756,0.9800461530685425,5.129520286573097e-05,0.0,0.0022056938614696264,0.5105461478233337,0.26183590292930603,0.2723366618156433,0.0015231674769893289,0.16931340098381042,0.22320270538330078,0.3069666028022766,0.3328031897544861,0.06769149005413055,0.6145116418755502,0.8083497355858098,0.6145116387447394,0.8083497303677918
6,0.3454526460395669,0.5913631483236012,0.7662533566107289,0.7662533566107289,0.8083497355858098,0.5436440317082673,0.6719553595640175,0.9884072542190552,0.003026416990906,0.0,0.0011797896586358547,0.5570524334907532,0.28371188044548035,0.28572046756744385,0.0038566195871680975,0.19492152333259583,0.24469073116779327,0.31952965259552,0.3704270124435425,0.07326517254114151,0.6145116418755502,0.8083497355858098,0.6145116387447394,0.8083497303677918
7,0.3456250805899782,0.5873447353802981,0.7575475419292269,0.7575475419292269,0.8083497355858098,0.5378084254487004,0.6596633647622905,0.9874839782714844,0.006668376736342907,0.0,0.0017440369119867682,0.6065093278884888,0.2788359224796295,0.28205442428588867,0.0026689108926802874,0.20230241119861603,0.24701695144176483,0.3109808564186096,0.3455304801464081,0.06603701412677765,0.6145116418755502,0.8083497355858098,0.6145116387447394,0.8083497303677918
8,0.343557031255848,0.5761867291969938,0.7352217003821593,0.7352217003821593,0.8083497355858098,0.5449955242907398,0.6771969442113991,0.9853295683860779,0.0010259040864184499,0.0,0.0015901513397693634,0.5315231084823608,0.25883057713508606,0.26322808861732483,0.002653546631336212,0.1749732941389084,0.22358645498752594,0.29408496618270874,0.3331694006919861,0.06573847681283951,0.6145116418755502,0.8083497355858098,0.6145116387447394,0.8083497303677918
9,0.34284791727111025,0.5829721446892151,0.7502190535034065,0.7502190535034065,0.8083497355858098,0.5407719130188703,0.669126339012551,0.9810207486152649,0.003641959512606263,0.0,0.0026673506945371628,0.58058100938797,0.2548556923866272,0.25883644819259644,0.001673375372774899,0.17642071843147278,0.22094543278217316,0.28828150033950806,0.32304877042770386,0.06527441740036011,0.6145116418755502,0.8083497355858098,0.6145116387447394,0.8083497303677918
10,0.3424458236626859,0.5824715114612095,0.747135213131353,0.747135213131353,0.8083497355858098,0.5409675790069755,0.6681592188422024,0.980815589427948,0.0,0.0,0.0023595793172717094,0.4985414445400238,0.24499306082725525,0.24860818684101105,0.0019471787381917238,0.16572561860084534,0.20986485481262207,0.27970755100250244,0.32059797644615173,0.06373538076877594,0.6145116418755502,0.8083497355858098,0.6145116387447394,0.8083497303677918
