step,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,0.7492087702327347,0.006087662337662338,0.04352678571428571,0.024705762987012988,0.1274173280871292,1076.5490056818182,836.6347402597403,0.5582325429619326,,8449.0,0.9661744711073962,0.006087662337662338,0.7492087702327347,0.4032014612739756
2,0.5856381470651982,0.0038555194805194805,0.040584415584415584,0.02166193181818182,0.12680314930477904,1071.233005275974,827.7840909090909,0.5644449567627887,0.16357062326429725,8448.0,0.9662033205295538,0.0038555194805194805,0.7557112276312206,0.41782798208288413
3,0.5303895503234166,0.00492086038961039,0.03987418831168831,0.022118506493506492,0.126907394544672,1071.9867593344156,828.3068181818181,0.5823044832553956,0.05524859675387671,8447.0,0.9657339909440511,0.00492086038961039,0.77373131860483,0.41827343575185194
4,0.5000586949603317,0.004058441558441558,0.03875811688311688,0.021103896103896104,0.12697811747557944,1072.4571834415585,828.4594155844156,0.5846789053205836,0.0303308553630849,8446.0,0.9655925617009015,0.004058441558441558,0.7763244352823535,0.4183599952292791
5,0.47975403596284233,0.004312094155844156,0.03911323051948052,0.020545860389610388,0.127025857181122,1072.7333603896104,828.5957792207793,0.5829630117839226,0.020304658997489455,8445.0,0.965475487534876,0.004312094155844156,0.7747721678468508,0.41833997518500166
6,0.4660472736479231,0.004667207792207792,0.03911323051948052,0.020647321428571428,0.1271073712956753,1073.294642857143,829.8831168831168,0.5930524550109206,0.013706762314919237,8444.0,0.965037056764999,0.004667207792207792,0.7850235434197639,0.4182951977403743
7,0.45646513606249295,0.003956980519480519,0.03875811688311688,0.01958198051948052,0.1271746224903671,1073.7353388798701,829.8717532467532,0.6004002393773672,0.009582137585430127,8443.0,0.9648045253056985,0.003956980519480519,0.7925524605686063,0.41821348268227737
8,0.44978400789558065,0.004312094155844156,0.03799715909090909,0.019784902597402596,0.12723177606005573,1074.0906554383116,831.25,0.6121401408015956,0.006681128166912293,8442.0,0.9645661095326598,0.004312094155844156,0.8044415420743746,0.41814320728812615
9,0.44406780560255993,0.0038555194805194805,0.037134740259740256,0.019784902597402596,0.12725208981670197,1074.1348924512988,831.0892857142857,0.609808096752877,0.005716202293020709,8441.0,0.9645376780203411,0.0038555194805194805,0.8022832340113335,0.4180639539624337
10,0.4395287813537137,0.003956980519480519,0.036728896103896104,0.019023944805194804,0.12730667600691675,1074.468344155844,831.0146103896104,0.6181256280389505,0.004539024248846214,8440.0,0.964315885847265,0.003956980519480519,0.8107626477208036,0.4179876201280847
