step,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,0.7235515276998185,0.006239853896103896,0.05179586038961039,0.026430600649350648,0.11992309284970987,1013.2302150974026,799.3181818181819,0.5325752999573076,,8449.0,0.9689328966589718,0.006239853896103896,0.7235515276998185,0.491999633501434
2,0.5754444660171383,0.005073051948051948,0.045454545454545456,0.026582792207792208,0.1184251849377428,1000.4559659090909,790.1737012987013,0.5527458033984067,0.1481070616826802,8448.0,0.9684052476054662,0.005073051948051948,0.7440021944341141,0.5241929767860521
3,0.5256942495576699,0.006087662337662338,0.044642857142857144,0.026278409090909092,0.1184448988438675,1000.5040584415584,789.8051948051948,0.565968382461057,0.049750216459468394,8447.0,0.9680153868802182,0.006087662337662338,0.7574570651344543,0.5246813011748698
4,0.49755010470844707,0.006747159090909091,0.04210633116883117,0.024350649350649352,0.11858289023212501,1001.5510856331168,792.711038961039,0.5645393075953636,0.028144144849222782,8446.0,0.9678212545521847,0.006747159090909091,0.7563538114697516,0.5247688277138068
5,0.4806859040052279,0.0034496753246753245,0.03941761363636364,0.021814123376623376,0.11872030639992241,1002.5929890422078,794.349025974026,0.5686915663672708,0.01686420070321916,8445.0,0.967632093793386,0.0034496753246753245,0.7608057292550198,0.524777892796627
6,0.4695354923394255,0.005377435064935065,0.040280032467532464,0.022980925324675324,0.1187320354900341,1002.5733056006494,794.6737012987013,0.583604791726276,0.011150411665802459,8444.0,0.9672751582481645,0.005377435064935065,0.7758268065941096,0.5247428844147874
7,0.4615601091978273,0.004971590909090909,0.03987418831168831,0.020900974025974024,0.1188231940716112,1003.2242288961039,795.5535714285714,0.5878995756872676,0.007975383141598144,8443.0,0.9671496839879395,0.004971590909090909,0.7803176177133407,0.5246999573764284
8,0.45510296161322816,0.003956980519480519,0.037489853896103896,0.019886363636363636,0.11889231527131958,1003.6889204545455,795.8344155844156,0.5905719272030349,0.006457147584599141,8442.0,0.9670027800194629,0.003956980519480519,0.7831664905798706,0.5246421620238808
9,0.4496131659116499,0.004819399350649351,0.036881087662337664,0.019734172077922076,0.11893137654232151,1003.8997564935065,795.8376623376623,0.5905853821049359,0.0054897957015782595,8441.0,0.9668716246431525,0.004819399350649351,0.7833085183973436,0.5245817566548293
10,0.4451303545857308,0.004159902597402597,0.037388392857142856,0.019328327922077924,0.11895860779188368,1004.0106534090909,795.7662337662338,0.5893212895501744,0.004482811325919125,8440.0,0.9667550427960111,0.004159902597402597,0.7822220253504135,0.5245194808708102
