b1_global_mse,b1_oracle_mse,b2_global_mse,b2_oracle_mse,b3_global_mse,b3_oracle_mse,block1_regret,block2_regret,block3_regret,block_mse,delta_block_vs_global,global10_mse,global30_mse,globalU_mse,overlap_b1_b2,overlap_b1_b3,overlap_b2_b3,overlap_g_b1,overlap_g_b2,overlap_g_b3,query_id,rank_b1_of_b3,rank_b3_of_b1,rank_g_of_b1,rank_g_of_b3,relative_gain_block_vs_global,split,unique_u
0.04046578332781792,0.007834241725504398,0.08166970312595367,0.02779177576303482,0.26894447207450867,0.23504292964935303,0.03263154160231352,0.053877927362918854,0.03390154242515564,0.13566473126411438,0.040390998125076294,0.17605572938919067,0.1606219857931137,0.1606219857931137,0.0,0.0,0.0,0.0,0.009523809887468815,0.1428571492433548,0,10112.0087890625,9006.181640625,6675.52880859375,1690.48583984375,0.2294216624770417,train,30.0
0.03906576707959175,0.00855084229260683,0.07954256981611252,0.028136780485510826,0.26637569069862366,0.23726722598075867,0.03051492478698492,0.05140578933060169,0.02910846471786499,0.13706155121326447,0.03672845661640167,0.17379000782966614,0.15994080901145935,0.15994080901145935,0.0,0.0,0.0,0.0,0.009523809887468815,0.17142856121063232,1,10256.748046875,8563.1953125,6459.02392578125,1679.281005859375,0.21133813776221078,train,30.0
0.038456786423921585,0.0095062842592597,0.08127672225236893,0.02881520427763462,0.2701936960220337,0.23623310029506683,0.028950502164661884,0.052461517974734306,0.03396059572696686,0.13686354458332062,0.039459556341171265,0.17632310092449188,0.15776929259300232,0.15776929259300232,0.0,0.0,0.0,0.0,0.0,0.17142857611179352,2,9859.576171875,8878.7421875,6466.14306640625,1539.7191162109375,0.22379118864333786,train,30.0
0.036686427891254425,0.008741320110857487,0.08093109726905823,0.03012402355670929,0.2680610418319702,0.23327068984508514,0.02794510778039694,0.05080707371234894,0.03479035198688507,0.13561786711215973,0.03921656310558319,0.17483443021774292,0.16118936240673065,0.16118936240673065,0.0,0.0,0.0,0.0,0.0,0.19999998807907104,3,10372.8623046875,9077.8330078125,6244.8291015625,1983.390625,0.22430686596880237,train,30.0
0.034803878515958786,0.009097492322325706,0.07781118154525757,0.029487792402505875,0.2723798155784607,0.23566168546676636,0.02570638619363308,0.048323389142751694,0.036718130111694336,0.13672848045825958,0.03911834955215454,0.17584683001041412,0.15960785746574402,0.15960784256458282,0.0,0.0,0.0,0.0,0.004761904943734407,0.18571427464485168,4,10717.65234375,9876.8330078125,6703.53857421875,1754.9332275390625,0.22245695045988514,train,30.0
0.03781500831246376,0.009170510806143284,0.08730651438236237,0.03161771968007088,0.26164156198501587,0.2335740029811859,0.028644497506320477,0.05568879470229149,0.028067559003829956,0.13633477687835693,0.037351563572883606,0.17368634045124054,0.15869665145874023,0.15869614481925964,0.004761904943734407,0.0,0.0,0.0,0.004761904943734407,0.19523808360099792,5,10781.4853515625,10570.162109375,7237.890625,1828.2001953125,0.21505181971042459,train,29.952381134033203
0.0380076989531517,0.009034214541316032,0.09311894327402115,0.03857819363474846,0.2568562924861908,0.22669383883476257,0.02897348441183567,0.05454074963927269,0.030162453651428223,0.1349673569202423,0.0381300151348114,0.1730973720550537,0.16048604249954224,0.160494863986969,0.009523809887468815,0.0,0.0,0.0,0.004761904943734407,0.19523808360099792,6,10428.37109375,11036.857421875,7702.890625,1937.857177734375,0.22028072802101312,train,29.904762268066406
0.040376562625169754,0.008804894052445889,0.09809859842061996,0.03988329693675041,0.25249922275543213,0.2223300039768219,0.031571668572723866,0.05821530148386955,0.03016921877861023,0.13304440677165985,0.03970491886138916,0.172749325633049,0.16101671755313873,0.16101619601249695,0.004761904943734407,0.0,0.0,0.0,0.004761904943734407,0.190476194024086,7,10501.7724609375,10729.8623046875,7578.4287109375,2006.7667236328125,0.2298412379665645,train,29.952381134033203
0.04348104074597359,0.009375937283039093,0.11124090850353241,0.040801115334033966,0.2499765157699585,0.21912457048892975,0.034105103462934494,0.07043979316949844,0.030851945281028748,0.13171692192554474,0.044481679797172546,0.17619860172271729,0.16379700601100922,0.16380581259727478,0.009523809887468815,0.0,0.0,0.0,0.009523809887468815,0.19523808360099792,8,11026.6767578125,10503.12890625,6968.7197265625,1607.9287109375,0.25245194548804145,train,29.904762268066406
0.04313354194164276,0.009252761490643024,0.11454285681247711,0.03931158408522606,0.2487735003232956,0.214603990316391,0.03388078045099974,0.07523127272725105,0.0341695100069046,0.12879303097724915,0.047818273305892944,0.1766113042831421,0.1642111986875534,0.16421067714691162,0.004761904943734407,0.0,0.0,0.0,0.009523809887468815,0.20000001788139343,9,10811.609375,11095.4814453125,7402.59619140625,1908.4095458984375,0.27075431836022795,train,29.952381134033203
