epoch,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction
1,0.0,46.439571380615234,1.0,2.717364822046875e-08,0.1685226298103323,False,0.06954325735569,0.3424329161643982,0.08806494623422623
2,0.0,49.8370246887207,1.0,2.8303746901769955e-08,0.2267120192761799,False,0.0723363608121872,0.2968444526195526,0.08061083406209946
3,0.0,50.59663391113281,1.0,2.742880589323704e-08,0.2716429727889872,False,0.07229243963956833,0.29184195399284363,0.0772973820567131
4,0.0,52.49443817138672,1.0,2.5860126484644752e-08,0.31154341928782764,False,0.07395584881305695,0.2629428803920746,0.07115469127893448
5,0.0,53.27631759643555,1.0,2.717364822046875e-08,0.347141531100206,False,0.07432851195335388,0.2508385479450226,0.07153593748807907
6,0.0,55.09229278564453,1.0,2.6525018625989105e-08,0.3813115206604984,False,0.07508997619152069,0.2411574274301529,0.0679025650024414
7,0.0,55.87105941772461,1.0,2.5038959350354162e-08,0.41349808359605955,False,0.07394403964281082,0.25997522473335266,0.06448188424110413
8,0.0,56.056602478027344,1.0,2.2239458274952995e-08,0.4435797841355637,False,0.07576563209295273,0.22134745121002197,0.06646150350570679
9,0.0,56.873077392578125,1.0,2.345895033784018e-08,0.47124444077189337,False,0.07523560523986816,0.2331836074590683,0.06463738530874252
10,0.0,58.02193069458008,1.0,2.915244223800073e-08,0.4983597301378637,False,0.07543503493070602,0.23193328082561493,0.05914873629808426
