step,choice_ce,current_aggregate_mse,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,marginal_aggregate_improvement,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,7.197879600834537,0.6763083048334176,0.00968952922077922,0.07051542207792208,0.041548295454545456,0.09396360373620001,793.8984882305194,594.6266233766233,0.48533207918335863,,8449.0,0.9710217703666005,0.00968952922077922,0.6763083048334176,0.33244918124406375
2,7.237811607973916,0.549250175583769,0.009537337662337662,0.07224025974025974,0.04195413961038961,0.09809671356981506,828.7210328733767,620.3538961038961,0.49571100666260276,0.12705812924964863,8448.0,0.9711381649816191,0.009537337662337662,0.6871781231738724,0.37966376612629066
3,7.249998248629756,0.5055305642837827,0.010247564935064936,0.06529017857142858,0.03875811688311688,0.09843999956118951,831.5226765422078,612.5032467532468,0.512788686792475,0.04371961129998619,8447.0,0.9708528220653534,0.010247564935064936,0.7046309090884668,0.3898731024159725
4,7.2637419135539565,0.4820941309142229,0.007761769480519481,0.060775162337662336,0.03434456168831169,0.09882628995901187,834.6868405032468,609.4805194805194,0.5167943890835461,0.0234364333695599,8446.0,0.9708224794307312,0.007761769480519481,0.7091203088533472,0.3951937777192523
5,7.271863984984237,0.46688443953292325,0.010146103896103896,0.05869521103896104,0.03231534090909091,0.0992049037593744,837.7854099025974,612.336038961039,0.5179381435359042,0.01520969138129965,8445.0,0.9707566445524042,0.010146103896103896,0.710554521995016,0.398275863217914
6,7.281331183848443,0.45720725188745404,0.005580357142857143,0.056057224025974024,0.028307629870129872,0.09948811174238814,840.0776176948052,613.788961038961,0.522992710703863,0.0096771876454692,8444.0,0.9707275562278637,0.005580357142857143,0.715888803413549,0.4000889127293169
7,7.288351161913439,0.45001679586621557,0.006036931818181818,0.05554991883116883,0.030387581168831168,0.09981065416546439,842.7013494318181,615.7678571428571,0.5253364086731688,0.007190456021238457,8443.0,0.970618450506167,0.006036931818181818,0.7184244267575975,0.4013463225955264
8,7.294579477279218,0.44519765551093143,0.00588474025974026,0.05539772727272727,0.029677353896103896,0.10005737993310208,844.6844054383117,616.9772727272727,0.5309401298328847,0.0048191403552841445,8442.0,0.9704137321609956,0.00588474025974026,0.724219700418316,0.40225698111866426
9,7.2985471928274475,0.44135134093548084,0.006036931818181818,0.05742694805194805,0.029677353896103896,0.10032560935804496,846.8484679383117,616.9464285714286,0.5291110247482437,0.0038463145754505674,8441.0,0.9702649196827566,0.006036931818181818,0.7225842374413238,0.4028145485031092
10,7.304898707123546,0.4380692994772372,0.007457386363636364,0.056818181818181816,0.030590503246753248,0.10071582309239319,850.0415482954545,620.650974025974,0.5379491346501201,0.0032820414582436733,8440.0,0.9700079856367855,0.007457386363636364,0.7316281493608053,0.40306985583173505
