epoch,train_mse,val_mse,val_mae,val_has_nan
1,0.43884046172048796,0.7263608409225752,0.5656273175500709,False
2,0.37064691445773584,0.7012736669695152,0.5538354348104979,False
3,0.36417231542540096,0.7118762395336473,0.5547430426705299,False
4,0.36137321673916534,0.7080140298173357,0.5541772467851374,False
5,0.35990841618295616,0.7106633504231771,0.5531899437452266,False
6,0.35858409314314166,0.7070410020190181,0.5518485091533011,False
7,0.3581552065477694,0.7010027556783411,0.5491632161674881,False
8,0.3574661205528558,0.7051088188492947,0.5502580960836229,False
9,0.35693958029195055,0.7014536950306332,0.5504283796755424,False
10,0.3570579166510554,0.7073597972022271,0.5524686276061704,False
