step,chosen_normalized_regret,chosen_raw_regret,effective_positive_count,effective_positive_count_mean,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,informative_row_fraction,is_t0_hard_ce,n_valid_mean,ndcg_at_10,normalized_teacher_entropy,oracle_action_acc,pred_rank_mean,selected_individual_future_mse,spearman,student_entropy,student_entropy_mean,support_size,teacher_entropy,teacher_ess,top10_acc,top1_acc,top1_top2_margin_mean,top5_acc,topm_probability_mass,topm_probability_mass_mean
0,12.11816111457448,0.5223132769318939,9.451892574294275,,0.0015099789915966387,0.021970001237169533,0.01048103064893424,0.10370168305577382,746.7558196893259,568.7289915966387,0.5223132769318939,,1.0,7201.0,0.9616127860646287,0.9754983618730256,0.0015099789915966387,745.7558196893259,0.9647530682635408,0.17589819288751,6.072774554501061,,10.0,2.2461680243997013,8.915287238209187,0.021970001237169533,0.0015099789915966387,0.023094607552585873,0.01048103064893424,0.017176495631675233,
1,5.802458883834486,0.2620966582707748,9.451586302588968,10.0,0.020525673506077098,0.1458577917607016,0.082203101844159,0.018749811155613933,134.99864065346597,83.5672268907563,0.2620966582707748,1.0,0.0,7200.0,0.6598909722656763,0.9754840432345366,0.020525673506077098,,1.1529839331863307,0.48233547017170386,6.160888163983321,6.1608880838426225,10.0,2.24613504750388,8.91421042570547,,,,,0.046391416409545964,0.04639141576388115
2,4.605577204157324,0.19462225481304302,9.448420362312254,10.0,0.017637018043892224,0.14365268178565913,0.07764227019169,0.017380209222676607,125.12012638965575,79.1890756302521,0.19462225481304302,1.0,0.0,7199.0,0.6098113671070388,0.9753384970817245,0.017637018043892224,,1.0779076032966626,0.3872453861699949,6.158339422290065,6.15833933113002,10.0,2.2457999146285177,8.905620955619492,,,,,0.04528633121033238,0.04528633048934001
3,4.103518521585384,0.15395418512282752,9.446541503697885,10.000065651260504,0.013879448840660709,0.1345503275447032,0.07134747283705392,0.016550245146001025,119.12866485419394,77.32142857142857,0.15395418512282752,1.0,0.0,7198.0,0.583876891171231,0.9752491892886763,0.013879448840660709,,1.0673205909170524,0.3344393890530789,6.170410905565534,6.170410811400213,10.000065651260504,2.24560038181914,8.900358777086273,,,,,0.044483657142718735,0.044483656416834966
4,3.777253274156266,0.12582197384674007,9.445405687604632,10.000065651260504,0.01575244071760348,0.13876745557146414,0.07319343182407007,0.015782740846092366,113.58838591255059,73.6701680672269,0.12582197384674007,1.0,0.0,7197.0,0.5706744395634707,0.9751971698358279,0.01575244071760348,,1.0620559985522462,0.30050912758458787,6.181219739072463,6.181219647912418,10.000065651260504,2.2454806130473353,8.896053807074283,,,,,0.044067306818730126,0.044067305952952315
5,3.62187340404807,0.10692289741240255,9.445307046425443,10.000262605042018,0.01364001483038193,0.1364117338940376,0.07256009025076608,0.01562660463308884,112.44904690830647,71.67436974789916,0.10692289741240255,1.0,0.0,7196.0,0.5617560701084738,0.975184859723604,0.01364001483038193,,1.0635213704482347,0.2760963924085212,6.191190825790918,6.191190739639667,10.000262605042018,2.2454677354387877,8.894606758566464,,,,,0.04369405043280112,0.04369404961398075
6,3.478573210349604,0.09299140117139,9.445873997792477,10.0,0.01515771749922458,0.13817659427388376,0.07226272862592414,0.015237376591808969,109.63292450464073,71.19957983193277,0.09299140117139,1.0,0.0,7195.0,0.5559266339204892,0.9752221861306358,0.01515771749922458,,1.0719419051306087,0.2573814806847195,6.200101229323058,6.200101186247433,10.0,2.2455321049489894,8.894638412138995,,,,,0.04344452033210702,0.043444519721660295
7,3.368459599859574,0.08146934679654591,9.44477714610701,10.000065651260504,0.017169735550943043,0.1417796899165426,0.07478450942283668,0.015238073112994839,109.62269835512177,71.25210084033614,0.08146934679654591,1.0,0.0,7194.0,0.5528439742301693,0.975169098928195,0.017169735550943043,,1.0545151114088147,0.24220880471516695,6.208234793999615,6.208234715862434,10.000065651260504,2.245415979072827,8.891782676472383,,,,,0.04326217431974198,0.04326217359874961
8,3.2543225040455828,0.0717378859447331,9.445000315914635,10.0,0.015003243946478147,0.14083353935607842,0.0727415966856129,0.01516494938141095,109.08148096188778,70.85924369747899,0.0717378859447331,1.0,0.0,7193.0,0.5508347465461042,0.975182031883913,0.015003243946478147,,1.0520946722822029,0.22923724371824386,6.216073451923723,6.216073336721468,10.0,2.2454396451220795,8.8916447944,,,,,0.04301992417782733,0.04301992344900872
9,3.2346787745712184,0.06519058266333735,9.444415883857664,10.0,0.017934379637429193,0.1399066980552523,0.07306212929523542,0.015152162111642137,108.97434968106887,70.50420168067227,0.06519058266333735,1.0,0.0,7192.0,0.5477842316031456,0.9751548007005403,0.017934379637429193,,1.0630965555290215,0.21873327387174463,6.223343919305241,6.223343838162783,10.0,2.245376934524344,8.889770497794913,,,,,0.04273693662277665,0.04273693575797712
