step,chosen_normalized_regret,chosen_raw_regret,effective_positive_count,effective_positive_count_mean,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,informative_row_fraction,is_t0_hard_ce,n_valid_mean,ndcg_at_10,normalized_teacher_entropy,oracle_action_acc,pred_rank_mean,selected_individual_future_mse,spearman,student_entropy,student_entropy_mean,support_size,teacher_entropy,teacher_ess,top10_acc,top1_acc,top1_top2_margin_mean,top5_acc,topm_probability_mass,topm_probability_mass_mean
0,12.50439063290588,0.514111420812727,9.451892574294275,,0.0015756302521008404,0.018892115670718065,0.008329986406787605,0.12117871900867797,872.6079577598251,648.9810924369748,0.514111420812727,,1.0,7201.0,0.9617878419010579,0.9754983618730256,0.0015756302521008404,871.6079577598251,0.9565512162922811,0.12005827128031005,6.0764651008012915,,10.0,2.2461680243997013,8.915287238209187,0.018892115670718065,0.0015756302521008404,0.023094607552585873,0.008329986406787605,0.015932295900818322,
1,5.207122784452278,0.2565634450601304,9.451381308691841,10.0,0.017637018043892224,0.14799725045176113,0.08030307712424703,0.019236184598656936,138.50052908889387,78.15756302521008,0.2565634450601304,1.0,0.0,7200.0,0.6801062186851221,0.9754744898371336,0.017637018043892224,,1.0280993483146699,0.45060758678190715,6.084213763725858,6.084213688593953,10.0,2.24611305188732,8.913154509888978,,,,,0.047400412828653676,0.04740041239918875
2,4.376958935701547,0.18867461621260442,9.449296522541207,10.0,0.01757909046063403,0.14047438837587833,0.0745682464364697,0.018279314438319382,131.59278452897271,74.95588235294117,0.18867461621260442,1.0,0.0,7199.0,0.6251247914648858,0.9753788642021788,0.01757909046063403,,1.018402692243582,0.3758086641888944,6.097900378603895,6.097900302470231,10.0,2.2458928748339164,8.905699541588792,,,,,0.04631424770287449,0.04631424668546328
3,3.9335438003059195,0.14713400281464853,9.446826091333598,10.0,0.014953040040465965,0.141254479832509,0.07436356897771108,0.01754785085682945,126.30942980381622,72.89075630252101,0.14713400281464853,1.0,0.0,7198.0,0.6029472900163225,0.9752656941403862,0.014953040040465965,,1.0155414348828191,0.33286868698644506,6.108822572131117,6.108822491990418,10.0,2.245632279820803,8.899277460675279,,,,,0.04587945514241187,0.045879454481094574
4,3.6378123705126657,0.12122790248548033,9.445921697536436,10.0,0.014508928571428572,0.14539050925209993,0.07540626547635854,0.0172293538928615,123.99966022547554,72.34873949579831,0.12122790248548033,1.0,0.0,7197.0,0.5894428870382429,0.9752240009418055,0.014508928571428572,,1.0192473034272675,0.30234649733352176,6.118230012284608,6.1182299131104925,10.0,2.2455362797785208,8.896267015393041,,,,,0.04544247609578824,0.04544247512924759
5,3.4774886094221547,0.10177317384567831,9.445879078712784,10.0,0.016864650272333824,0.1452939633060904,0.07400441798968475,0.016946186219340097,121.94475636963082,71.05042016806723,0.10177317384567831,1.0,0.0,7196.0,0.5823670837934277,0.9752225096987075,0.016864650272333824,,1.0255640126889993,0.27846038874170465,6.126657089265454,6.126657018140585,10.0,2.2455328482539714,8.895247277091531,,,,,0.04513649387625555,0.04513649310537089
6,3.4029490399260482,0.08868377851009243,9.445046643249126,10.0,0.01598801285404117,0.146854146195873,0.07573065994416966,0.016763132016376022,120.61073436256217,70.27100840336135,0.08868377851009243,1.0,0.0,7195.0,0.5767506098672122,0.9751843887717784,0.01598801285404117,,1.0302092587935323,0.26052589687113126,6.134375118407883,6.134375052291806,10.0,2.245445066640357,8.89250204342754,,,,,0.044868403399057934,0.04486840283165553
7,3.31444076429896,0.07863607654394973,9.444511613925966,10.000131302521009,0.014099573653911342,0.1427914917218585,0.07298103068806544,0.01698797257708096,122.21147432647834,70.96428571428571,0.07863607654394973,1.0,0.0,7194.0,0.5734295188879767,0.9751543296234948,0.014099573653911342,,1.0410186498105025,0.2467812816714793,6.141588556666334,6.141588475523877,10.000131302521009,2.245388036014653,8.890537161787018,,,,,0.04466054781864421,0.04466054693819219
8,3.243245903183432,0.0695934965795673,9.444074049717239,10.0,0.01577561171803655,0.1431776756076377,0.07664977758340225,0.016740224179870474,120.41243289098018,71.52310924369748,0.0695934965795673,1.0,0.0,7193.0,0.570490447976509,0.9751394371024701,0.01577561171803655,,1.0268281160407708,0.2349874044674189,6.148373710007227,6.148373614840147,10.0,2.24534155891723,8.889288709945038,,,,,0.04438892327358618,0.044388922490962164
9,3.229274314491689,0.06321657827210088,9.443364536061006,10.000065651260504,0.01599573653128718,0.14360247787964694,0.07847256556215908,0.01696084511022185,121.98239778871296,71.57142857142857,0.06321657827210088,1.0,0.0,7192.0,0.5677760177675415,0.9751040810296515,0.01599573653128718,,1.03733751015002,0.22438465767275664,6.154758287077191,6.154758183896041,10.000065651260504,2.2452662627236184,8.887339241364423,,,,,0.044166595375697525,0.044166594503071754
