epoch,epoch_wall_seconds,train_kl,train_loss,train_n_valid_mean,train_teacher_effective_positives,train_teacher_entropy,train_teacher_top1_mass,val_global_h720_mse,val_model_top10_individual_mse,val_n_queries_seen,val_ndcg_at_10,val_oracle_regret,val_oracle_top10_individual_mse,val_recall_at_10
1,430.0803174972534,4.262494284344081,4.26249428434408,4608.740873893806,50.073402742368984,3.348803415536579,0.2533615860951459,1.8072671996804013,2.32985082381604,2161,0.9226455168989792,1.4417727645598646,0.8880780481603414,0.021491373890318008
2,419.6809904575348,3.6991506444217284,3.699150644421728,4610.386891592921,50.17376909032935,3.3484003904043647,0.2533955422386659,1.874353202657926,2.3022913213777647,2161,0.9253623106510064,1.4142132510257555,0.8880780481603414,0.033873207359341705
3,420.08001017570496,3.2498417731784235,3.2498417731784235,4614.133296460177,50.34498336839616,3.353417215094102,0.25294543742749714,2.0523973213922577,2.4682932218399194,2161,0.918414033884853,1.5802151756970024,0.8880780481603414,0.034613605279116146
4,419.92301988601685,3.0194232996962915,3.0194232996962898,4608.526548672567,49.98797195177765,3.3484177408568025,0.25317626823488665,1.98577953688394,2.3793113931925842,2161,0.924406686493967,1.491233340997394,0.8880780481603414,0.03575064535141621
5,420.421181678772,2.752530657988885,2.752530657988885,4608.526548672567,49.99067544462407,3.3475710322748395,0.253725417052524,1.8847265333683925,2.260053880643236,2161,0.9315369344320301,1.3719758168478562,0.8880780481603414,0.03319230625458732
6,420.565771818161,2.5760430869200137,2.5760430869200137,4612.260094026548,50.24939920763602,3.349884611616846,0.25320760702170364,1.9169562324588987,2.284382557675096,2161,0.9308839849544043,1.3963044958971398,0.8880780481603414,0.03343029109533444
7,420.0685257911682,2.4100293547254146,2.4100293547254137,4609.1823838495575,50.1535603700938,3.3457903845657215,0.2542718041755316,2.1198003424319602,2.4976567575839663,2161,0.9216860566095405,1.60957870488442,0.8880780481603414,0.03221392294242628
8,418.9165153503418,2.296337141889688,2.2963371418896887,4608.526548672567,50.15353871846169,3.3464280875533934,0.25388671156353354,2.0817072647628336,2.4459370360730968,2161,0.9231106305521132,1.5578589992607672,0.8880780481603414,0.03516890424694476
9,439.72930359840393,2.2086788160460338,2.2086788160460333,4608.526548672567,50.11767943649919,3.3458958444116087,0.25403263775912005,2.0189831541354812,2.3593248105170495,2161,0.929131533154384,1.4712467560522569,0.8880780481603414,0.038110663793592466
10,501.25784063339233,2.1756855072700874,2.1756855072700874,4608.526548672567,50.06132277978205,3.350602733651847,0.2529759939557457,2.134374741971426,2.4951965428867617,2161,0.9242241262341473,1.607118485648011,0.8880780481603414,0.03859985554029947
