epoch,train_loss,val_base_mae,val_base_mse,val_counterfactual_lambda0_mse,val_counterfactual_lambda1_mse,val_final_mae,val_final_mse,val_gate_gt_0.10,val_gate_gt_0.50,val_gate_gt_0.98,val_gate_lt_0.02,val_gate_max,val_gate_mean,val_gate_median,val_gate_min,val_gate_p10,val_gate_p25,val_gate_p75,val_gate_p90,val_gate_std,val_projected_retrieval_branch_mae,val_projected_retrieval_branch_mse,val_raw_retrieval_aggregate_mae,val_raw_retrieval_aggregate_mse
1,0.3809754841732529,0.6617224596031224,0.9380932505195789,0.9380932505195789,0.7371521885195094,0.5558048578656779,0.691444090984821,1.0,0.6954090595245361,0.0,0.0,0.8029692769050598,0.5394707322120667,0.519599199295044,0.19202955067157745,0.48567384481430054,0.49663662910461426,0.5711685419082642,0.633208155632019,0.06254108995199203,0.578541014016546,0.7371521885195094,0.5785410101030325,0.7371521856495995
2,0.34649298545324575,0.6466242578973972,0.8997994472402236,0.8997994472402236,0.7371521885195094,0.5445507739480361,0.671207689335991,0.9997435212135315,0.26832520961761475,0.0,0.0,0.6378833055496216,0.48626646399497986,0.4854736626148224,0.07865189760923386,0.45488837361335754,0.47390034794807434,0.5020911693572998,0.5282829999923706,0.040027644485235214,0.578541014016546,0.7371521885195094,0.5785410101030325,0.7371521856495995
3,0.3415068181618205,0.6374006399203745,0.8760224554898892,0.8760224554898892,0.7371521885195094,0.5460175655189208,0.6740520402285913,0.9989228248596191,0.12500640749931335,0.0,0.0,0.6190193295478821,0.46722611784935,0.47070440649986267,0.05558590590953827,0.4341968595981598,0.4558817446231842,0.48363828659057617,0.5057541131973267,0.04079195857048035,0.578541014016546,0.7371521885195094,0.5785410101030325,0.7371521856495995
4,0.3395430199380191,0.6402856279705654,0.8857131241671783,0.8857131241671783,0.7371521885195094,0.542082683096546,0.6684037149120643,0.9980508089065552,0.1450115442276001,0.0,0.0,0.7177700996398926,0.4649536907672882,0.46320948004722595,0.04363017529249191,0.41585054993629456,0.44539904594421387,0.48021942377090454,0.5156022906303406,0.05915044993162155,0.578541014016546,0.7371521885195094,0.5785410101030325,0.7371521856495995
5,0.33774734268773277,0.6427659991664582,0.8917208420045052,0.8917208420045052,0.7371521885195094,0.5399329833579979,0.6605377793261116,0.998615026473999,0.11910746246576309,0.0,0.0,0.6640525460243225,0.4595584273338318,0.4574047923088074,0.0524357371032238,0.4182310104370117,0.4423297941684723,0.4770611524581909,0.5060362815856934,0.049851641058921814,0.578541014016546,0.7371521885195094,0.5785410101030325,0.7371521856495995
6,0.33698598596284973,0.6194549348564895,0.829689345629264,0.829689345629264,0.7371521885195094,0.546566025110313,0.6784749315285811,0.9970248937606812,0.14993588626384735,0.0,0.0,0.6700578331947327,0.45834794640541077,0.45558053255081177,0.03642359748482704,0.4127911627292633,0.4397541582584381,0.4815869927406311,0.5133252739906311,0.053625646978616714,0.578541014016546,0.7371521885195094,0.5785410101030325,0.7371521856495995
7,0.33607627996858563,0.6293033210132798,0.8562892318638184,0.8562892318638184,0.7371521885195094,0.5441348324456337,0.6688976570430083,0.9969223141670227,0.06340087205171585,0.0,0.0,0.6439228057861328,0.4401032328605652,0.44438430666923523,0.031483013182878494,0.3932112157344818,0.42419397830963135,0.46610400080680847,0.4893288314342499,0.05118424817919731,0.578541014016546,0.7371521885195094,0.5785410101030325,0.7371521856495995
8,0.3362939365067572,0.6379942139733742,0.8801871183072032,0.8801871183072032,0.7371521885195094,0.5418553692423972,0.6636582869876804,0.9959476590156555,0.054372917860746384,0.0,0.0,0.5964995622634888,0.43119004368782043,0.4363611340522766,0.02367672137916088,0.3803540766239166,0.41545191407203674,0.4558824598789215,0.48363882303237915,0.05369659513235092,0.578541014016546,0.7371521885195094,0.5785410101030325,0.7371521856495995
9,0.335356135075947,0.6228493143495683,0.8400418769684451,0.8400418769684451,0.7371521885195094,0.539537116418672,0.6612279992577682,0.9959476590156555,0.07242882996797562,0.0,0.0,0.6060952544212341,0.4349961578845978,0.43822169303894043,0.02045069821178913,0.38887545466423035,0.41888007521629333,0.4604455530643463,0.48947131633758545,0.05501595884561539,0.578541014016546,0.7371521885195094,0.5785410101030325,0.7371521856495995
10,0.3351361329263111,0.6290396421722259,0.8569417004301129,0.8569417004301129,0.7371521885195094,0.5419500855632324,0.6662125227175544,0.9963580369949341,0.10341113060712814,0.0,0.0,0.6182495951652527,0.43488946557044983,0.4351636469364166,0.028839431703090668,0.3810657858848572,0.41490834951400757,0.46115344762802124,0.501490592956543,0.059614263474941254,0.578541014016546,0.7371521885195094,0.5785410101030325,0.7371521856495995
