epoch,train_loss,val_base_mae,val_base_mse,val_counterfactual_lambda0_mse,val_counterfactual_lambda1_mse,val_final_mae,val_final_mse,val_gate_gt_0.10,val_gate_gt_0.50,val_gate_gt_0.98,val_gate_lt_0.02,val_gate_max,val_gate_mean,val_gate_median,val_gate_min,val_gate_p10,val_gate_p25,val_gate_p75,val_gate_p90,val_gate_std,val_projected_retrieval_branch_mae,val_projected_retrieval_branch_mse,val_raw_retrieval_aggregate_mae,val_raw_retrieval_aggregate_mse
1,0.39116108912342,0.6422063757234469,0.8849701632492928,0.8849701632492928,0.7780876892799494,0.5544883087841763,0.68946563901377,0.9964093565940857,0.34485766291618347,0.0,0.0,0.8368816375732422,0.48860740661621094,0.47619742155075073,0.03151392191648483,0.4219633936882019,0.45216888189315796,0.5231003165245056,0.5857614874839783,0.08227953314781189,0.5976845871477827,0.7780876892799494,0.5976845908167017,0.7780876856436432
2,0.3535826732527535,0.6229925228039648,0.8384128629259343,0.8384128629259343,0.7780876892799494,0.5434990094382101,0.6703034469018769,0.9894331693649292,0.012208258733153343,0.0,0.0009746088762767613,0.5701636672019958,0.4110843539237976,0.42521804571151733,0.009486344642937183,0.35320931673049927,0.3959949016571045,0.4420906901359558,0.45925086736679077,0.06121588125824928,0.5976845871477827,0.7780876892799494,0.5976845908167017,0.7780876856436432
3,0.34779935827795067,0.6121380476826448,0.8122517168883677,0.8122517168883677,0.7780876892799494,0.5451617465851255,0.6749558140846912,0.9884585738182068,0.001282380078919232,0.0,0.002000513020902872,0.5381278395652771,0.3832443356513977,0.39784613251686096,0.0056973895989358425,0.32640156149864197,0.36971646547317505,0.4141843318939209,0.42830297350883484,0.059268683195114136,0.5976845871477827,0.7780876892799494,0.5976845908167017,0.7780876856436432
4,0.34654904873865955,0.6079421357210858,0.8042391643408395,0.8042391643408395,0.7780876892799494,0.5428198414479931,0.6713730856670501,0.9879456162452698,0.03626570850610733,0.0,0.002154398476704955,0.6023839116096497,0.3747174143791199,0.38562604784965515,0.005672163795679808,0.2945324182510376,0.34799283742904663,0.40837907791137695,0.4370574653148651,0.0722837969660759,0.5976845871477827,0.7780876892799494,0.5976845908167017,0.7780876856436432
5,0.3434838349526783,0.6158425531927884,0.8226654362880318,0.8226654362880318,0.7780876892799494,0.5417389726928231,0.6646156517472992,0.9886637330055237,0.001641446491703391,0.0,0.0011797896586358547,0.5431250929832458,0.3641057014465332,0.37554100155830383,0.007887785322964191,0.30063122510910034,0.34843212366104126,0.3947570323944092,0.4160919785499573,0.06000933423638344,0.5976845871477827,0.7780876892799494,0.5976845908167017,0.7780876856436432
6,0.34237155981783596,0.5985690704643131,0.7806190726674906,0.7806190726674906,0.7780876892799494,0.5443246837354088,0.6755422416218042,0.9872788190841675,0.011079763993620872,0.0,0.002410874469205737,0.5573294758796692,0.3638170063495636,0.3710496425628662,0.00452423794195056,0.2908139228820801,0.34315943717956543,0.3966280221939087,0.43481186032295227,0.06855364888906479,0.5976845871477827,0.7780876892799494,0.5976845908167017,0.7780876856436432
7,0.34190134068705,0.6051928786729212,0.7972540642528888,0.7972540642528888,0.7780876892799494,0.5424170663583643,0.6681576519529361,0.9866632223129272,0.0019492177525535226,0.0,0.0022056938614696264,0.552295446395874,0.34201011061668396,0.35414624214172363,0.004530549515038729,0.26657962799072266,0.3214094638824463,0.3774305582046509,0.40198302268981934,0.06489469110965729,0.5976845871477827,0.7780876892799494,0.5976845908167017,0.7780876856436432
8,0.3418798096899716,0.6088922045338283,0.8066718968100106,0.8066718968100106,0.7780876892799494,0.541313858012659,0.6661479368631357,0.9858425259590149,0.002769940998405218,0.0,0.0028725313022732735,0.5512727499008179,0.33172905445098877,0.3424609899520874,0.003332396736368537,0.24599704146385193,0.3063657283782959,0.36912354826927185,0.40250012278556824,0.06973981857299805,0.5976845871477827,0.7780876892799494,0.5976845908167017,0.7780876856436432
9,0.3410744032769833,0.5943812422235878,0.7724953703852997,0.7724953703852997,0.7780876892799494,0.5389038413368128,0.6634035064652912,0.9865606427192688,0.002000513020902872,0.0,0.0029751218389719725,0.5589130520820618,0.3425338864326477,0.35078665614128113,0.003610560903325677,0.2701258659362793,0.32349345088005066,0.37786340713500977,0.4081529974937439,0.06571219861507416,0.5976845871477827,0.7780876892799494,0.5976845908167017,0.7780876856436432
10,0.34042823736397726,0.6018858397996577,0.7902730234567962,0.7902730234567962,0.7780876892799494,0.5408990235943014,0.6676194207856031,0.9862529039382935,0.010259040631353855,0.0,0.002513465005904436,0.6228898167610168,0.33769941329956055,0.3432943820953369,0.0038631251081824303,0.2589355409145355,0.3125354051589966,0.3724445104598999,0.4129321873188019,0.07128749787807465,0.5976845871477827,0.7780876892799494,0.5976845908167017,0.7780876856436432
