epoch,train_loss,val_base_mae,val_base_mse,val_counterfactual_lambda0_mse,val_counterfactual_lambda1_mse,val_final_mae,val_final_mse,val_gate_gt_0.10,val_gate_gt_0.50,val_gate_gt_0.98,val_gate_lt_0.02,val_gate_max,val_gate_mean,val_gate_median,val_gate_min,val_gate_p10,val_gate_p25,val_gate_p75,val_gate_p90,val_gate_std,val_projected_retrieval_branch_mae,val_projected_retrieval_branch_mse,val_raw_retrieval_aggregate_mae,val_raw_retrieval_aggregate_mse
1,0.3814528169497004,0.6697685767251467,0.9601454603781076,0.9601454603781076,0.7182632581468341,0.5510820085822776,0.6775764733081578,1.0,0.9016157984733582,0.0,0.0,0.6759151816368103,0.5288478136062622,0.5238848924636841,0.20561429858207703,0.5002445578575134,0.5138746500015259,0.5413363575935364,0.5732578039169312,0.03335064649581909,0.5733638119002514,0.7182632581468341,0.5733638158137649,0.718263259581789
2,0.34767079628863423,0.6554190548360883,0.9225234437133549,0.9225234437133549,0.7182632581468341,0.548706963177042,0.6763473942696238,1.0,0.47324955463409424,0.0,0.0,0.7034674286842346,0.4982731342315674,0.49855679273605347,0.17551852762699127,0.45932644605636597,0.4821069836616516,0.5158658027648926,0.5395574569702148,0.03787655755877495,0.5733638119002514,0.7182632581468341,0.5733638158137649,0.718263259581789
3,0.34280668609547166,0.6424163156323345,0.8883193853136473,0.8883193853136473,0.7182632581468341,0.5424578772107281,0.665471132357854,0.9999486804008484,0.16942806541919708,0.0,0.0,0.6577965617179871,0.47083622217178345,0.475371778011322,0.08148986101150513,0.4174623191356659,0.4529286324977875,0.4919086694717407,0.515395998954773,0.04657236859202385,0.5733638119002514,0.7182632581468341,0.5733638158137649,0.718263259581789
4,0.34002968573345327,0.6373727792102455,0.8761276048789262,0.8761276048789262,0.7182632581468341,0.5438519304752798,0.6696699551581277,0.9998461008071899,0.2216978669166565,0.0,0.0,0.6992990970611572,0.47875356674194336,0.4724937081336975,0.09285012632608414,0.439022421836853,0.4568111300468445,0.4957810640335083,0.5316128730773926,0.04714185371994972,0.5733638119002514,0.7182632581468341,0.5733638158137649,0.718263259581789
5,0.33876207257216834,0.6363498159745947,0.8746526306079292,0.8746526306079292,0.7182632581468341,0.545231021970136,0.6678918366107287,0.9993844628334045,0.021800462156534195,0.0,0.0,0.5760930180549622,0.4336104691028595,0.4424976110458374,0.05987928435206413,0.380306601524353,0.41649752855300903,0.45938578248023987,0.4760550856590271,0.04428527131676674,0.5733638119002514,0.7182632581468341,0.5733638158137649,0.718263259581789
6,0.3373255784781474,0.6388821813441998,0.8835911165315534,0.8835911165315534,0.7182632581468341,0.5394654667702579,0.660570906712233,0.999127984046936,0.08622723817825317,0.0,0.0,0.639217734336853,0.4457694888114929,0.445879727602005,0.05362287908792496,0.39962053298950195,0.4266080856323242,0.4653470516204834,0.4943927526473999,0.046182677149772644,0.5733638119002514,0.7182632581468341,0.5733638158137649,0.718263259581789
7,0.3379872165760904,0.6277972809135318,0.853357732211401,0.853357732211401,0.7182632581468341,0.5364279106579103,0.657135071705129,0.9990766644477844,0.14757630228996277,0.0,0.0,0.6871897578239441,0.4536714255809784,0.4508281350135803,0.05645632743835449,0.4065341353416443,0.42854732275009155,0.48079895973205566,0.5132664442062378,0.04979577660560608,0.5733638119002514,0.7182632581468341,0.5733638158137649,0.718263259581789
8,0.33641940906362716,0.6218217732326041,0.8366698771304959,0.8366698771304959,0.7182632581468341,0.5411843950894997,0.6642911492917052,0.998974084854126,0.013541934080421925,0.0,0.0,0.5907042026519775,0.4193463623523712,0.42507535219192505,0.05017397552728653,0.36997005343437195,0.40236005187034607,0.44346290826797485,0.4634348154067993,0.04345588758587837,0.5733638119002514,0.7182632581468341,0.5733638158137649,0.718263259581789
9,0.3355467994258089,0.6178001253301387,0.8295399260213153,0.8295399260213153,0.7182632581468341,0.5394998300928555,0.665795013755165,0.9978969097137451,0.05503975227475166,0.0,0.0,0.6038466691970825,0.4278569519519806,0.42870667576789856,0.03072124347090721,0.3774964213371277,0.4058944880962372,0.45469850301742554,0.48325157165527344,0.04956797882914543,0.5733638119002514,0.7182632581468341,0.5733638158137649,0.718263259581789
10,0.3358570272630116,0.623165653917212,0.8411398494244641,0.8411398494244641,0.7182632581468341,0.5389323281927925,0.6605922843774609,0.9977430105209351,0.04247242957353592,0.0,0.0,0.603807806968689,0.4172408878803253,0.41973698139190674,0.030838053673505783,0.36037108302116394,0.39581358432769775,0.4420390725135803,0.47368061542510986,0.05100375786423683,0.5733638119002514,0.7182632581468341,0.5733638158137649,0.718263259581789
