epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_choice_ce,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_selected_individual_future_mse,train_spearman,train_subset_tf_expert_containment_at_1,train_subset_tf_expert_containment_at_10,train_subset_tf_expert_containment_at_5,train_subset_tf_expert_rank_mean,train_subset_tf_expert_rank_median,train_subset_tf_expert_regret_mean,train_subset_tf_ndcg_at_10,train_subset_tf_oracle_action_acc,train_subset_tf_spearman,train_subset_tf_tf_choice_ce,train_train_prefix_aggregate_future_mse,val_fr_expert_containment_at_10,val_fr_expert_rank_median,val_fr_expert_regret_mean,val_fr_ndcg_at_10,val_fr_oracle_action_acc,val_fr_selected_individual_future_mse,val_fr_spearman,val_fr_val_choice_ce,val_free_running_aggregate_future_mse,val_tf_expert_containment_at_1,val_tf_expert_containment_at_10,val_tf_expert_containment_at_5,val_tf_expert_rank_mean,val_tf_expert_rank_median,val_tf_expert_regret_mean,val_tf_ndcg_at_10,val_tf_oracle_action_acc,val_tf_spearman,val_tf_tf_choice_ce
1,1.0270716018764812,0.0,16.1660213470459,1.0,2.639337992604851e-08,0.3623753875201227,False,0.019619528204202652,0.9453102946281433,0.1908354014158249,0.3382373182038943,0.40041935593341865,9.471464352495481,0.0009652509652509653,0.007510534728431323,0.00410188414230983,0.25416424712792174,9229.692414344923,7117.970648067422,0.6917655681743368,36313.999128160416,0.9650253687551459,0.0009652509652509653,0.8937115959222486,0.4111991766729678,0.03657924107142857,0.06595982142857142,0.05506882440476191,6230.109923735119,3462.996726190476,0.10227109848753022,0.9840880031564405,0.035956101190476195,0.158179026508071,9.216645380712691,0.15486051479844465,0.01889297855521899,10043.584126984128,0.40955967522780534,0.7705436925886133,0.013131981187536742,1.6274472332796173,0.05532619315297451,10.607443788968276,0.6563435063656916,0.03525264071095855,0.06316768589009614,0.05226860638381557,6398.276603141663,4174.630540858319,0.10763061829535388,0.9868594386309895,0.03462041989417811,0.14547435103782305,9.266310080762368
2,1.088262941092385,0.0,17.518056869506836,1.0,3.0666338801665916e-08,0.493687322487581,False,0.022193841636180878,0.930115818977356,0.16668812930583954,0.3692468355689531,,9.161201566847492,0.0012056987863955009,0.009088581669433044,0.005050269163275495,0.24852518193045142,9024.917353665027,6934.328974135426,0.6745365304147541,36313.999128160416,0.9652393004336689,0.0012056987863955009,0.87648148244295,0.40168963726264595,0.03814174107142857,0.07283296130952381,0.06019345238095238,5699.025511532738,3108.1940476190475,0.08828155551583652,0.9851696480420372,0.037518601190476196,0.15469124370123719,9.07937753981068,0.15485940445989044,0.021220813204875448,10464.977601410934,0.3874868019569038,0.7637921449289751,0.013002461787184009,1.4848087638607599,0.05599683246751584,10.526526759947261,0.6451561873841293,0.0370788922128232,0.068932956640227,0.05672869859312578,5847.550486232392,3738.14747207525,0.09518781283418563,0.9875390677457169,0.03644667139604276,0.14143873810445812,9.128507248320995
3,1.0208624905153196,0.0,18.42986297607422,1.0,3.043833274318786e-08,0.5884543460334073,False,0.024806393310427666,0.913132905960083,0.15272776782512665,0.36052083010172564,,9.070149129852588,0.001226889331831148,0.009386546685088442,0.005217631225798849,0.24699142822622974,8969.223948836105,6853.672852576078,0.6693484557869835,36313.999128160416,0.9653092767271063,0.001226889331831148,0.8713216676163634,0.3974080812341646,0.0400390625,0.07559523809523809,0.06265811011904762,5454.122646949405,2883.145238095238,0.0856251236863963,0.9857897263729856,0.03941592261904762,0.16457185137225205,9.009418186705027,0.15488635146503507,0.02137896825451577,10109.958112874778,0.3888909770268559,0.7604314952190836,0.012996950323339213,1.4738111226318629,0.051459571196692186,10.49433818043312,0.6443380302165779,0.038246803351955544,0.07117356638380845,0.05853254479662171,5606.551088299715,3521.7092004703118,0.09295057060947007,0.987998489145494,0.0376145825351751,0.15173373369832985,9.064727428492414
4,0.9807667832504035,0.0,18.85867691040039,1.0,2.742880589323704e-08,0.6697371417300821,False,0.025395743548870087,0.9093863368034363,0.14327310025691986,0.3577206585450779,,9.018401563323469,0.00123034901281329,0.009414656592333714,0.005190818699037875,0.24577233687030198,8924.9527297095,6791.654460912526,0.676007222149001,36313.999128160416,0.9653841879297848,0.00123034901281329,0.8779593220670511,0.39522436237358105,0.04072730654761905,0.0771484375,0.06351376488095237,5297.135639880953,2799.706845238095,0.08416162050804729,0.9865630964970306,0.04010416666666667,0.16802419029826074,8.972495445555873,0.15486950134487074,0.026073097986229938,10858.378512639623,0.3909866947934547,0.7618932531689946,0.012991798302812444,1.405118801708571,0.05030311277154002,10.58806898192859,0.651048474346727,0.03845899471008974,0.07229459014135922,0.05911983520138586,5482.981396563989,3436.298412698413,0.08827199090035116,0.9883284320784342,0.0378267738933093,0.15436350615056701,9.035372200418594
5,0.9489482498501631,0.0,19.03236198425293,1.0,3.5213162163927336e-08,0.7427042280747844,False,0.02642078511416912,0.9021509885787964,0.1439058482646942,0.3442783346877471,0.3610460641994762,8.982017330013365,0.0012238621110104385,0.009526663760689388,0.005339152516623424,0.24567829679716158,8921.538057587713,6772.149707310998,0.6880779294050706,36313.999128160416,0.965426157154528,0.0012238621110104385,0.8900158321561649,0.3947129122259205,0.041443452380952386,0.07983630952380953,0.06580171130952381,5215.519308035715,2729.5958333333338,0.07960159953317607,0.986688731504338,0.0408203125,0.1662923989095978,8.938827092714963,0.15485548784998218,0.016760002109257703,10733.418694885362,0.3905215147291765,0.7592379849160998,0.012630437977660202,1.3567424308837719,0.056833424580363404,10.613661900233216,0.6406490996582633,0.03903174763058106,0.07508159363220748,0.061269066472160585,5422.070158254364,3388.4381246325697,0.08604994667252171,0.9885534701900649,0.03839952681380062,0.15401586675058704,9.00643304135346
6,0.915081317983196,0.0,19.27504539489746,1.0,3.9413720287484466e-08,0.8098823398414916,False,0.026517346501350403,0.9011070728302002,0.1436185985803604,0.33204443475641876,,8.954946163746202,0.0013285174575497155,0.009607101341126969,0.005402291692768933,0.24552079878635955,8915.818376088908,6775.023332087848,0.6756790707218847,36314.00097400828,0.9655113968050594,0.0013285174575497155,0.8776208081072686,0.3940106207840513,0.04144345238095238,0.08151971726190475,0.06668526785714286,5118.982282366071,2672.498809523809,0.07929871412989525,0.986810115866718,0.0408203125,0.15141040412959783,8.910473976089131,0.1548582553350128,0.021177080937435106,10409.170605526162,0.37847151499623977,0.7582306775177388,0.012598287771898881,1.3714859650790399,0.06600205806675848,10.492906768238944,0.6181946722758623,0.03920284263835645,0.07607197972120765,0.06189741328838273,5316.529800594674,3301.180188124633,0.0871767450836249,0.9885870346938562,0.038570621821576015,0.14045729253496908,8.978474861450891
7,0.8932591568517603,0.0,19.771791458129883,1.0,2.87917796271131e-08,0.8727348324643993,False,0.027074666693806648,0.8972502946853638,0.13964295387268066,0.3209224584305556,,8.93444515999858,0.0012986777099680325,0.00965207719250288,0.005424779618379559,0.24559553994845076,8918.532892757163,6767.708141321044,0.6767117871948644,36313.999128160416,0.9654724403579233,0.0012986777099680325,0.8786532215152264,0.3939591792789423,0.042745535714285715,0.08331473214285715,0.0681454613095238,5057.183975074405,2628.791666666667,0.07835267326471222,0.9868295713726962,0.04212239583333333,0.16182229203243978,8.887515055175339,0.15485692367699708,0.021182432648742783,9920.095238095237,0.3655944896166166,0.757138080673313,0.01256430041152263,1.3774648682457489,0.06620564776580228,10.424955910964618,0.6066858097566707,0.04021623309905357,0.07778157190414806,0.06326521483689618,5247.876581279703,3241.9682539682535,0.08520319045144369,0.9886340858715903,0.03958401228227313,0.15047511212403533,8.953697579839146
8,0.8725737742955721,0.0,19.843687057495117,1.0,3.1005203737777265e-08,0.9323142100293087,False,0.02939208410680294,0.8782970309257507,0.13723988831043243,0.3087875365576622,,8.917113959321584,0.001227321791837921,0.009758462379533228,0.005475377451235456,0.245404057646973,8911.579936659866,6753.82517540582,0.6682473282864542,36313.999128160416,0.9654952445575407,0.001227321791837921,0.8701897539643041,0.39520152444910667,0.04258742559523809,0.08460751488095239,0.06927083333333334,5023.222312127977,2595.6047619047613,0.07983148300006392,0.9867322480572123,0.04196428571428571,0.1651006593172311,8.873965452327615,0.15485773659432295,0.016552803019113153,10082.05611405056,0.3791342099252645,0.7561557441949843,0.01040196942974721,1.4005672561594562,0.06473143752630481,10.480879900300069,0.6243026946969922,0.04035785375726899,0.07883038749947907,0.06417113175305775,5220.684686561194,3220.265843621399,0.08736366971805166,0.9884006479955435,0.03972471436318109,0.15543133766134443,8.943562190305618
9,0.852464352943708,0.0,20.09610366821289,1.0,3.275332360885841e-08,0.9892307664919923,False,0.029336759820580482,0.8789515495300293,0.1305268406867981,0.2978598484402664,,8.902405132702775,0.001280514385353095,0.00986398264639537,0.0054866214141954285,0.24515359140403623,8902.484043853807,6737.68132187487,0.6836607964646831,36313.999128160416,0.9655513171439559,0.001280514385353095,0.8856056102800484,0.3955848355541001,0.04318266369047619,0.08539806547619049,0.06981026785714287,4957.819828869047,2547.4479166666665,0.07682377392159609,0.9873794274493342,0.04255952380952381,0.16595042213082006,8.849226311966778,0.15485977660278233,0.021604938272480962,9960.141269841271,0.37389858041692287,0.7546320903531634,0.012592776308054086,1.4381637515831438,0.06510924881219436,10.452324237497956,0.6172818569743169,0.04066557715516067,0.0797031956944376,0.0648579879503463,5163.661649687832,3180.2396531452086,0.0850220993873939,0.9891507143775623,0.040033356338380226,0.15489513984733166,8.923039418606987
10,0.8432526126273432,0.0,20.28588104248047,1.0,3.156189265496323e-08,1.0439592827248343,False,0.029879579320549965,0.8743327260017395,0.1328338086605072,0.2914037854417357,0.3153258182981361,8.890133485236996,0.001289163587653791,0.009633913868042602,0.005436456041500964,0.24506845358819793,8899.390688090187,6735.901648191971,0.6549803773547909,36313.999128160416,0.9655861642409486,0.001289163587653791,0.8569224889527586,0.39544783825095503,0.04341517857142858,0.08577938988095238,0.07028459821428572,4938.631008184524,2517.9770833333337,0.07582492137160884,0.9872597076353571,0.042792038690476195,0.15774365412489397,8.840864182902234,0.1548576014934332,0.018794291401867797,10396.359905937683,0.37280484682270404,0.7554696612629487,0.012548684597295709,1.4985204438226734,0.06475311857139572,10.5115737310977,0.6129945570805667,0.04051836515705089,0.07997134039162065,0.064698914323508,5136.120367135727,3144.9251322751325,0.08551128263762597,0.9889694963804697,0.03988522576296298,0.14776373528164233,8.913388489859113
