step,choice_ce,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,9.828985285191308,0.056919642857142856,0.06882440476190477,0.06361607142857142,0.22562699550984516,8193.193080357143,6015.752976190476,0.5856469676999994,36313.0,0.9663427032175518,0.05068824404761905,0.7718680773865517,0.4044158603146068
2,9.831471309775399,0.0016741071428571428,0.007719494047619048,0.005580357142857143,0.21284227460342836,7728.728701636905,5137.491071428572,0.08744649858667371,36312.0,0.9686101219128995,0.0016741071428571428,1.2331937080788997,-0.04933927728843032
3,9.360295664696466,0.027436755952380952,0.04389880952380952,0.03673735119047619,0.17429507368935793,6328.828404017857,3609.217261904762,0.04091179417645833,36311.0,0.9827990689802737,0.027436755952380952,1.4612866162483225,0.013480655512853986
4,9.096183773839758,0.029017857142857144,0.054966517857142856,0.046875,0.14258670497552625,5177.323288690476,2567.6160714285716,0.024720826468269126,36310.0,0.9878513522091366,0.029017857142857144,1.6575817941373403,0.0666478148064449
5,8.872420340953838,0.03757440476190476,0.07161458333333333,0.05850074404761905,0.12780332850750364,4640.411086309524,2068.1160714285716,0.013371827112081175,36309.0,0.9908609714891229,0.03757440476190476,1.7714614656038716,0.11494845739986474
6,8.846313758974983,0.022600446428571428,0.07133556547619048,0.051432291666666664,0.1130725783765402,4105.439174107143,1639.782738095238,0.009564879088862745,36308.0,0.9925764080669198,0.022600446428571428,1.823066198944746,0.15930718082429285
7,8.514258431182022,0.05561755952380952,0.10965401785714286,0.08779761904761904,0.10774709466555318,3911.9737723214284,1530.6369047619048,0.0069796826272403205,36307.0,0.9937261252530983,0.05561755952380952,1.9608514233107035,0.187247235112084
8,8.11582674529581,0.07942708333333333,0.14164806547619047,0.11848958333333333,0.10147619556500147,3684.194754464286,1329.4910714285713,0.005832173820865009,36306.0,0.9945188675607953,0.07942708333333333,2.035311782691722,0.21372379190127536
9,8.259701404365755,0.056826636904761904,0.12509300595238096,0.10044642857142858,0.0954996310538263,3467.1141183035716,1220.3333333333333,0.004676366115244133,36305.0,0.9952790777952898,0.056826636904761904,2.065056880246543,0.24399439486070323
10,8.149693837478047,0.060360863095238096,0.13839285714285715,0.11197916666666667,0.09185305660119931,3334.633370535714,1169.4791666666667,0.004375716951428385,36304.0,0.9957310172418753,0.060360863095238096,2.1574122648300893,0.2637968068807021
