epoch,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction
1,0.0,39.897552490234375,1.0,2.2704444546661762e-08,0.1820347156759487,False,0.07066629827022552,0.32909348607063293,0.10144831240177155
2,0.0,43.07622528076172,1.0,2.8056549083999016e-08,0.2613032744486912,False,0.07460948824882507,0.25543954968452454,0.09401533752679825
3,0.0,43.8441162109375,1.0,2.176454039215514e-08,0.3227103868241264,False,0.07538335025310516,0.24187123775482178,0.08566145598888397
4,0.0,42.98982238769531,1.0,2.5860126484644752e-08,0.3721298181548448,False,0.07630696147680283,0.21768231689929962,0.10010706633329391
5,0.0,43.19364547729492,1.0,2.558933154261922e-08,0.4146999596746738,False,0.07571803033351898,0.22603201866149902,0.09070014208555222
6,0.0,43.26813507080078,1.0,2.8180417999124074e-08,0.45273435150988595,False,0.07679992914199829,0.20742885768413544,0.09868938475847244
