epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_choice_ce,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_selected_individual_future_mse,train_spearman,train_train_prefix_aggregate_future_mse,val_expert_containment_at_10,val_expert_rank_median,val_expert_regret_mean,val_free_running_aggregate_future_mse,val_ndcg_at_10,val_oracle_action_acc,val_selected_individual_future_mse,val_spearman,val_val_choice_ce
1,1.7115403715696305,0.0,39.1126594543457,1.0,2.54528540466481e-08,0.19922870872934073,False,0.07322311401367188,0.2831066846847534,0.09430716186761856,0.49274481207916054,0.7187042254768644,6.106631285321396,0.01653365992414665,0.11684181415929204,0.06826801517067003,0.12160605521043015,565.2241822060682,260.4646017699115,0.6220933313372011,4608.526548672567,0.9440859690892561,0.01653365992414665,1.0869426270652511,0.3581365680322997,0.35600396794385913,0.045302459242276286,1397.6063025210085,1.3091785940576437,1.8145606908510103,0.9331598810037646,0.005569157812024364,2.1235994933752202,0.16623455589234926,8.963842172983314
2,1.7451900510322425,0.0,38.752159118652344,1.0,2.4759184924505462e-08,0.2812316448084629,False,0.07642532885074615,0.22962719202041626,0.09003550559282303,0.4041286754186408,,5.027412186681697,0.04025758533501896,0.22376738305941846,0.14228429203539822,0.06167273171038977,287.1670749051833,82.19279393173198,0.39095488421892094,4610.206858407079,0.9643927549592463,0.04025758533501896,0.8558914450794345,0.34488105180521966,0.35593315861017155,0.04372914608708825,1407.8363445378152,1.2359768032558072,1.7909051399359568,0.9391910778624671,0.005304621850304744,2.050380451889599,0.2179889387529344,9.082255923447489
3,1.6511315259850095,0.0,41.07627487182617,1.0,2.6916072926042034e-08,0.3403145669593124,False,0.07462211698293686,0.2677061855792999,0.08313281089067459,0.34613124306126575,,4.733983474495137,0.05048988621997472,0.27366466498103664,0.17847266118836916,0.045195314728370656,210.67499604930467,51.66434892541087,0.32392855998312325,4610.592643805309,0.970176213572812,0.05048988621997472,0.7878843211061433,0.3457281383478884,0.3550277578911724,0.053703889669459146,1416.99243697479,1.207386144047149,1.7974230327884857,0.9390745798204125,0.006953240856684806,2.022017473984165,0.16720474302647534,9.020102078373693
4,1.5872600612598997,0.0,40.760406494140625,1.0,2.639337992604851e-08,0.38812308388091,False,0.07589448988437653,0.24379630386829376,0.0865173265337944,0.3175709689037719,,4.560060077008948,0.05933944374209861,0.3102481036662453,0.20122866624525917,0.03590887085636257,167.16733170037926,37.60493046776232,0.289815912543597,4608.526548672567,0.9735128965826915,0.05933944374209861,0.7542498686295545,0.34784831801743443,0.3554742999148806,0.051886122115738995,1412.0775210084034,1.182153795877894,1.7758142714097889,0.9401018697048436,0.0065616503968334,1.9967431956323005,0.18763218782273908,9.004658237325044
5,1.5875049388068438,0.0,41.06571960449219,1.0,2.7301524596623494e-08,0.4289791036444097,False,0.07509422302246094,0.25615933537483215,0.07957525551319122,0.30340317728880944,0.6128938967075022,4.461487358650275,0.0649296776232617,0.33326090391908975,0.22487357774968394,0.03081443528864031,143.38868915929203,30.962073324905184,0.27479171921062256,4608.526548672567,0.9749965138742807,0.0649296776232617,0.7398423474522215,0.3525078550108194,0.35596804472461213,0.055833693808179444,1455.4033613445379,1.1950822166135893,1.7958962200669404,0.9389477646901827,0.007121617032387176,2.0098778109653157,0.1783397005853644,9.028045773305813
6,1.5233210741887464,0.0,40.844146728515625,1.0,2.639337992604851e-08,0.4637139801277466,False,0.07421150803565979,0.2732442617416382,0.07782584428787231,0.28964646093590446,,4.373625483133097,0.07095448798988623,0.35763669405815424,0.23846396965865993,0.026407612805277127,122.93287768647282,25.941213653603032,0.2583167567641937,4612.217228982301,0.9766504675639716,0.07095448798988623,0.7228998479288538,0.35351250925912364,0.3553991453338287,0.060761786369653806,1454.6008403361343,1.1355026985862986,1.747477212995281,0.944247285671094,0.008289823284325728,1.950461167798323,0.20553262202276482,8.937237292077361
7,1.4896423121898272,0.0,39.951927185058594,1.0,2.5177680385013446e-08,0.49577151725621427,False,0.07558302581310272,0.24562110006809235,0.08271314948797226,0.2790096673389158,,4.320641372056134,0.07729535398230089,0.37519753476611883,0.2538124209860936,0.024208738645252432,112.63179519595448,22.827433628318584,0.24545317472873535,4613.404590707964,0.9777390700299882,0.07729535398230089,0.7101208870540527,0.3538657966743989,0.3554349766782804,0.06002880935283268,1421.1584033613447,1.1495607295613581,1.7533770952283363,0.9423212081694803,0.007605119255379218,1.9643581981668952,0.17743462855416586,8.926335008004132
8,1.483579691157271,0.0,40.201751708984375,1.0,2.9271674861774954e-08,0.5254306805217484,False,0.07338757812976837,0.29001352190971375,0.07808111608028412,0.2772679826054068,,4.270274759393878,0.08306336915297093,0.39200774336283184,0.26663242730720604,0.02224258942270237,103.81214443742098,22.128950695322377,0.23833222644387092,4614.613384955752,0.9785114104768872,0.08306336915297093,0.7032764673082326,0.35232470701201757,0.3560363151575762,0.06021186050982411,1413.3279411764706,1.1042861737702199,1.7118763709608904,0.9438428607558003,0.007603188335676403,1.9190927874547345,0.17051727619911355,8.894448155114631
9,1.4653956988736492,0.0,40.52314376831055,1.0,2.8303746901769955e-08,0.5533125604667851,False,0.07439344376325607,0.2682039737701416,0.07587910443544388,0.26691042255157454,,4.235437135780807,0.08653998103666245,0.406585809102402,0.27621286346396967,0.02057248623405881,95.5540257585335,19.329329962073324,0.22815110641101896,4612.140071902655,0.9792756061110877,0.08653998103666245,0.6924766552753454,0.35026946771479883,0.3552771438191046,0.05993921468503962,1421.7014705882352,1.181233179547331,1.7961312459687322,0.9418447611587387,0.008073560307350227,1.996126390007489,0.15345017981321105,8.939796317925975
10,1.4370395577291373,0.0,39.62509536743164,1.0,2.665600717932648e-08,0.5790149014971508,False,0.07344581186771393,0.28573012351989746,0.07971227169036865,0.26180695554821337,0.613503764040875,4.200163725203118,0.0919326801517067,0.41841814159292035,0.2894674462705436,0.019472993381826093,90.48475031605562,18.831226295828067,0.22300538331665823,4608.526548672567,0.9797750663591547,0.0919326801517067,0.6876805638976856,0.34705504449803304,0.3556456400644312,0.06201765636029113,1347.723739495798,1.1051948785687944,1.7139484182403053,0.9450169434066581,0.008479825754751678,1.920161210203997,0.1555650662981034,8.848055747476947
