epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_choice_ce,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_selected_individual_future_mse,train_spearman,train_train_prefix_aggregate_future_mse,val_expert_containment_at_10,val_expert_rank_median,val_expert_regret_mean,val_free_running_aggregate_future_mse,val_ndcg_at_10,val_oracle_action_acc,val_selected_individual_future_mse,val_spearman,val_val_choice_ce
1,1.237523465387554,0.0,38.798439025878906,1.0,2.78071521364609e-08,0.1896139854197173,False,0.07277435064315796,0.28644412755966187,0.10041099041700363,0.2624675837382042,0.6509638430618787,7.311088405879198,0.010548356510745892,0.07855957648546144,0.04436630847029077,0.12697421185591043,591.8531921618205,291.84766118836916,0.642794938543729,4614.167588495575,0.9422315242317624,0.010548356510745892,1.1074909967206672,0.3733087281098805,0.2892049733718902,0.060255113084401415,457.9838235294118,0.5230509591813223,1.7847473293694562,0.5875690581292665,0.006741998270310525,2.2865275572390615,0.2197885122256406,7.069688428550207
2,1.3058338449267586,0.0,39.9830322265625,1.0,2.665600717932648e-08,0.27049899138732303,False,0.07824039459228516,0.17438384890556335,0.1097833439707756,0.25286750562013943,,6.870848341325743,0.02054361567635904,0.129246997471555,0.07597187104930468,0.07862043975568456,366.7724399494311,146.5227560050569,0.5134208696210278,4608.526548672567,0.9541993093701591,0.02054361567635904,0.9774148512146567,0.4442706066862507,0.2886520006403082,0.05487248209782508,561.1911764705882,0.5197560464016341,1.7653421060087156,0.580948460693745,0.006546203040776131,2.3180360815855634,0.21300505812407455,7.280590960258196
3,1.3596683077680123,0.0,39.97929000854492,1.0,2.742880589323704e-08,0.33111477636517267,False,0.07997585833072662,0.13860340416431427,0.10845425724983215,0.2538594990129522,,6.691568988614378,0.02605483565107459,0.15581542351453856,0.09432285082174463,0.061057109798894685,284.9233367572693,101.85461441213654,0.44648211014218037,4608.526548672567,0.9604423887057492,0.02605483565107459,0.9112846290530205,0.47476197795433833,0.2893801457690153,0.05029311358944333,634.1113445378152,0.5399670981160296,1.7645374317828635,0.5701327044015922,0.006059225161066826,2.4011104365951623,0.20716760018554842,7.467291363848358
4,1.3440911049562312,0.0,40.56550598144531,1.0,3.1672058753429155e-08,0.38167714319000806,False,0.07896507531404495,0.16816674172878265,0.0941614881157875,0.2648017026792048,,6.582879887217969,0.02990676359039191,0.17458122629582806,0.10534529077117573,0.05293309129207947,246.87345922882426,82.45575221238938,0.41568592952755096,4610.764103982301,0.9640132565564663,0.02990676359039191,0.8796195995566516,0.49100048446303424,0.28858618991150414,0.0454318308381035,612.5457983193278,0.5630215769226686,1.8326042425516633,0.5640487244117911,0.004763192041706639,2.6401102305429074,0.20304695353633923,7.400847548196296
5,1.3211984891172197,0.0,39.843143463134766,1.0,2.4759184924505462e-08,0.4244064558402422,False,0.07880488783121109,0.16524344682693481,0.10155463963747025,0.26804631684130664,0.7468588391290966,6.486719464833757,0.034588337547408345,0.19544089759797725,0.11909371049304678,0.04652861712786009,217.0256400126422,68.92414664981037,0.39407858141378865,4613.430309734514,0.9665828206295008,0.034588337547408345,0.8587454091828179,0.5013966682475316,0.2888975931536383,0.046315419562004446,680.0970588235293,0.5570736143456286,1.7857851009024674,0.5694471164473465,0.005156327237007248,2.577605175696501,0.1986910661202961,7.521394780403425
6,1.323589701637743,0.0,38.75096130371094,1.0,2.2550514344743533e-08,0.4614830622361068,False,0.0791483074426651,0.1545713096857071,0.10845813155174255,0.28346806338122876,,6.4149612958452344,0.038993362831858405,0.212468394437421,0.13331621365360302,0.04208272410758009,196.14301517067003,60.82996207332491,0.37000111814508246,4608.526548672567,0.9690009695389479,0.038993362831858405,0.8344057907271476,0.507459675995692,0.28873807233528676,0.05193632601001182,656.9571428571428,0.5054225473617743,1.7238492770575482,0.5759174111917489,0.0058611128275760085,2.2226127968240186,0.20735450474753062,7.437194261530868
7,1.2695522831959865,0.0,38.84150695800781,1.0,2.558933154261922e-08,0.4956614010347034,False,0.07893484830856323,0.16266180574893951,0.09705229103565216,0.286040418127415,,6.356744211331933,0.0402180783817952,0.22372787610619468,0.1401509165613148,0.03866142592266365,180.33618441845766,53.63211125158028,0.35589150127433195,4608.526548672567,0.9704269624766146,0.0402180783817952,0.8206249846406893,0.5114821058267682,0.2889407752729321,0.0457728312202111,714.7056722689076,0.5718668001038688,1.8113013597429015,0.5712305008488544,0.005065960207750566,2.311069041822387,0.19208324741493105,7.541395514552333
8,1.284392885635754,0.0,38.783504486083984,1.0,3.089266087386022e-08,0.5261616424520894,False,0.07903023064136505,0.1624545305967331,0.09817347675561905,0.2845974644578448,,6.304625720049428,0.043911978508217445,0.23943189001264223,0.1510153286978508,0.03578559725910929,167.02676596080912,47.16877370417193,0.3370638009579911,4608.526548672567,0.9720495390304271,0.043911978508217445,0.8019262957004017,0.5148776983996609,0.28897141263962695,0.04863522618289004,721.4033613445379,0.5455804714627814,1.7853800958088843,0.5738580341411739,0.005513547331157352,2.3432628626395173,0.20517126863846685,7.517388362043044
9,1.2657555359333494,0.0,39.139488220214844,1.0,2.639337992604851e-08,0.5547710175595277,False,0.07903513312339783,0.16226385533809662,0.09957096725702286,0.2914607363510516,,6.266042460382512,0.048672566371681415,0.24699747155499369,0.1591537610619469,0.033776857434434114,157.53976374841972,44.91529709228824,0.3273951343711649,4608.526548672567,0.9729156444407293,0.048672566371681415,0.7937410013696035,0.5183089306317479,0.29101932093067806,0.041034354944126446,760.074369747899,0.5803252548425449,1.7848945846086044,0.5651639320519791,0.00443493573918563,2.487574932029267,0.17367626859053498,7.692912999822312
10,1.2470050679196554,0.0,38.62928771972656,1.0,2.5994465246981235e-08,0.5822947206468311,False,0.07937340438365936,0.15243911743164062,0.1027071624994278,0.2930413135937386,0.7448526040618951,6.2386343985532235,0.049028128950695325,0.25803966498103664,0.1653563527180784,0.03240054309711676,151.18558391276864,42.42920353982301,0.3223653842098116,4608.526548672567,0.9735012982798888,0.049028128950695325,0.787182366614396,0.5141600009145344,0.28897489602624543,0.040261987171002794,777.6785714285713,0.564293983711728,1.799496370116205,0.5710530448016249,0.004236437222223823,2.3922732267403553,0.18634610586890832,7.661939236997556
