epoch,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction
1,0.0,40.75770568847656,1.0,2.950869593121297e-08,0.19991203999093934,False,0.07204276323318481,0.2995157241821289,0.09343271702528
2,0.0,44.19690704345703,1.0,3.0666338801665916e-08,0.2668996157572098,False,0.07403863966464996,0.2631925344467163,0.08349670469760895
3,0.0,44.58501434326172,1.0,2.665600717932648e-08,0.31773271863189095,False,0.07431836426258087,0.26043763756752014,0.08112618327140808
4,0.0,45.106815338134766,1.0,2.8303746901769955e-08,0.35802775030848405,False,0.07445833832025528,0.2567400336265564,0.07740278542041779
5,0.0,44.987850189208984,1.0,2.867055037825139e-08,0.3956368552915099,False,0.07486309856176376,0.24808359146118164,0.08010070025920868
6,0.0,45.60523986816406,1.0,3.609240550872528e-08,0.4287542490007959,False,0.07643549144268036,0.2179412990808487,0.08388622850179672
7,0.0,45.68339920043945,1.0,3.369681422782378e-08,0.46001945893658863,False,0.07596373558044434,0.22686250507831573,0.07875853031873703
8,0.0,45.083412170410156,1.0,2.717364822046875e-08,0.48838507518608065,False,0.07680919766426086,0.2051807940006256,0.08668626099824905
9,0.0,45.6558723449707,1.0,3.264680970005429e-08,0.5162859511317273,False,0.07583113014698029,0.22730199992656708,0.07958924025297165
10,0.0,45.87967300415039,1.0,2.7681611669549966e-08,0.5420323941114924,False,0.07699190080165863,0.19935037195682526,0.07806216925382614
