epoch,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction
1,0.0,39.1126594543457,1.0,2.54528540466481e-08,0.19922870872934073,False,0.07322311401367188,0.2831066846847534,0.09430716186761856
2,0.0,38.752159118652344,1.0,2.4759184924505462e-08,0.2812316448084629,False,0.07642532885074615,0.22962719202041626,0.09003550559282303
3,0.0,41.07627487182617,1.0,2.6916072926042034e-08,0.3403145669593124,False,0.07462211698293686,0.2677061855792999,0.08313281089067459
4,0.0,40.760406494140625,1.0,2.639337992604851e-08,0.38812308388091,False,0.07589448988437653,0.24379630386829376,0.0865173265337944
5,0.0,41.06571960449219,1.0,2.7301524596623494e-08,0.4289791036444097,False,0.07509422302246094,0.25615933537483215,0.07957525551319122
6,0.0,40.844146728515625,1.0,2.639337992604851e-08,0.4637139801277466,False,0.07421150803565979,0.2732442617416382,0.07782584428787231
7,0.0,39.951927185058594,1.0,2.5177680385013446e-08,0.49577151725621427,False,0.07558302581310272,0.24562110006809235,0.08271314948797226
8,0.0,40.201751708984375,1.0,2.9271674861774954e-08,0.5254306805217484,False,0.07338757812976837,0.29001352190971375,0.07808111608028412
9,0.0,40.52314376831055,1.0,2.8303746901769955e-08,0.5533125604667851,False,0.07439344376325607,0.2682039737701416,0.07587910443544388
10,0.0,39.62509536743164,1.0,2.665600717932648e-08,0.5790149014971508,False,0.07344581186771393,0.28573012351989746,0.07971227169036865
