arm,step,base_mse,ret_mse,delta_mse
Individual-TF-Asym,1,0.11444704979658127,0.13102500140666962,0.01657795161008835
Individual-TF-Asym,2,0.19114013016223907,0.21231788396835327,0.021177753806114197
Individual-TF-Asym,3,0.2806779146194458,0.26783373951911926,-0.012844175100326538
Individual-TF-Asym,4,0.3271286189556122,0.32874053716659546,0.0016119182109832764
Individual-TF-Asym,5,0.32376763224601746,0.37933725118637085,0.055569618940353394
Individual-TF-Asym,6,0.3485800325870514,0.4114270806312561,0.06284704804420471
Individual-TF-Asym,7,0.35319259762763977,0.4224824011325836,0.06928980350494385
Individual-TF-Asym,8,0.36537522077560425,0.42792585492134094,0.0625506341457367
Individual-TF-Asym,9,0.3561435639858246,0.43747031688690186,0.08132675290107727
Individual-TF-Asym,10,0.35497915744781494,0.4555725157260895,0.10059335827827454
Individual-TF-Asym,11,0.37960490584373474,0.4690413475036621,0.08943644165992737
Individual-TF-Asym,12,0.35767489671707153,0.47454458475112915,0.11686968803405762
Individual-TF-Asym,13,0.36731112003326416,0.47185125946998596,0.1045401394367218
Individual-TF-Asym,14,0.3513074219226837,0.46504727005958557,0.11373984813690186
Individual-TF-Asym,15,0.34355029463768005,0.4736022651195526,0.13005197048187256
Individual-TF-Asym,16,0.34266674518585205,0.4933032691478729,0.15063652396202087
Individual-TF-Asym,17,0.3452085256576538,0.506180465221405,0.16097193956375122
Individual-TF-Asym,18,0.33778616786003113,0.5149582028388977,0.17717203497886658
Individual-TF-Asym,19,0.33717697858810425,0.5091767907142639,0.17199981212615967
Individual-TF-Asym,20,0.34461989998817444,0.495569109916687,0.15094920992851257
Individual-TF-Asym,21,0.37351682782173157,0.45601794123649597,0.0825011134147644
Individual-TF-Asym,22,0.37883520126342773,0.4327031970024109,0.053867995738983154
Individual-TF-Asym,23,0.36426877975463867,0.4059878885746002,0.04171910881996155
Individual-TF-Asym,24,0.3688656985759735,0.39086276292800903,0.021997064352035522
Individual-TF-Asym,25,0.4159789979457855,0.41596782207489014,-1.1175870895385742e-05
Individual-TF-Asym,26,0.42770007252693176,0.44614386558532715,0.018443793058395386
Individual-TF-Asym,27,0.41964104771614075,0.4508354067802429,0.031194359064102173
Individual-TF-Asym,28,0.3998973071575165,0.4728628098964691,0.07296550273895264
Individual-TF-Asym,29,0.3728641867637634,0.493499755859375,0.12063556909561157
Individual-TF-Asym,30,0.36592283844947815,0.5014314651489258,0.13550862669944763
Individual-TF-Asym,31,0.36806467175483704,0.4990520775318146,0.13098740577697754
Individual-TF-Asym,32,0.3651392459869385,0.5053713321685791,0.14023208618164062
Individual-TF-Asym,33,0.36823222041130066,0.5023812651634216,0.13414904475212097
Individual-TF-Asym,34,0.3636602759361267,0.5068609714508057,0.14320069551467896
Individual-TF-Asym,35,0.3761001229286194,0.5054775476455688,0.12937742471694946
Individual-TF-Asym,36,0.3669327199459076,0.5005395412445068,0.13360682129859924
Individual-TF-Asym,37,0.36010581254959106,0.507208526134491,0.1471027135848999
Individual-TF-Asym,38,0.3572452664375305,0.5128807425498962,0.15563547611236572
Individual-TF-Asym,39,0.355646014213562,0.5325725078582764,0.17692649364471436
Individual-TF-Asym,40,0.3590998649597168,0.5488146543502808,0.18971478939056396
Individual-TF-Asym,41,0.35981443524360657,0.5492613315582275,0.18944689631462097
Individual-TF-Asym,42,0.3538561761379242,0.5503868460655212,0.19653066992759705
Individual-TF-Asym,43,0.35247373580932617,0.539895236492157,0.1874215006828308
Individual-TF-Asym,44,0.3512856960296631,0.5324822664260864,0.18119657039642334
Individual-TF-Asym,45,0.36646997928619385,0.5136674642562866,0.14719748497009277
Individual-TF-Asym,46,0.3505927622318268,0.5088252425193787,0.15823248028755188
Individual-TF-Asym,47,0.3586486577987671,0.4991702735424042,0.14052161574363708
Individual-TF-Asym,48,0.36179107427597046,0.48796024918556213,0.12616917490959167
Individual-TF-Asym,49,0.35542869567871094,0.5162599682807922,0.1608312726020813
Individual-TF-Asym,50,0.3607197403907776,0.5198776125907898,0.1591578722000122
Individual-TF-Asym,51,0.36927640438079834,0.5110220313072205,0.14174562692642212
Individual-TF-Asym,52,0.37728151679039,0.5123382806777954,0.1350567638874054
Individual-TF-Asym,53,0.40213024616241455,0.5202499032020569,0.11811965703964233
Individual-TF-Asym,54,0.3828285336494446,0.5256903767585754,0.14286184310913086
Individual-TF-Asym,55,0.38144630193710327,0.5252535939216614,0.1438072919845581
Individual-TF-Asym,56,0.3885573446750641,0.5254451632499695,0.1368878185749054
Individual-TF-Asym,57,0.3834776282310486,0.5217702388763428,0.1382926106452942
Individual-TF-Asym,58,0.3907768428325653,0.5218555331230164,0.13107869029045105
Individual-TF-Asym,59,0.39176416397094727,0.52876216173172,0.1369979977607727
Individual-TF-Asym,60,0.38918378949165344,0.5425341725349426,0.15335038304328918
Individual-TF-Asym,61,0.39668336510658264,0.5433157682418823,0.14663240313529968
Individual-TF-Asym,62,0.38447484374046326,0.5367171168327332,0.1522422730922699
Individual-TF-Asym,63,0.385027676820755,0.5413607954978943,0.15633311867713928
Individual-TF-Asym,64,0.39136219024658203,0.5468229651451111,0.15546077489852905
Individual-TF-Asym,65,0.38689279556274414,0.551571249961853,0.1646784543991089
Individual-TF-Asym,66,0.38720637559890747,0.5660090446472168,0.17880266904830933
Individual-TF-Asym,67,0.3973042368888855,0.5806017518043518,0.1832975149154663
Individual-TF-Asym,68,0.4117509722709656,0.5725605487823486,0.16080957651138306
Individual-TF-Asym,69,0.389582097530365,0.5489110350608826,0.15932893753051758
Individual-TF-Asym,70,0.3854723870754242,0.5376259088516235,0.15215352177619934
Individual-TF-Asym,71,0.38194558024406433,0.5308517813682556,0.14890620112419128
Individual-TF-Asym,72,0.429019033908844,0.5153477787971497,0.08632874488830566
Individual-TF-Asym,73,0.41148436069488525,0.5402731895446777,0.12878882884979248
Individual-TF-Asym,74,0.4142405390739441,0.5611010193824768,0.14686048030853271
Individual-TF-Asym,75,0.3982276916503906,0.5489262938499451,0.15069860219955444
Individual-TF-Asym,76,0.4035145342350006,0.558262288570404,0.15474775433540344
Individual-TF-Asym,77,0.4007534086704254,0.5788462162017822,0.1780928075313568
Individual-TF-Asym,78,0.4609309732913971,0.5815633535385132,0.12063238024711609
Individual-TF-Asym,79,0.41897472739219666,0.5741304755210876,0.155155748128891
Individual-TF-Asym,80,0.4192960262298584,0.5844071507453918,0.16511112451553345
Individual-TF-Asym,81,0.4226820766925812,0.5729268193244934,0.15024474263191223
Individual-TF-Asym,82,0.41928836703300476,0.5617206692695618,0.142432302236557
Individual-TF-Asym,83,0.4146847426891327,0.5642364025115967,0.149551659822464
Individual-TF-Asym,84,0.40393611788749695,0.5741931796073914,0.1702570617198944
Individual-TF-Asym,85,0.40492361783981323,0.5755071043968201,0.17058348655700684
Individual-TF-Asym,86,0.4035956859588623,0.5951310396194458,0.1915353536605835
Individual-TF-Asym,87,0.4095708131790161,0.623407781124115,0.21383696794509888
Individual-TF-Asym,88,0.40990403294563293,0.6411550641059875,0.23125103116035461
Individual-TF-Asym,89,0.4141407012939453,0.6527811288833618,0.2386404275894165
Individual-TF-Asym,90,0.41978996992111206,0.6562544107437134,0.23646444082260132
Individual-TF-Asym,91,0.41571158170700073,0.6548748016357422,0.23916321992874146
Individual-TF-Asym,92,0.41460058093070984,0.6302160024642944,0.2156154215335846
Individual-TF-Asym,93,0.40894782543182373,0.6049588322639465,0.1960110068321228
Individual-TF-Asym,94,0.4017658233642578,0.6106217503547668,0.20885592699050903
Individual-TF-Asym,95,0.4040087163448334,0.6122275590896606,0.20821884274482727
Individual-TF-Asym,96,0.4200240671634674,0.586643397808075,0.16661933064460754
Individual-TF-Asym,97,0.40224918723106384,0.591987133026123,0.1897379457950592
Individual-TF-Asym,98,0.40283676981925964,0.5720682144165039,0.16923144459724426
Individual-TF-Asym,99,0.42294853925704956,0.5437533259391785,0.1208047866821289
Individual-TF-Asym,100,0.42277899384498596,0.5291311740875244,0.10635218024253845
Individual-TF-Asym,101,0.43198060989379883,0.5357994437217712,0.10381883382797241
Individual-TF-Asym,102,0.43574896454811096,0.5405159592628479,0.10476699471473694
Individual-TF-Asym,103,0.41263943910598755,0.5338938236236572,0.12125438451766968
Individual-TF-Asym,104,0.43504050374031067,0.5434674620628357,0.10842695832252502
Individual-TF-Asym,105,0.41028329730033875,0.543218195438385,0.13293489813804626
Individual-TF-Asym,106,0.4172481596469879,0.5440332293510437,0.1267850697040558
Individual-TF-Asym,107,0.4212047755718231,0.5516037344932556,0.1303989589214325
Individual-TF-Asym,108,0.4172244966030121,0.5687533020973206,0.15152880549430847
Individual-TF-Asym,109,0.41800379753112793,0.5655456781387329,0.14754188060760498
Individual-TF-Asym,110,0.4132091999053955,0.5595006346702576,0.14629143476486206
Individual-TF-Asym,111,0.4084058701992035,0.5641005039215088,0.1556946337223053
Individual-TF-Asym,112,0.4070221483707428,0.5765396356582642,0.16951748728752136
Individual-TF-Asym,113,0.4020826816558838,0.5808115601539612,0.1787288784980774
Individual-TF-Asym,114,0.39804503321647644,0.5896473526954651,0.19160231947898865
Individual-TF-Asym,115,0.3977758288383484,0.6027094125747681,0.20493358373641968
Individual-TF-Asym,116,0.40031927824020386,0.5914408564567566,0.19112157821655273
Individual-TF-Asym,117,0.4058479964733124,0.5668476223945618,0.1609996259212494
Individual-TF-Asym,118,0.40187758207321167,0.5623213648796082,0.16044378280639648
Individual-TF-Asym,119,0.40666618943214417,0.5579745173454285,0.1513083279132843
Individual-TF-Asym,120,0.42197418212890625,0.5377290844917297,0.11575490236282349
Individual-TF-Asym,121,0.43785175681114197,0.5550261735916138,0.1171744167804718
Individual-TF-Asym,122,0.4267370104789734,0.5579518675804138,0.13121485710144043
Individual-TF-Asym,123,0.4118012487888336,0.5472889542579651,0.13548770546913147
Individual-TF-Asym,124,0.42597848176956177,0.5543404817581177,0.1283619999885559
Individual-TF-Asym,125,0.43502795696258545,0.5555564165115356,0.1205284595489502
Individual-TF-Asym,126,0.463183730840683,0.5567566156387329,0.09357288479804993
Individual-TF-Asym,127,0.4358920753002167,0.5487225651741028,0.11283048987388611
Individual-TF-Asym,128,0.4242550730705261,0.5457994937896729,0.12154442071914673
Individual-TF-Asym,129,0.4187410771846771,0.541494607925415,0.12275353074073792
Individual-TF-Asym,130,0.4228071868419647,0.5419929027557373,0.11918571591377258
Individual-TF-Asym,131,0.4358336627483368,0.5514442920684814,0.11561062932014465
Individual-TF-Asym,132,0.4352060854434967,0.5639329552650452,0.12872686982154846
Individual-TF-Asym,133,0.41944581270217896,0.560634195804596,0.141188383102417
Individual-TF-Asym,134,0.4345313310623169,0.5659670233726501,0.13143569231033325
Individual-TF-Asym,135,0.4456058442592621,0.575724184513092,0.13011834025382996
Individual-TF-Asym,136,0.45850425958633423,0.591559112071991,0.13305485248565674
Individual-TF-Asym,137,0.44247883558273315,0.6050050258636475,0.1625261902809143
Individual-TF-Asym,138,0.45849335193634033,0.6102142333984375,0.15172088146209717
Individual-TF-Asym,139,0.4493684470653534,0.6231882572174072,0.17381981015205383
Individual-TF-Asym,140,0.4728485941886902,0.6065241098403931,0.13367551565170288
Individual-TF-Asym,141,0.4472063481807709,0.5853962898254395,0.13818994164466858
Individual-TF-Asym,142,0.44485822319984436,0.5805730819702148,0.13571485877037048
Individual-TF-Asym,143,0.43684202432632446,0.5734950304031372,0.13665300607681274
Individual-TF-Asym,144,0.4218430817127228,0.547808825969696,0.12596574425697327
Individual-TF-Asym,145,0.4242684841156006,0.5658478140830994,0.14157932996749878
Individual-TF-Asym,146,0.43758705258369446,0.5745699405670166,0.13698288798332214
Individual-TF-Asym,147,0.42416322231292725,0.5608776807785034,0.13671445846557617
Individual-TF-Asym,148,0.4371086061000824,0.5677969455718994,0.13068833947181702
Individual-TF-Asym,149,0.4436754584312439,0.5819538831710815,0.13827842473983765
Individual-TF-Asym,150,0.4284243583679199,0.5819483995437622,0.15352404117584229
Individual-TF-Asym,151,0.4283202290534973,0.5719478726387024,0.14362764358520508
Individual-TF-Asym,152,0.43605563044548035,0.5629078149795532,0.12685218453407288
Individual-TF-Asym,153,0.4277811348438263,0.5536094903945923,0.125828355550766
Individual-TF-Asym,154,0.4312078058719635,0.55340576171875,0.1221979558467865
Individual-TF-Asym,155,0.43605366349220276,0.5604103803634644,0.1243567168712616
Individual-TF-Asym,156,0.4480096101760864,0.5661885142326355,0.11817890405654907
Individual-TF-Asym,157,0.44334876537323,0.5559000968933105,0.11255133152008057
Individual-TF-Asym,158,0.4308168590068817,0.5464382171630859,0.11562135815620422
Individual-TF-Asym,159,0.4404628276824951,0.5571146607398987,0.11665183305740356
Individual-TF-Asym,160,0.44076475501060486,0.574305534362793,0.1335407793521881
Individual-TF-Asym,161,0.44229656457901,0.5743296146392822,0.13203305006027222
Individual-TF-Asym,162,0.4312092959880829,0.5777440071105957,0.14653471112251282
Individual-TF-Asym,163,0.42292270064353943,0.5928270816802979,0.16990438103675842
Individual-TF-Asym,164,0.4227526783943176,0.5856099724769592,0.1628572940826416
Individual-TF-Asym,165,0.4222826063632965,0.5628716945648193,0.14058908820152283
Individual-TF-Asym,166,0.4197714328765869,0.5528926849365234,0.13312125205993652
Individual-TF-Asym,167,0.4214404225349426,0.5458347201347351,0.12439429759979248
Individual-TF-Asym,168,0.43789801001548767,0.5210413336753845,0.08314332365989685
Individual-TF-Asym,169,0.44484204053878784,0.5417593717575073,0.09691733121871948
Individual-TF-Asym,170,0.5001333951950073,0.5585193634033203,0.05838596820831299
Individual-TF-Asym,171,0.44341546297073364,0.5598160028457642,0.11640053987503052
Individual-TF-Asym,172,0.43226614594459534,0.5726772546768188,0.1404111087322235
Individual-TF-Asym,173,0.435804158449173,0.5908675193786621,0.15506336092948914
Individual-TF-Asym,174,0.4671922028064728,0.6009848117828369,0.13379260897636414
Individual-TF-Asym,175,0.4506028890609741,0.5972663760185242,0.14666348695755005
Individual-TF-Asym,176,0.4520969092845917,0.595740556716919,0.14364364743232727
Individual-TF-Asym,177,0.4483295679092407,0.5858604907989502,0.13753092288970947
Individual-TF-Asym,178,0.45695430040359497,0.5799353718757629,0.12298107147216797
Individual-TF-Asym,179,0.46335116028785706,0.5756884813308716,0.11233732104301453
Individual-TF-Asym,180,0.461421936750412,0.5836350917816162,0.12221315503120422
Individual-TF-Asym,181,0.4505268335342407,0.5794456601142883,0.1289188265800476
Individual-TF-Asym,182,0.448006272315979,0.5856203436851501,0.13761407136917114
Individual-TF-Asym,183,0.45050740242004395,0.6034843921661377,0.15297698974609375
Individual-TF-Asym,184,0.43974509835243225,0.6134160757064819,0.17367097735404968
Individual-TF-Asym,185,0.4545898735523224,0.6167213320732117,0.16213145852088928
Individual-TF-Asym,186,0.424336701631546,0.6195229887962341,0.1951862871646881
Individual-TF-Asym,187,0.426979124546051,0.6254234910011292,0.19844436645507812
Individual-TF-Asym,188,0.4303629398345947,0.6014041304588318,0.17104119062423706
Individual-TF-Asym,189,0.4274827539920807,0.58638596534729,0.15890321135520935
Individual-TF-Asym,190,0.42750513553619385,0.5988646149635315,0.17135947942733765
Individual-TF-Asym,191,0.43083256483078003,0.596869170665741,0.16603660583496094
Individual-TF-Asym,192,0.45892465114593506,0.5817957520484924,0.12287110090255737
Individual-TF-Asym,193,0.4475668966770172,0.5901167392730713,0.14254984259605408
Individual-TF-Asym,194,0.4372333884239197,0.5824462175369263,0.1452128291130066
Individual-TF-Asym,195,0.4455905258655548,0.5660480856895447,0.12045755982398987
Individual-TF-Asym,196,0.44708529114723206,0.5756732225418091,0.12858793139457703
Individual-TF-Asym,197,0.44784483313560486,0.5755940675735474,0.1277492344379425
Individual-TF-Asym,198,0.4557516574859619,0.5765640139579773,0.12081235647201538
Individual-TF-Asym,199,0.44719886779785156,0.5741775035858154,0.12697863578796387
Individual-TF-Asym,200,0.4460771381855011,0.5704672336578369,0.12439009547233582
Individual-TF-Asym,201,0.4465288817882538,0.5621812343597412,0.11565235257148743
Individual-TF-Asym,202,0.4609088599681854,0.5594608783721924,0.09855201840400696
Individual-TF-Asym,203,0.4630880355834961,0.562796950340271,0.0997089147567749
Individual-TF-Asym,204,0.47483155131340027,0.5728498101234436,0.09801825881004333
Individual-TF-Asym,205,0.46037885546684265,0.5668484568595886,0.10646960139274597
Individual-TF-Asym,206,0.4564298391342163,0.559654951095581,0.10322511196136475
Individual-TF-Asym,207,0.441437304019928,0.5613042712211609,0.11986696720123291
Individual-TF-Asym,208,0.4340018630027771,0.5729519724845886,0.13895010948181152
Individual-TF-Asym,209,0.4369216859340668,0.5715020298957825,0.1345803439617157
Individual-TF-Asym,210,0.4532974362373352,0.5741603970527649,0.12086296081542969
Individual-TF-Asym,211,0.43615272641181946,0.5893370509147644,0.15318432450294495
