arm,qc_index,e_base,e_ret,corr_cos,lambda_star,gain_lam1,gain_global
Individual-TF-Asym,0,0.5591856837272644,0.5627618432044983,0.21055178344249725,0.48316165804862976,-0.0035761594772338867,0.021788060665130615
Individual-TF-Asym,1,0.38756608963012695,0.28130456805229187,0.5551813840866089,0.7505419254302979,0.10626152157783508,0.07923626899719238
Individual-TF-Asym,2,0.6132857203483582,0.5952981114387512,0.2665528655052185,0.5661594867706299,0.017987608909606934,0.03500103950500488
Individual-TF-Asym,3,0.3520616888999939,0.27440059185028076,0.48865610361099243,0.7836722731590271,0.07766109704971313,0.05400380492210388
Individual-TF-Asym,4,0.22383691370487213,0.3536604046821594,0.33323121070861816,0.28615427017211914,-0.1298234909772873,0.02460239827632904
Individual-TF-Asym,5,0.2319537252187729,0.5133915543556213,0.5896583199501038,0.32062828540802,-0.28143781423568726,0.0806250274181366
Individual-TF-Asym,6,0.0732019767165184,0.07613170146942139,0.2854318916797638,0.450214147567749,-0.0029297247529029846,0.005426183342933655
Individual-TF-Asym,7,0.5719808340072632,0.5627989172935486,0.2470589131116867,0.5380715727806091,0.0091819167137146,0.02891373634338379
Individual-TF-Asym,8,0.3644166588783264,0.3512251079082489,0.5490489602088928,0.5159852504730225,0.013191550970077515,0.09319287538528442
Individual-TF-Asym,9,0.6282967329025269,0.610779345035553,0.2515084743499756,0.5721400380134583,0.017517387866973877,0.031717896461486816
Individual-TF-Asym,10,0.33707407116889954,0.2937774956226349,0.4101523160934448,0.6728295087814331,0.04329657554626465,0.04066890478134155
Individual-TF-Asym,11,0.23559612035751343,0.28676852583885193,0.4486939013004303,0.4095293879508972,-0.0511724054813385,0.044906243681907654
Individual-TF-Asym,12,0.23381894826889038,0.5645071268081665,0.5894697904586792,0.3075304329395294,-0.3306881785392761,0.0811978131532669
Individual-TF-Asym,13,0.07437164336442947,0.07267336547374725,0.3542328476905823,0.5250875949859619,0.0016982778906822205,0.00783877819776535
Individual-TF-Asym,14,0.5804627537727356,0.9233235716819763,0.07716672867536545,0.09082923084497452,-0.3428608179092407,-0.017603933811187744
Individual-TF-Asym,15,0.40385326743125916,0.4107721149921417,0.2448558658361435,0.46862325072288513,-0.006918847560882568,0.02161186933517456
Individual-TF-Asym,16,0.6282384991645813,0.8046717047691345,0.18032541871070862,0.24364787340164185,-0.17643320560455322,0.01867496967315674
Individual-TF-Asym,17,0.3662729561328888,0.4237431287765503,0.11799559742212296,0.22208459675312042,-0.0574701726436615,0.004206359386444092
Individual-TF-Asym,18,0.2686211168766022,0.2688106894493103,0.5210760235786438,0.49967554211616516,-0.00018957257270812988,0.0629766583442688
Individual-TF-Asym,19,0.24793855845928192,0.3567519187927246,0.6627072691917419,0.41425618529319763,-0.10881336033344269,0.10264270007610321
Individual-TF-Asym,20,0.07384985685348511,0.08144542574882507,0.323031485080719,0.4150877296924591,-0.007595568895339966,0.007258422672748566
Individual-TF-Asym,21,0.5721043348312378,0.8705584406852722,0.024044280871748924,0.03219999745488167,-0.2984541058540344,-0.025187194347381592
Individual-TF-Asym,22,0.3895644247531891,0.5036322474479675,0.013736381195485592,0.02474895864725113,-0.11406782269477844,-0.010038882493972778
Individual-TF-Asym,23,0.6203643083572388,0.9308534264564514,0.08441612869501114,0.10593180358409882,-0.31048911809921265,-0.012804150581359863
Individual-TF-Asym,24,0.35080504417419434,0.3659111559391022,0.2381686568260193,0.42986297607421875,-0.015106111764907837,0.018479138612747192
Individual-TF-Asym,25,0.2565683126449585,0.46181297302246094,0.5434802770614624,0.3417982757091522,-0.20524466037750244,0.07531803846359253
Individual-TF-Asym,26,0.24705132842063904,1.3771069049835205,0.5874451398849487,0.20939898490905762,-1.130055546760559,0.06355971097946167
Individual-TF-Asym,27,0.07704967260360718,0.06726764887571335,0.42212212085723877,0.6509590744972229,0.00978202372789383,0.010073058307170868
Individual-TF-Asym,28,0.577921450138092,0.7921798825263977,0.013518796302378178,0.02171509526669979,-0.21425843238830566,-0.019164979457855225
Individual-TF-Asym,29,0.3822118043899536,0.4492492377758026,0.11258693039417267,0.20610632002353668,-0.067037433385849,0.0034916698932647705
Individual-TF-Asym,30,0.6201357245445251,0.7868037819862366,0.09335057437419891,0.15053890645503998,-0.16666805744171143,-0.0010483264923095703
Individual-TF-Asym,31,0.35640498995780945,0.3468552231788635,0.2816452980041504,0.5513397455215454,0.009549766778945923,0.02307787537574768
Individual-TF-Asym,32,0.2753559648990631,0.3211164176464081,0.5362800359725952,0.4432380795478821,-0.04576045274734497,0.07256583869457245
Individual-TF-Asym,33,0.2487870752811432,3.4881224632263184,0.49338409304618835,0.11930881440639496,-3.239335298538208,-0.10241985321044922
Individual-TF-Asym,34,0.0760301873087883,0.07228485494852066,0.4147898256778717,0.5420649647712708,0.003745332360267639,0.010786391794681549
Individual-TF-Asym,35,0.5908049941062927,0.7302942872047424,0.022161001339554787,0.04357531666755676,-0.1394892930984497,-0.010969936847686768
Individual-TF-Asym,36,0.4378768801689148,0.4626222252845764,0.18920616805553436,0.38375920057296753,-0.02474534511566162,0.015172719955444336
Individual-TF-Asym,37,0.6321237683296204,0.7780259847640991,0.08653149008750916,0.15057025849819183,-0.14590221643447876,-0.0009137392044067383
Individual-TF-Asym,38,0.3722631335258484,0.2861555814743042,0.49918410181999207,0.7887420654296875,0.08610755205154419,0.05930224061012268
Individual-TF-Asym,39,0.25933972001075745,0.38342687487602234,0.48928365111351013,0.366077721118927,-0.12408715486526489,0.06087839603424072
Individual-TF-Asym,40,0.24790537357330322,3.8285484313964844,0.45334598422050476,0.10590310394763947,-3.5806431770324707,-0.14773103594779968
Individual-TF-Asym,41,0.07464943826198578,0.08932168036699295,0.2982221841812134,0.35821184515953064,-0.014672242105007172,0.006542585790157318
Individual-TF-Asym,42,0.5864009857177734,0.8570277094841003,0.059048738330602646,0.07969312369823456,-0.2706267237663269,-0.01578587293624878
Individual-TF-Asym,43,0.45451194047927856,0.39561232924461365,0.37016960978507996,0.8110508322715759,0.05889961123466492,0.038985610008239746
Individual-TF-Asym,44,0.6302483677864075,0.7597694993019104,0.12476035952568054,0.2097007930278778,-0.12952113151550293,0.00733494758605957
Individual-TF-Asym,45,0.42065852880477905,0.4819954037666321,0.033312227576971054,0.0799591988325119,-0.06133687496185303,-0.0035678446292877197
Individual-TF-Asym,46,0.25080224871635437,0.4461568593978882,0.4515756070613861,0.3129512369632721,-0.1953546106815338,0.05114145576953888
Individual-TF-Asym,47,0.26084113121032715,3.4975342750549316,0.48253586888313293,0.11949794739484787,-3.2366931438446045,-0.10188034176826477
Individual-TF-Asym,48,0.07616417109966278,0.0997227281332016,0.26166826486587524,0.29860278964042664,-0.02355855703353882,0.00519920140504837
Individual-TF-Asym,49,0.599018394947052,1.0526365041732788,0.015303852036595345,0.017279786989092827,-0.4536181092262268,-0.041515469551086426
Individual-TF-Asym,50,0.46482861042022705,0.33552008867263794,0.528183102607727,1.0,0.1293085217475891,0.06581640243530273
Individual-TF-Asym,51,0.6476550102233887,0.885032594203949,0.08993257582187653,0.1281120628118515,-0.2373775839805603,-0.005912661552429199
