channel,base_mse,ret_mse,ret_better_frac,corr_cos_mean,oracle_lambda_mse,lambda_eq0_frac,lambda_val_channel,global_lambda_mse,arm
0,0.908789873123169,1.1667091846466064,0.2656177580356598,0.10754451900720596,0.8600061535835266,0.34289681911468506,0.3676350712776184,0.9228237271308899,Individual-TF-Asym
1,0.2845216393470764,0.3578326404094696,0.3012494146823883,0.23513144254684448,0.25143009424209595,0.15316982567310333,0.23617449402809143,0.267056405544281,Individual-TF-Asym
2,0.8998191952705383,1.1378270387649536,0.2933827042579651,0.13263222575187683,0.8453911542892456,0.29199445247650146,0.4355368912220001,0.914484977722168,Individual-TF-Asym
3,0.22905990481376648,0.3284738063812256,0.22119389474391937,0.19254910945892334,0.20608855783939362,0.23183710873126984,0.03401251137256622,0.226286381483078,Individual-TF-Asym
4,0.7740899324417114,0.7223145365715027,0.6894956231117249,0.40927764773368835,0.6355219483375549,0.024062933400273323,0.38025614619255066,0.6722680330276489,Individual-TF-Asym
5,0.2037154883146286,0.2820867896080017,0.31513187289237976,0.20407405495643616,0.16223160922527313,0.28968068957328796,0.4206138849258423,0.19045259058475494,Individual-TF-Asym
6,0.07950200885534286,0.16936016082763672,0.061082832515239716,0.004340474959462881,0.07473350316286087,0.4673762023448944,0.16912072896957397,0.08256624639034271,Individual-TF-Asym
0,0.908789873123169,1.3292771577835083,0.15964831411838531,0.03144623711705208,0.8642298579216003,0.47987043857574463,0.3502366542816162,0.9533074498176575,Set-TF-Asym
1,0.2845216393470764,0.45431944727897644,0.30865341424942017,0.22919028997421265,0.2482277899980545,0.1971309632062912,0.21398644149303436,0.27133768796920776,Set-TF-Asym
2,0.8998191952705383,1.2771373987197876,0.17306801676750183,0.07764070481061935,0.8489813804626465,0.3887089192867279,0.3856455385684967,0.9359188079833984,Set-TF-Asym
3,0.22905990481376648,0.40181902050971985,0.20407219231128693,0.20527270436286926,0.2000807672739029,0.26654326915740967,0.1426023691892624,0.2186751514673233,Set-TF-Asym
4,0.7740899324417114,0.8897343277931213,0.3877834379673004,0.1809709668159485,0.6962275505065918,0.26515501737594604,0.07278712838888168,0.7625683546066284,Set-TF-Asym
5,0.2037154883146286,0.48847681283950806,0.1749190241098404,0.12304923683404922,0.184001624584198,0.3322535753250122,0.14945098757743835,0.20346571505069733,Set-TF-Asym
6,0.07950200885534286,0.27944663166999817,0.02591392956674099,-0.03600931912660599,0.07391548156738281,0.5293845534324646,0.06546343117952347,0.08089224249124527,Set-TF-Asym
0,0.908789873123169,1.1326285600662231,0.2744100093841553,0.12000305205583572,0.8566688895225525,0.311429888010025,0.36707162857055664,0.9134275317192078,Individual-OP-Asym
1,0.2845216393470764,0.35086408257484436,0.31605738401412964,0.23517051339149475,0.2515338659286499,0.1527070850133896,0.17338939011096954,0.2695859968662262,Individual-OP-Asym
2,0.8998191952705383,1.1017558574676514,0.2887552082538605,0.14452743530273438,0.8416656255722046,0.2572883069515228,0.4252041280269623,0.9012168645858765,Individual-OP-Asym
3,0.22905990481376648,0.3471167981624603,0.2082369327545166,0.18248412013053894,0.2059340626001358,0.26422953605651855,0.0,0.2290598750114441,Individual-OP-Asym
4,0.7740899324417114,0.7104508280754089,0.6964368224143982,0.4035542905330658,0.6327399015426636,0.030078668147325516,0.07098744064569473,0.7485962510108948,Individual-OP-Asym
5,0.2037154883146286,0.2859484553337097,0.28273946046829224,0.19369792938232422,0.16533556580543518,0.2804257273674011,0.299951434135437,0.1885538250207901,Individual-OP-Asym
6,0.07950200885534286,0.1586129069328308,0.13234613835811615,0.13008920848369598,0.07112296670675278,0.34706154465675354,0.21891480684280396,0.0785611942410469,Individual-OP-Asym
0,0.908789873123169,1.0759919881820679,0.32068488001823425,0.16563165187835693,0.8340070247650146,0.2614530324935913,0.27325111627578735,0.8830260634422302,Set-OP-Asym
1,0.2845216393470764,0.3566829562187195,0.3313280940055847,0.22096744179725647,0.24849800765514374,0.2202683985233307,0.3950141966342926,0.27011847496032715,Set-OP-Asym
2,0.8998191952705383,1.1059684753417969,0.2869042158126831,0.16181612014770508,0.8328475952148438,0.2447940707206726,0.323718398809433,0.8810998201370239,Set-OP-Asym
3,0.22905990481376648,0.3002425730228424,0.2869042158126831,0.221681147813797,0.20035870373249054,0.22397038340568542,0.21457235515117645,0.2160712033510208,Set-OP-Asym
4,0.7740899324417114,0.774182915687561,0.551596462726593,0.2693123519420624,0.6803320646286011,0.1328088790178299,0.4004174768924713,0.7192864418029785,Set-OP-Asym
5,0.2037154883146286,0.48064351081848145,0.19805645942687988,0.17027412354946136,0.17246247828006744,0.2790374755859375,0.2848496437072754,0.20891740918159485,Set-OP-Asym
6,0.07950200885534286,0.18956372141838074,0.06848680973052979,0.0641801729798317,0.07281900942325592,0.4053678810596466,0.24133186042308807,0.08352881669998169,Set-OP-Asym
0,0.908789873123169,1.0513432025909424,0.28088846802711487,0.12614493072032928,0.8536785840988159,0.28829246759414673,0.394651859998703,0.8987231850624084,KL+Asym[s2ls]
1,0.2845216393470764,0.4682071805000305,0.24109208583831787,0.1378949135541916,0.2568710148334503,0.3567792773246765,0.3405415713787079,0.2894740402698517,KL+Asym[s2ls]
2,0.8998191952705383,1.0120837688446045,0.3234613537788391,0.1631336808204651,0.8304261565208435,0.22720962762832642,0.4493783712387085,0.876737654209137,KL+Asym[s2ls]
3,0.22905990481376648,0.4335003197193146,0.1628875583410263,0.12738393247127533,0.20701996982097626,0.37806570529937744,0.09550008177757263,0.22552934288978577,KL+Asym[s2ls]
4,0.7740899324417114,0.801497757434845,0.5386395454406738,0.26443246006965637,0.703380286693573,0.06941230595111847,0.7585763335227966,0.7518961429595947,KL+Asym[s2ls]
5,0.2037154883146286,0.2760501801967621,0.2656177580356598,0.21735091507434845,0.17041732370853424,0.20222119987010956,0.006409239023923874,0.20312608778476715,KL+Asym[s2ls]
6,0.07950200885534286,0.13905107975006104,0.08329477161169052,0.05103081092238426,0.07442402094602585,0.41138362884521484,0.2504790425300598,0.08150255680084229,KL+Asym[s2ls]
0,0.908789873123169,1.0513432025909424,0.28088846802711487,0.12614493072032928,0.8536785840988159,0.28829246759414673,0.394651859998703,0.8987231850624084,KL+Asym[e2]
1,0.2845216393470764,0.4682071805000305,0.24109208583831787,0.1378949135541916,0.2568710148334503,0.3567792773246765,0.3405415713787079,0.2894740402698517,KL+Asym[e2]
2,0.8998191952705383,1.0120837688446045,0.3234613537788391,0.1631336808204651,0.8304261565208435,0.22720962762832642,0.4493783712387085,0.876737654209137,KL+Asym[e2]
3,0.22905990481376648,0.4335003197193146,0.1628875583410263,0.12738393247127533,0.20701996982097626,0.37806570529937744,0.09550008177757263,0.22552934288978577,KL+Asym[e2]
4,0.7740899324417114,0.801497757434845,0.5386395454406738,0.26443246006965637,0.703380286693573,0.06941230595111847,0.7585763335227966,0.7518961429595947,KL+Asym[e2]
5,0.2037154883146286,0.2760501801967621,0.2656177580356598,0.21735091507434845,0.17041732370853424,0.20222119987010956,0.006409239023923874,0.20312608778476715,KL+Asym[e2]
6,0.07950200885534286,0.13905107975006104,0.08329477161169052,0.05103081092238426,0.07442402094602585,0.41138362884521484,0.2504790425300598,0.08150255680084229,KL+Asym[e2]
0,0.908789873123169,0.5895251035690308,0.9865803122520447,0.5740100741386414,0.5781763792037964,0.0,0.883884072303772,0.5873783826828003,Oracle-Individual
1,0.2845216393470764,0.19873511791229248,0.8870893120765686,0.5179935693740845,0.19176551699638367,0.0,1.0,0.19873511791229248,Oracle-Individual
2,0.8998191952705383,0.5903193354606628,0.9833410382270813,0.564778208732605,0.5782217383384705,0.0,0.9223183393478394,0.5874449014663696,Oracle-Individual
3,0.22905990481376648,0.15829356014728546,0.9750115871429443,0.5389062762260437,0.1520630121231079,0.0,1.0,0.15829356014728546,Oracle-Individual
4,0.7740899324417114,0.48873472213745117,0.9847292900085449,0.6116225123405457,0.4782765507698059,0.0,1.0,0.4887346923351288,Oracle-Individual
5,0.2037154883146286,0.12080951780080795,0.956964373588562,0.568981409072876,0.11610031127929688,0.0,0.9889025092124939,0.12047413736581802,Oracle-Individual
6,0.07950200885534286,0.05353069305419922,0.7751041054725647,0.6167405843734741,0.04323138669133186,0.0,0.866927981376648,0.04818745702505112,Oracle-Individual
0,0.908789873123169,0.5567407011985779,0.9949097633361816,0.6029883027076721,0.5505508184432983,0.0,0.9125868082046509,0.5569413304328918,Oracle-Individual(uniform)
1,0.2845216393470764,0.18830928206443787,0.9324386715888977,0.5473315119743347,0.18354298174381256,0.0,1.0,0.18830928206443787,Oracle-Individual(uniform)
2,0.8998191952705383,0.5571112632751465,0.9944469928741455,0.5953499674797058,0.5504379868507385,0.0,0.9492284059524536,0.5565036535263062,Oracle-Individual(uniform)
3,0.22905990481376648,0.1441468745470047,0.9958352446556091,0.5793529152870178,0.14124839007854462,0.0,1.0,0.1441469043493271,Oracle-Individual(uniform)
4,0.7740899324417114,0.46724021434783936,0.9958352446556091,0.6334537863731384,0.46071553230285645,0.0,1.0,0.46724024415016174,Oracle-Individual(uniform)
5,0.2037154883146286,0.11605562269687653,0.9726978540420532,0.5891600251197815,0.11251017451286316,0.0,0.9927023649215698,0.11587956547737122,Oracle-Individual(uniform)
6,0.07950200885534286,0.04838018864393234,0.8385006785392761,0.6461431980133057,0.04026549309492111,0.0,0.8941633701324463,0.044635362923145294,Oracle-Individual(uniform)
0,0.908789873123169,0.511243999004364,0.9981489777565002,0.6461650133132935,0.5090973973274231,0.0,1.0,0.511243999004364,Oracle-Set
1,0.2845216393470764,0.1537887305021286,1.0,0.6453030705451965,0.1525047868490219,0.0,1.0,0.1537887156009674,Oracle-Set
2,0.8998191952705383,0.506790280342102,0.9967607855796814,0.6448176503181458,0.50387042760849,0.0,1.0,0.506790280342102,Oracle-Set
3,0.22905990481376648,0.1280413419008255,0.9976862668991089,0.6377547979354858,0.1266307532787323,0.0,1.0,0.1280413419008255,Oracle-Set
4,0.7740899324417114,0.38524577021598816,1.0,0.7187256813049316,0.384751558303833,0.0,1.0,0.38524580001831055,Oracle-Set
5,0.2037154883146286,0.09053529053926468,1.0,0.6900104880332947,0.09039165079593658,0.0,1.0,0.09053529053926468,Oracle-Set
6,0.07950200885534286,0.018691517412662506,1.0,0.8631930351257324,0.01865973137319088,0.0,1.0,0.018691515550017357,Oracle-Set
