bin,base_mse,ret_mse,mixture_mse,corr_cos_mean,ret_better_frac,arm
1-96,0.3762456178665161,0.5125380754470825,0.361787348985672,0.18544098734855652,0.26403120160102844,Individual-TF-Asym
97-192,0.4325372874736786,0.5708319544792175,0.4230545163154602,0.1600373536348343,0.29754742980003357,Individual-TF-Asym
193-336,0.46074947714805603,0.5685504674911499,0.44844555854797363,0.1762051284313202,0.3296754062175751,Individual-TF-Asym
337-720,0.5302459001541138,0.6314701437950134,0.5080156326293945,0.1821964532136917,0.34051695466041565,Individual-TF-Asym
1-96,0.3762456178665161,0.5253862738609314,0.36483871936798096,0.16632966697216034,0.2510742247104645,Set-TF-Asym
97-192,0.4325372874736786,0.6266493201255798,0.42613381147384644,0.13012205064296722,0.2623124122619629,Set-TF-Asym
193-336,0.46074947714805603,0.6581963300704956,0.4533229172229767,0.13981850445270538,0.25854432582855225,Set-TF-Asym
337-720,0.5302459001541138,0.8366524577140808,0.5302435159683228,0.09231992810964584,0.23646460473537445,Set-TF-Asym
1-96,0.3762456178665161,0.48177605867385864,0.3595171868801117,0.18952731788158417,0.2865736782550812,Individual-OP-Asym
97-192,0.4325372874736786,0.5524313449859619,0.41903597116470337,0.1813569962978363,0.32180869579315186,Individual-OP-Asym
193-336,0.46074947714805603,0.5633600354194641,0.4450865089893341,0.19952157139778137,0.3368149697780609,Individual-OP-Asym
337-720,0.5302459001541138,0.6250213980674744,0.5076761841773987,0.19821949303150177,0.34950751066207886,Individual-OP-Asym
1-96,0.3762456178665161,0.4634963274002075,0.35754454135894775,0.19512301683425903,0.30409201979637146,Set-OP-Asym
97-192,0.4325372874736786,0.52623450756073,0.4154013693332672,0.18322525918483734,0.3356250524520874,Set-OP-Asym
193-336,0.46074947714805603,0.5460030436515808,0.4404441714286804,0.20497366786003113,0.3499041497707367,Set-OP-Asym
337-720,0.5302459001541138,0.695122241973877,0.5182885527610779,0.16446462273597717,0.318172812461853,Set-OP-Asym
1-96,0.3762456178665161,0.4820546507835388,0.3653322458267212,0.16193820536136627,0.25285911560058594,KL+Asym[s2ls]
97-192,0.4325372874736786,0.557395339012146,0.4305257201194763,0.12438426911830902,0.26409730315208435,KL+Asym[s2ls]
193-336,0.46074947714805603,0.5685736536979675,0.455169141292572,0.15023444592952728,0.2932504713535309,KL+Asym[s2ls]
337-720,0.5302459001541138,0.6470295786857605,0.5190417170524597,0.15567614138126373,0.3175778388977051,KL+Asym[s2ls]
1-96,0.3762456178665161,0.4820546507835388,0.3653322458267212,0.16193820536136627,0.25285911560058594,KL+Asym[e2]
97-192,0.4325372874736786,0.557395339012146,0.4305257201194763,0.12438426911830902,0.26409730315208435,KL+Asym[e2]
193-336,0.46074947714805603,0.5685736536979675,0.455169141292572,0.15023444592952728,0.2932504713535309,KL+Asym[e2]
337-720,0.5302459001541138,0.6470295786857605,0.5190417170524597,0.15567614138126373,0.3175778388977051,KL+Asym[e2]
1-96,0.3762456178665161,0.29614657163619995,0.29614660143852234,0.46150508522987366,0.6170423626899719,Oracle-Individual
97-192,0.4325372874736786,0.30799993872642517,0.30799993872642517,0.49942830204963684,0.700667679309845,Oracle-Individual
193-336,0.46074947714805603,0.3011223077774048,0.30112224817276,0.5375685691833496,0.787796676158905,Oracle-Individual
337-720,0.5302459001541138,0.32531431317329407,0.32531431317329407,0.5828643441200256,0.8966087102890015,Oracle-Individual
1-96,0.3762456178665161,0.2903490960597992,0.2903490960597992,0.481478214263916,0.6431546211242676,Oracle-Individual(uniform)
97-192,0.4325372874736786,0.29061436653137207,0.29061439633369446,0.529155969619751,0.7355721592903137,Oracle-Individual(uniform)
193-336,0.46074947714805603,0.2858928442001343,0.2858928442001343,0.5607330203056335,0.8199907541275024,Oracle-Individual(uniform)
337-720,0.5302459001541138,0.3041522204875946,0.3041522204875946,0.6169145107269287,0.9300588369369507,Oracle-Individual(uniform)
1-96,0.3762456178665161,0.24951966106891632,0.24951964616775513,0.5580530166625977,0.7891849279403687,Oracle-Set
97-192,0.4325372874736786,0.2512749433517456,0.2512749433517456,0.6137455701828003,0.8742645382881165,Oracle-Set
193-336,0.46074947714805603,0.24622252583503723,0.24622252583503723,0.6465550065040588,0.9171679615974426,Oracle-Set
337-720,0.5302459001541138,0.26309385895729065,0.26309385895729065,0.7127225995063782,0.9943808913230896,Oracle-Set
