epoch,train_loss,val_base_mae,val_base_mse,val_final_mae,val_final_mse,val_gate_max,val_gate_mean,val_gate_min,val_gate_saturation_rate,val_gate_std,val_ret_mae,val_ret_mse
1,0.42231351114668936,0.570879843402767,0.7300751730367813,0.5665855616435562,0.7193358229971181,0.5564278364181519,0.11404947936534882,1.5877488488449649e-25,0.3384457528591156,0.12381362915039062,1.1569030754217848,2.663343140715522
2,0.3662894519432536,0.5603485439744395,0.7174608633519646,0.5576219358148254,0.7083390845022945,0.5635582804679871,0.08320964872837067,6.804031835531276e-29,0.4215952754020691,0.10211896896362305,1.1569030754217848,2.663343140715522
3,0.3590518445901151,0.5582574760872064,0.7134229210143193,0.5560639682667697,0.7039246725711984,0.8113433718681335,0.0855349749326706,3.6472705042878663e-31,0.44949987530708313,0.11409679055213928,1.1569030754217848,2.663343140715522
4,0.3557192954814659,0.5555326305414516,0.709004989791,0.5527505436320279,0.6991192624865917,0.8875362873077393,0.06558632105588913,2.5255811159902867e-31,0.503718912601471,0.094354547560215,1.1569030754217848,2.663343140715522
5,0.35454471898528767,0.5559774768467672,0.711587182144696,0.5531393033047461,0.6992469656168828,0.9544029235839844,0.07928004860877991,1.0548771105832828e-31,0.46483713388442993,0.11341855674982071,1.1569030754217848,2.663343140715522
6,0.353326113606399,0.5532829872999495,0.7031839343985197,0.5506616866190107,0.690624474121626,0.9790388941764832,0.09126415103673935,1.3966431593277966e-31,0.45052579045295715,0.13219767808914185,1.1569030754217848,2.663343140715522
7,0.35058211605503875,0.5535589491759466,0.706484856760032,0.5499427438954303,0.692467118940201,0.9081787467002869,0.06990427523851395,7.912331578744311e-26,0.4700692594051361,0.10271336138248444,1.1569030754217848,2.663343140715522
8,0.3513675152130847,0.5521251517523555,0.7011885241951771,0.549600742115387,0.6879444121009949,0.9911231994628906,0.10321834683418274,2.4951327616610502e-28,0.4151833951473236,0.15102525055408478,1.1569030754217848,2.663343140715522
9,0.3507654372251259,0.5528840287338926,0.7071004516968128,0.5483087419169249,0.6883921250223227,0.9056383371353149,0.07659339159727097,1.5531362700775187e-24,0.44714030623435974,0.11213769763708115,1.1569030754217848,2.663343140715522
10,0.3485958492418505,0.5507396499061111,0.7014403444055187,0.5478678336823875,0.689533398368883,0.9595716595649719,0.059681326150894165,2.9843404300987084e-25,0.5017696619033813,0.09357593953609467,1.1569030754217848,2.663343140715522
