epoch,train_loss,val_base_mae,val_base_mse,val_final_mae,val_final_mse,val_gate_max,val_gate_mean,val_gate_min,val_gate_saturation_rate,val_gate_std,val_ret_mae,val_ret_mse
1,0.4227359966287073,0.569818354790319,0.7280708152208102,0.5664958857487152,0.7180418291407445,0.5202327370643616,0.09466617554426193,1.9429939129572073e-23,0.39271607995033264,0.11310047656297684,1.1497614239345935,2.6204662748592638
2,0.3662657194542435,0.5599049193865011,0.7163898143848212,0.5572432639731947,0.7066413933694531,0.4949880540370941,0.07026151567697525,2.0024288062246702e-26,0.4824827015399933,0.0926046371459961,1.1497614239345935,2.6204662748592638
3,0.35887885504173783,0.5585325920083456,0.714034753107888,0.5559924363009673,0.7029224328406909,0.7960157990455627,0.07580852508544922,1.1940132024249159e-27,0.479353666305542,0.1059429943561554,1.1497614239345935,2.6204662748592638
4,0.35556743718543143,0.5564476556835841,0.7097372241923979,0.5533533679263922,0.6980498549774528,0.7460482120513916,0.06868813186883926,7.71066236981247e-27,0.5000256299972534,0.09803890436887741,1.1497614239345935,2.6204662748592638
5,0.3547118787495595,0.5554347587057777,0.7106025400330513,0.5531314507584149,0.7000072377904354,0.8283137679100037,0.07104381918907166,2.014987872429217e-26,0.4983842074871063,0.10679687559604645,1.1497614239345935,2.6204662748592638
6,0.35302766404061947,0.553192368753855,0.7022775631924414,0.5507679591048851,0.6904085729044095,0.9253953695297241,0.07916391640901566,1.0475734628036802e-26,0.4839702546596527,0.11945091187953949,1.1497614239345935,2.6204662748592638
7,0.3507844495885777,0.5536666472243317,0.705720593560972,0.5508290896204137,0.6931273948925116,0.8804896473884583,0.07422080636024475,2.6911225572612885e-25,0.4920748770236969,0.1122446060180664,1.1497614239345935,2.6204662748592638
8,0.35127339576775174,0.55081154405128,0.6963652368222504,0.5500702921973443,0.6875347094484056,0.873637855052948,0.07310259342193604,1.100544162956909e-25,0.5066940188407898,0.11949198693037033,1.1497614239345935,2.6204662748592638
9,0.3506688988996002,0.5524259683198579,0.7067968829998738,0.5520166865085714,0.6989346551499713,0.8768516182899475,0.06681743264198303,2.1275564414314394e-23,0.5220825672149658,0.11341080069541931,1.1497614239345935,2.6204662748592638
10,0.3503429857065093,0.5505516253302849,0.6991551180318797,0.548421916356706,0.6886631258677303,0.7058814764022827,0.05800133943557739,5.86771073189317e-26,0.5552705526351929,0.09433438628911972,1.1497614239345935,2.6204662748592638
