epoch,train_loss,val_base_mae,val_base_mse,val_final_mae,val_final_mse,val_gate_max,val_gate_mean,val_gate_min,val_gate_saturation_rate,val_gate_std,val_ret_mae,val_ret_mse
1,0.4222835028508924,0.5706276179481043,0.7292358595417678,0.5663797759781477,0.7178910541689334,0.4713464677333832,0.09934893250465393,5.839536934441751e-24,0.35988715291023254,0.11285329610109329,1.14128350255183,2.569568903674282
2,0.36646320645539265,0.5604671893103913,0.7173787987353486,0.5574844662833542,0.7076761860312218,0.5181130170822144,0.07024712860584259,8.5008074851204e-27,0.45991280674934387,0.08950690925121307,1.14128350255183,2.569568903674282
3,0.35933241473053984,0.5587567522391872,0.7152193503042689,0.5557771030813137,0.7048984067750057,0.6087833046913147,0.0647740364074707,3.336846191973903e-27,0.49463966488838196,0.08759043365716934,1.14128350255183,2.569568903674282
4,0.3560876760280357,0.5559359399887337,0.708658497400994,0.5530164872070271,0.6979702014846456,0.6814777255058289,0.06347142904996872,1.3212899390994985e-26,0.500076949596405,0.09097564220428467,1.14128350255183,2.569568903674282
5,0.3555059193440203,0.5569144377537627,0.7130615009674101,0.554191383520966,0.701271059615618,0.8998738527297974,0.08655992150306702,2.074670236215991e-28,0.4393434226512909,0.11961779743432999,1.14128350255183,2.569568903674282
6,0.3535413657719234,0.5533091193622551,0.7028404531962363,0.5506342663911302,0.6904578429384599,0.9376121759414673,0.08356162160634995,1.4603539062941155e-27,0.4544242024421692,0.12189661711454391,1.14128350255183,2.569568903674282
7,0.3509460743868126,0.5528057373312993,0.704193700337253,0.5505051641797697,0.6927260906398526,0.8493357300758362,0.07338777929544449,3.312082553934093e-25,0.4685816764831543,0.10901150852441788,1.14128350255183,2.569568903674282
8,0.3516029634565677,0.5504895118217015,0.6958881494763918,0.5502993914126494,0.6877665096973368,0.8944143056869507,0.07831712812185287,2.633299299427621e-25,0.48258528113365173,0.1266447752714157,1.14128350255183,2.569568903674282
9,0.3510168045759201,0.5523636990860505,0.7066166634048836,0.5512812700456683,0.6972717299342737,0.8366712331771851,0.06818312406539917,1.54370407717054e-23,0.49869197607040405,0.10933059453964233,1.14128350255183,2.569568903674282
10,0.3504219434171353,0.5505139346569942,0.6984660535324656,0.5482393876909242,0.6871268185242696,0.7257208228111267,0.05973385274410248,2.2368295797473608e-26,0.5404462814331055,0.09810757637023926,1.14128350255183,2.569568903674282
