epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_selected_individual_future_mse,train_spearman,train_train_prefix_aggregate_future_mse,train_wce,val_expert_containment_at_10,val_expert_containment_at_10_t0,val_expert_containment_at_10_tge1,val_expert_rank_median,val_expert_rank_median_t0,val_expert_rank_median_tge1,val_expert_regret_mean,val_expert_regret_mean_t0,val_expert_regret_mean_tge1,val_free_running_aggregate_future_mse,val_ndcg_at_10,val_ndcg_at_10_t0,val_ndcg_at_10_tge1,val_oracle_action_acc,val_oracle_action_acc_t0,val_oracle_action_acc_tge1,val_spearman,val_spearman_t0,val_spearman_tge1,val_val_wce,val_wce_weighted_topk_effective_positives,val_wce_weighted_topk_effective_positives_t0,val_wce_weighted_topk_effective_positives_tge1,val_wce_weighted_topk_oracle_mass,val_wce_weighted_topk_oracle_mass_t0,val_wce_weighted_topk_oracle_mass_tge1,val_wce_weighted_topk_weight_entropy,val_wce_weighted_topk_weight_entropy_t0,val_wce_weighted_topk_weight_entropy_tge1
1,2.438534685414744,0.0,39.67851257324219,1.0,2.54528540466481e-08,0.19805635866910926,False,0.08298622071743011,0.08186553418636322,0.10060939937829971,0.38255469659072566,0.5887731355866461,0.013215075853350189,0.09135982932996208,0.05272202907711757,0.12297488754093747,573.3693702591656,254.33312262958282,0.6220678497958274,4608.740873893806,0.9443354102513281,0.013215075853350189,1.087513522726546,0.30662615561114964,0.7153503683627631,6.0438415561102135,0.1478288742337971,0.03784215892469432,0.16004962037925294,179.88676470588234,1080.8487394957983,79.77987861811391,0.3522140935170973,1.194203613247691,0.25865970243592024,1.6286614681335185,0.61326702639711,0.9388152705270703,0.5770949992715588,0.01736630313959317,0.003997003213510293,0.01885178090915794,0.2548218856182113,0.1902130179271814,0.2620006486949924,6.299548407462464,9.238408894974645,8.99253606495737,9.265728098309898,0.03520446456343984,0.015668817448653605,0.037375092020638316,2.199073978006339,2.1794346781337963,2.201256122436621
2,2.095848928734181,0.0,41.09431838989258,1.0,2.7045167882988608e-08,0.26009902321566924,False,0.08026810735464096,0.14539101719856262,0.08967801928520203,0.3680585838262516,,0.020997945638432363,0.13513353350189633,0.08004108723135271,0.08875108108998249,414.7416047724399,159.27623261694058,0.5042331890402039,4610.386891592921,0.9542390560606487,0.020997945638432363,0.9699724757226771,0.32760249585895757,0.6280769429884276,5.551494925423006,0.14952460767763878,0.03569111468254769,0.16217277356598223,185.42058823529413,1139.3634453781513,79.42693744164333,0.3624645193181775,1.2480113796983696,0.26407042372037837,1.6512619616563395,0.6103261592383145,0.9358676671981812,0.574154880576107,0.017679498271875774,0.0038734243697478993,0.019213506483223314,0.2393392540639005,0.1388481524529165,0.25050493202067653,6.2833417873422635,9.225309793338052,8.99253606495737,9.251173540935907,0.036759121091721636,0.015568943806132314,0.039113585234564895,2.196333373456943,2.1794346781337963,2.198211006270626
3,1.9365350873879703,0.0,41.671226501464844,1.0,2.7932127721896904e-08,0.30832046900996984,False,0.0801810473203659,0.14701026678085327,0.08204852044582367,0.36244670707196647,,0.02413874841972187,0.1452473135271808,0.08770543615676359,0.08172781921679734,381.8816371681416,141.91782553729456,0.4704152446442699,4614.133296460177,0.9573803987123269,0.02413874841972187,0.9349124312551524,0.344957997434159,0.5975571235008397,5.496449493728908,0.1536590923868245,0.03897367770775777,0.16640191624005413,193.89642857142854,1140.6680672268908,88.69957983193278,0.3527970384233123,1.218610143257665,0.2565955823306064,1.6493411849840167,0.6162175366921084,0.9381929306673402,0.5804424929170827,0.018308205636484283,0.004136029411764706,0.019882891883675344,0.22331694614726408,0.14433428615534172,0.23209279725747767,6.296836590165851,9.252312282454065,8.99253606495737,9.281176306620365,0.03698262022486776,0.016792225502885835,0.03922599741619908,2.1995815115440793,2.1794346781337963,2.201820048589666
4,1.852013444989488,0.0,41.152099609375,1.0,2.54528540466481e-08,0.3486010159114303,False,0.08057678490877151,0.13576176762580872,0.09470988810062408,0.3563719212624975,,0.02585730088495575,0.16077354614412137,0.09939949431099873,0.07706583357197097,359.71983644121366,127.40581542351454,0.44412509487134166,4608.526548672567,0.9597548527452346,0.02585730088495575,0.9086872798952306,0.3516826669336679,0.5797996814733586,5.448898030593332,0.1546863415161101,0.0402867029178418,0.16739741247147324,185.9039915966386,1099.1806722689075,84.42880485527546,0.33783726599517455,1.1875531151577705,0.24342439386599724,1.606817074033851,0.6186848621471089,0.9391967779448053,0.583072427058476,0.0189878892756122,0.004529936974789916,0.02059432842014801,0.2504533369663373,0.2005221758827247,0.2560012437534054,6.242650619474779,9.293209771373693,8.99253606495737,9.326617960975508,0.03877335839032632,0.017593712283010942,0.04112665240225025,2.2073692160869847,2.1794346781337963,2.2104730536373385
5,1.7593822292125876,0.0,41.12306594848633,1.0,2.7681611669549966e-08,0.3809999447275408,False,0.07973092049360275,0.1559581756591797,0.08363810926675797,0.35511612959800415,0.603895442487543,0.029511694058154236,0.1658304361567636,0.10323166877370417,0.07296094024323124,340.18177149178257,115.07901390644753,0.4242372134919414,4608.526548672567,0.9617568412336477,0.029511694058154236,0.8891149111628984,0.36218416123992925,0.5648606995264287,5.404833515133478,0.15756457002066512,0.03805456006852519,0.17084346001534734,194.53487394957983,1206.531512605042,82.0908029878618,0.35149821707892753,1.2315274788176311,0.2537171879968494,1.634763771318007,0.6131261944582984,0.9379360382797337,0.5770362118114722,0.019029983323255256,0.003676470588235294,0.020735929182701916,0.24044202622651606,0.16224753314528395,0.2491303032355419,6.248444059416026,9.264004688478318,8.99253606495737,9.294167868869534,0.03842543582828309,0.016607062225419505,0.0408496995619346,2.202668035844294,2.1794346781337963,2.205249520034349
6,1.757001941559031,0.0,41.04048538208008,1.0,2.558933154261922e-08,0.41323939336707055,False,0.07920490205287933,0.16193076968193054,0.08703245967626572,0.35982374792915095,,0.031012958280657397,0.17165771175726927,0.10702433628318585,0.07061142184349647,329.4429717130215,111.570796460177,0.4083949402115966,4612.260094026548,0.9634964023016196,0.031012958280657397,0.8730433095157071,0.3654646928181159,0.5517480523618675,5.403693205487412,0.15086543816572226,0.0367338111733689,0.16354673005376152,191.5636554621849,1155.0756302521008,84.50676937441644,0.3493227159406818,1.2257403683293016,0.25194297678639066,1.6310033904762997,0.6150924889229927,0.9386781854789799,0.579138522638994,0.019550559200158645,0.004332983193277311,0.021241400978701013,0.23406925537794096,0.16523715875087383,0.2417172661142818,6.2571890496406235,9.28309418997344,8.99253606495737,9.315378426086333,0.03869474810979575,0.016998588857184953,0.04110543247119695,2.2057126698248526,2.1794346781337963,2.2086324466794145
7,1.704726803594281,0.0,41.17220687866211,1.0,2.7301524596623494e-08,0.44203956315824433,False,0.08078275620937347,0.1280565857887268,0.08531510829925537,0.3494922589010442,,0.030420353982300884,0.17857142857142858,0.11063922250316055,0.06730181932998008,314.04021807838177,104.30341340075853,0.3957789777842846,4609.1823838495575,0.9647810670126856,0.030420353982300884,0.8610811746112917,0.37813304905710104,0.5431971053690585,5.3822852235979735,0.14923342505094261,0.03991982826039571,0.16137938024989226,210.94705882352946,1177.4642857142858,103.5562558356676,0.34969592036468083,1.1898589313593733,0.25634447469860383,1.6097725754871066,0.6176144629341215,0.9401192558663232,0.5817805970527657,0.01850863507471415,0.0038734243697478993,0.02013476959748818,0.21869963208964646,0.16683411895120542,0.22446246688280663,6.327918120492407,9.277662525833154,8.99253606495737,9.309343243708241,0.03689028096409551,0.017035828277466632,0.03909633126260983,2.205202056342313,2.1794346781337963,2.208065098365482
8,1.7189883878679968,0.0,40.2249641418457,1.0,3.178183760610409e-08,0.4706957569239742,False,0.08041993528604507,0.13335786759853363,0.09155425429344177,0.3510682604614582,,0.03204013906447535,0.18183075221238937,0.1125158027812895,0.0659923772461531,307.9265170670038,100.91150442477876,0.3882052838783499,4608.526548672567,0.9655508828901611,0.03204013906447535,0.8529131400261154,0.3845742612097202,0.5368444196851606,5.379718527329707,0.143495118700187,0.038220619156706236,0.1551922853161293,212.77268907563024,1171.781512605042,106.21615312791783,0.36188730555684334,1.2026283598559744,0.2684716328569399,1.6416705774994562,0.6123748387014416,0.9385392253889757,0.5761343512917154,0.018379263472625938,0.004201680672268907,0.01995455045044339,0.22503336530190365,0.18907986278112227,0.22902819891532383,6.3398920286603335,9.272868593951232,8.99253606495737,9.304016652728329,0.03705531813652402,0.017404832128498228,0.03923870547074911,2.204362136401048,2.1794346781337963,2.2071318539862985
9,1.6620869959792617,0.0,41.04742431640625,1.0,3.020860361857558e-08,0.49677462255205646,False,0.08089259266853333,0.12018140405416489,0.08712569624185562,0.3550109527373945,,0.0347661188369153,0.18927781289506954,0.11921223135271808,0.0639972592544019,298.49676042983566,96.51137800252845,0.37795678036836095,4608.526548672567,0.9668628604312612,0.0347661188369153,0.8431237748766367,0.3911442218598669,0.5284131964016352,5.366929862351544,0.14520668567416545,0.04045276201384909,0.15684601052531172,206.46533613445376,1174.5504201680671,98.90032679738562,0.34526370171586657,1.1823538144846923,0.25225368918599705,1.6092019417142966,0.6190703164942625,0.9399773256868875,0.5834139821395264,0.018530261372568226,0.004136029411764706,0.020129620479324175,0.23806948466580877,0.19588672064582027,0.2427564584458075,6.308683397489435,9.291113039776056,8.99253606495737,9.324288259200355,0.03792321602039797,0.017972360009484146,0.040139977799388396,2.2072765994472663,2.1794346781337963,2.210370146259874
