t,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,0.0021008403361344537,0.019753305734518695,0.00938813025210084,0.11693790924887978,842.0698839395988,616.0588235294117,0.5361799634053928,7201.0,0.960812217422894,0.0021008403361344537,0.978619757100564,0.13368720444205284
2,0.020255344786814282,0.1532647986465893,0.08635457864172068,0.017285109568532055,124.45278898407432,72.58193277310924,0.2802654472375367,7200.0,0.663974760084593,0.020255344786814282,1.1666731251513256,0.4421828585267215
3,0.017053880376600418,0.14749521136033436,0.08152728004991508,0.016184536919698213,116.5124815492069,67.66596638655462,0.2029964989677322,7199.0,0.6138065624512544,0.017053880376600418,1.0995439519526577,0.35864445898775227
4,0.01758681413788004,0.14666491600551776,0.07996709714448001,0.01547273262276729,111.37272921329787,65.97058823529412,0.15604593178273,7198.0,0.5919757738333791,0.01758681413788004,1.0880478662164772,0.31189478302089163
5,0.016594321553071004,0.15077005070829844,0.08027990608468276,0.015187655002790495,109.30555255072457,63.38655462184874,0.12702092399210238,7197.0,0.5801461375310641,0.016594321553071004,1.0856524565640617,0.2786877916239232
6,0.01869516188920546,0.15273186484617846,0.08028762976975501,0.014766862461863853,106.26234241894313,62.134453781512605,0.10609290008472294,7196.0,0.5736106931537139,0.01869516188920546,1.0741872328544866,0.2579723085352052
7,0.018177675482417856,0.15181274718346716,0.08092869502813124,0.014477981841426436,104.16907909737915,61.86134453781513,0.09156531263768923,7195.0,0.5677898658298645,0.018177675482417856,1.0711480551281898,0.24075518318804423
8,0.01696505808435819,0.15414529789959183,0.07978945257564803,0.014595248746957645,104.9982197224593,61.88655462184874,0.08016481750621264,7194.0,0.5637213855731387,0.01696505808435819,1.0784141144895254,0.22636529258265256
9,0.016470742709308612,0.15447355422559156,0.08294071307202347,0.014431981639124594,103.80924445240437,61.34033613445378,0.071476397159345,7193.0,0.5603496082941023,0.016470742709308612,1.0765242781333562,0.21480015601757466
10,0.014311974789915966,0.15377842328910316,0.0813650828512276,0.014357015795755285,103.25565755267102,60.22268907563025,0.06424105125127219,7192.0,0.5591065590622044,0.014311974789915966,1.0663200118461578,0.2043205657258394
