epoch,train_global_n_valid_mean,train_global_teacher_effective_positives,train_global_teacher_entropy,train_global_teacher_top1_mass,train_kl_g,train_loss,val_global_h720_mse,val_n_queries_seen
1,4608.740873893806,668.0663240386924,6.6228054811619925,0.017547963337952745,1.2937405677006006,1.2937406219739829,1.5898243282557936,2161
2,4610.386891592921,668.2652822173802,6.6232148564118045,0.01754421326907248,0.9816232622046537,0.9816233067385918,1.6215325529091325,2161
3,4614.133296460177,670.0427564965789,6.62590507490445,0.017502856747996103,0.7911505993036494,0.7911506374325372,1.6703070002994826,2161
4,4608.526548672567,667.4084684538329,6.621598191870148,0.01755339694921723,0.6705555812974947,0.6705556147921402,1.6731564850944942,2161
5,4608.526548672567,668.5578317606042,6.623206989502937,0.017558444888147322,0.5895096920383565,0.5895097155486588,1.8524810887851995,2161
6,4612.260094026548,669.4658818877904,6.623539998468044,0.017544847383588028,0.5591884401783479,0.5591884677389026,1.6661101958012008,2161
