epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_chosen_normalized_regret,train_effective_positive_count,train_effective_positive_count_mean,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_informative_row_fraction,train_loss,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_selected_individual_future_mse,train_spearman,train_student_entropy_mean,train_t0_chosen_normalized_regret,train_t0_effective_positive_count,train_t0_effective_positive_count_mean,train_t0_expert_containment_at_1,train_t0_expert_containment_at_10,train_t0_expert_containment_at_5,train_t0_expert_rank_fraction,train_t0_expert_rank_mean,train_t0_expert_rank_median,train_t0_expert_regret_mean,train_t0_informative_row_fraction,train_t0_n_valid_mean,train_t0_ndcg_at_10,train_t0_oracle_action_acc,train_t0_selected_individual_future_mse,train_t0_spearman,train_t0_student_entropy_mean,train_t0_teacher_entropy,train_t0_topm_probability_mass_mean,train_teacher_entropy,train_tge1_chosen_normalized_regret,train_tge1_effective_positive_count,train_tge1_effective_positive_count_mean,train_tge1_expert_containment_at_1,train_tge1_expert_containment_at_10,train_tge1_expert_containment_at_5,train_tge1_expert_rank_fraction,train_tge1_expert_rank_mean,train_tge1_expert_rank_median,train_tge1_expert_regret_mean,train_tge1_informative_row_fraction,train_tge1_n_valid_mean,train_tge1_ndcg_at_10,train_tge1_oracle_action_acc,train_tge1_selected_individual_future_mse,train_tge1_spearman,train_tge1_student_entropy_mean,train_tge1_teacher_entropy,train_tge1_topm_probability_mass_mean,train_topm_probability_mass_mean,train_train_prefix_aggregate_future_mse,val_chosen_normalized_regret,val_chosen_normalized_regret_t0,val_chosen_normalized_regret_tge1,val_effective_positive_count,val_effective_positive_count_t0,val_effective_positive_count_tge1,val_expert_containment_at_10,val_expert_containment_at_10_t0,val_expert_containment_at_10_tge1,val_expert_rank_median,val_expert_rank_median_t0,val_expert_rank_median_tge1,val_expert_regret_mean,val_expert_regret_mean_t0,val_expert_regret_mean_tge1,val_free_running_aggregate_future_mse,val_ndcg_at_10,val_ndcg_at_10_t0,val_ndcg_at_10_tge1,val_oracle_action_acc,val_oracle_action_acc_t0,val_oracle_action_acc_tge1,val_spearman,val_spearman_t0,val_spearman_tge1,val_teacher_entropy,val_teacher_entropy_t0,val_teacher_entropy_tge1
1,2.513998098234253,0.0,46.96904373168945,1.0,2.986070057886536e-08,0.17555604924878396,False,0.07796822488307953,0.2010328471660614,0.07276609539985657,0.5524896591596276,0.8138218025330796,2.783711978759406,10.000200471698113,10.000200471698113,0.03554245283018868,0.261061320754717,0.15192216981132076,0.011336017288756337,91.50869103773584,35.25132075471698,0.1581827226231964,1.0,5.487642716461758,8065.824528301887,0.6643504653336867,0.03554245283018868,0.7145386056124039,0.20140807328283888,5.973396835327148,7.170760298674962,10.0,10.0,0.016037735849056604,0.12464622641509433,0.06933962264150943,0.03508998027229506,283.3905660377358,78.92075471698114,0.5019605839589857,1.0,8070.324528301887,0.9760660238985746,0.016037735849056604,0.683278493836241,0.31615532786620537,5.904593240989829,2.246191149837566,0.040527235498687,2.2448669556851657,2.296262165435455,10.000222746331238,10.000222746331238,0.03770964360587002,0.2762185534591195,0.16109800838574423,0.008696688068363146,70.18848270440252,30.39916142557652,0.11998518247477538,1.0,8065.324528301887,0.6297154032709213,0.03770964360587002,0.7180119513653109,0.1886583783291315,5.981041679142407,2.2447198230015655,0.06432832483733288,0.06194821590346829,0.38510073639874187,2.701825275509195,6.340614156289534,2.2975153998669353,10.0,10.0,10.0,0.30472301136363644,0.10440340909090909,0.326980744949495,30.953409090909094,124.79545454545455,20.526515151515152,0.22743357702327724,0.7671199247918346,0.1674684272712153,0.706167095182614,0.6237222955308177,0.9678155983036215,0.5854897063338395,0.038494318181818185,0.012428977272727272,0.04139046717171717,0.08233115616162764,0.00037240859440404705,0.09143768366909695,2.2454273191365326,2.2464849217371508,2.245309807736464
2,2.041043070134616,0.0,47.266197204589844,1.0,3.122907088481952e-08,0.23290381275393637,False,0.08038235455751419,0.14727500081062317,0.07719019055366516,0.5035878306471757,,2.719520471815793,10.000353773584905,10.000353773584905,0.045766509433962266,0.3392806603773585,0.19838443396226416,0.007122821094806499,57.49054245283019,21.185283018867924,0.14343387023598517,1.0,5.143107401649907,8065.824528301887,0.669555245165555,0.045766509433962266,0.6950160283834305,0.16118951332826886,5.642830338927935,7.256960805856957,10.0,10.0,0.01804245283018868,0.15790094339622643,0.0866745283018868,0.029419589476475386,237.5998820754717,56.60754716981132,0.49740828568080686,1.0,8070.324528301887,0.9769765712180227,0.01804245283018868,0.6786221744879237,0.18354574850602795,5.544454806705691,2.246246919991835,0.05234921505709864,2.2447932660804604,2.2153604347001083,10.000393081761006,10.000393081761006,0.048846960167714885,0.3594339622641509,0.21079664570230608,0.004645402385732179,37.47839360587002,17.249475890985323,0.104103379631005,1.0,8065.324528301887,0.6353973200486142,0.048846960167714885,0.6968375677051534,0.15870548719740676,5.653760953619295,2.2446317489791965,0.0881329201271199,0.08455454962011778,0.37616961677119415,2.6627935039726163,6.255262502215126,2.2636302819456713,10.0,10.0,10.0,0.34499289772727276,0.10724431818181818,0.3714094065656566,26.454545454545457,107.48863636363636,17.450757575757578,0.21633092037571422,0.7562940398400481,0.15633501821301052,0.6922566801898141,0.6330134743655271,0.9686723026362333,0.5957180490021152,0.044921875,0.011363636363636364,0.048650568181818184,0.09950956360187282,0.11309178215753946,0.09800042820679873,2.2456594304604964,2.2464849217371508,2.245567709207535
3,1.8828250050854087,0.0,47.34981918334961,1.0,2.8912499061561903e-08,0.27036541047687834,False,0.08010191470384598,0.1570383757352829,0.07439124584197998,0.47484429317610916,,2.6783676666133807,10.0,10.0,0.051061320754716984,0.36038915094339624,0.2135377358490566,0.006231445309372162,50.3052358490566,19.113962264150942,0.13854788980042598,1.0,5.046695246786442,8065.824528301887,0.6726909754636152,0.051061320754716984,0.6938622558116913,0.14839661811357216,5.547165184200935,7.142110092235061,10.0,10.0,0.01910377358490566,0.1661556603773585,0.08950471698113208,0.02840378360453782,229.41450471698113,51.74716981132075,0.49403363308816584,1.0,8070.324528301887,0.977324867023612,0.01910377358490566,0.6764264024653525,0.15371172703532018,5.439850404127589,2.2462502578519423,0.05672920530415931,2.2447920846939087,2.18239628598875,10.0,10.0,0.05461215932914046,0.3819706498951782,0.22731918238993712,0.003767852165464866,30.404205974842768,15.48805031446541,0.09904947387956599,1.0,8065.324528301887,0.6388427652902823,0.05461215932914046,0.6957995728501734,0.14780605045560016,5.5590890486535285,2.2446300654541274,0.09723595417957885,0.0931852792920369,0.3733602434959052,2.6490869398821486,6.042248105460947,2.272069032595615,10.0,10.0,10.0,0.35394176136363636,0.11221590909090909,0.3808001893939394,24.464772727272724,101.1590909090909,15.94318181818182,0.20816897181794047,0.7298880287192084,0.15020018771779958,0.6874529248080091,0.6319214415143837,0.9694085967811671,0.5944228687069634,0.047265625,0.01171875,0.051215277777777776,0.0628615682666664,0.005219647674266525,0.0692662261102664,2.245529259334911,2.2464849217371508,2.2454230746235515
4,1.8078340500810475,0.0,47.302337646484375,1.0,3.221722622015477e-08,0.3040430964793925,False,0.08036119490861893,0.15050014853477478,0.0715605691075325,0.4677883771890227,,2.679256926167686,10.00002358490566,10.00002358490566,0.053785377358490566,0.3788561320754717,0.226061320754717,0.005933661854601869,47.908125,18.29622641509434,0.13571627474126388,1.0,5.012562854334993,8065.824528301887,0.6743697338284187,0.053785377358490566,0.6901556111900311,0.14793358597333628,5.51353092625456,7.075487128743585,10.0,10.0,0.021344339622641508,0.16945754716981132,0.09209905660377359,0.027847180993489498,224.9253537735849,52.29433962264151,0.48264110302025415,1.0,8070.324528301887,0.9775082183334063,0.021344339622641508,0.6640905935809297,0.1533411172244446,5.401051319770093,2.2462321542344004,0.058350520275252046,2.244761107732665,2.190786903659253,10.000026205450734,10.000026205450734,0.05738993710691824,0.40212264150943394,0.24094601677148847,0.003498826394725466,28.239544025157233,14.518658280922432,0.09716907159915385,1.0,8065.324528301887,0.6406876799945311,0.05738993710691824,0.6930517242577091,0.1473327491676576,5.52602866030839,2.244597658121361,0.10075868711937648,0.09651787043496404,0.3700941831998105,2.6661000929095526,6.085087039253929,2.286212654426844,10.000035511363636,10.0,10.000039457070706,0.3518465909090909,0.11328125,0.378353851010101,25.513636363636365,106.6590909090909,16.497474747474747,0.21002770804122767,0.7365385988219217,0.1515264979544839,0.6884960321378452,0.6320688251405955,0.9693154543638229,0.5945969774491257,0.045845170454545454,0.011363636363636364,0.04967645202020202,0.04610101598087233,-0.011477138479966181,0.05249858869874327,2.245450220866637,2.2464849217371508,2.2453352541032463
5,1.7145654436652078,0.0,48.64133071899414,1.0,2.665600717932648e-08,0.3348979154414615,False,0.08192206174135208,0.1184796467423439,0.07127059996128082,0.46434887649227996,0.8061895471072925,2.697113235660319,10.00001179245283,10.00001179245283,0.05398584905660377,0.37762971698113207,0.22689858490566037,0.005937501476426336,47.9319929245283,17.995094339622643,0.13523642358352553,1.0,4.995964766448399,8065.824528301887,0.6752628485436709,0.05398584905660377,0.6899961123713907,0.1384713373263688,5.496396365975434,7.141574176864804,10.0,10.0,0.020400943396226414,0.1714622641509434,0.09775943396226415,0.02785779809544109,224.97523584905662,49.867924528301884,0.4869290396149428,1.0,8070.324528301887,0.9775330417561081,0.020400943396226414,0.668175569682751,0.13682129200370616,5.380056874257214,2.246208725335463,0.0596019317659567,2.2447659113722027,2.203284242193154,10.000013102725367,10.000013102725367,0.05771750524109015,0.4005372117400419,0.24124737945492664,0.003501912963202475,28.260521488469603,14.453668763102725,0.09615946624670138,1.0,8065.324528301887,0.6416772715200668,0.05771750524109015,0.6924206171145729,0.1386546756955535,5.509322976166347,2.2446055987096183,0.10246401229557002,0.09817780424260868,0.36925651566037593,2.6438286125659944,6.02579368244518,2.268054715912751,10.000035511363636,10.0,10.000039457070706,0.34538352272727274,0.11896306818181818,0.370541351010101,24.501136363636366,97.1590909090909,16.4280303030303,0.2065522269811481,0.7321396961130879,0.14815361929982152,0.6833993078562259,0.634582307562232,0.9696325056932189,0.5973545077699003,0.04683948863636364,0.012073863636363636,0.05070233585858586,0.0564393130523058,0.017763692569965107,0.060736604217010326,2.245477171377702,2.2464849217371508,2.2453651991155414
6,1.7299259026167177,0.0,49.261417388916016,1.0,2.6128113006507192e-08,0.3607862264959985,False,0.08028465509414673,0.15281444787979126,0.07051652669906616,0.4695775394799084,,2.675314099721189,10.00002358490566,10.00002358490566,0.05696933962264151,0.38902122641509435,0.23503537735849056,0.005710630582026118,46.10142688679245,17.521132075471698,0.13413806650647014,1.0,4.964283376369837,8065.824528301887,0.6774865706911627,0.05696933962264151,0.6854876464155485,0.13723335018781166,5.465061832463967,7.072727539854229,10.0,10.0,0.01981132075471698,0.17629716981132076,0.0928066037735849,0.027078523275987157,218.69669811320756,48.12830188679245,0.4891026520504142,1.0,8070.324528301887,0.9776760760343299,0.01981132075471698,0.6708374552006992,0.13168813696123285,5.344276381438633,2.246225269785467,0.061006595292743646,2.244794376751162,2.186712606373073,10.000026205450734,10.000026205450734,0.06109800838574424,0.4126572327044025,0.25083857442348007,0.0033364202826971136,26.924174528301887,14.120335429769392,0.09469755700158748,1.0,8065.324528301887,0.6441321812085885,0.06109800838574424,0.6871154454394206,0.13784948499076485,5.478482438133447,2.2446353886362393,0.10609812483472644,0.10158897188052816,0.3668325881350715,2.6735777043483475,6.187301955439827,2.283163898671516,10.0,10.0,10.0,0.35056818181818183,0.12251420454545454,0.37590751262626265,24.659090909090914,100.29545454545455,16.255050505050505,0.20978555576875807,0.7498178112913262,0.14978197182180605,0.6897539334622491,0.6312220437282866,0.9692613997242667,0.5936621152842887,0.04751420454545455,0.011008522727272728,0.051570391414141416,0.05665384203773456,0.021540456542590455,0.060555329314972796,2.245364984599027,2.2464849217371508,2.245240547139235
7,1.6550779446354578,0.0,49.08537292480469,1.0,2.144208366416933e-08,0.38965410236642567,False,0.08072037994861603,0.14214268326759338,0.06991501152515411,0.46484530402812596,,2.6809141284002447,10.00001179245283,10.00001179245283,0.05584905660377359,0.3897051886792453,0.23310141509433963,0.005814370115283209,46.9342570754717,18.04566037735849,0.1355103471158248,1.0,4.970927053127649,8065.824528301887,0.6775309402537796,0.05584905660377359,0.6978888993105798,0.13373138705071227,5.473257322311401,7.020455661809669,10.0,10.0,0.02016509433962264,0.17606132075471698,0.09587264150943396,0.02870491053557621,231.83337264150944,55.973584905660374,0.48622977137565615,1.0,8070.324528301887,0.9774570941925049,0.02016509433962264,0.6691222357300093,0.1355584679454476,5.35085028702358,2.2462861924801234,0.060419615542786284,2.244666391048791,2.1987428469103087,10.000013102725367,10.000013102725367,0.059813941299790355,0.41344339622641507,0.24834905660377357,0.0032709767352506534,26.389910901467506,13.831446540880503,0.09654152219806578,1.0,8065.324528301887,0.6442058120383657,0.059813941299790355,0.7010851952639766,0.13352837806240836,5.486858104010048,2.2444864131119764,0.10538549624711463,0.1008889081766818,0.3753002605348263,2.635285013914108,6.042608968236229,2.2566934634338724,10.000035511363636,10.0,10.000039457070706,0.36200284090909085,0.12144886363636363,0.3887310606060606,23.813636363636366,96.51136363636364,15.73611111111111,0.20602204333567484,0.7351494380696253,0.1472301105874581,0.6831454562541612,0.6336855183609507,0.9697169133208015,0.5963486966987451,0.047407670454545456,0.013849431818181818,0.05113636363636364,0.06345200511300443,0.03694051425318114,0.06639772631965146,2.24540423209017,2.2464849217371508,2.2452841554627274
8,1.5940690737346128,0.0,49.50425338745117,1.0,2.4333495218797907e-08,0.4117772993887725,False,0.08099105209112167,0.13551537692546844,0.06982266157865524,0.45459621781925025,,2.690634393017247,10.000176886792453,10.000176886792453,0.05805424528301887,0.39744103773584905,0.2402004716981132,0.00552609982902518,44.60899764150943,16.979622641509433,0.13213075181574754,1.0,4.942374619897806,8065.824528301887,0.68075215731027,0.05805424528301887,0.6833124601447357,0.13050487601297212,5.449207373924975,7.1461258852256915,10.0,10.0,0.02087264150943396,0.17877358490566037,0.09834905660377359,0.026465661577739805,213.7314858490566,47.91320754716981,0.48482168845410617,1.0,8070.324528301887,0.9778638295407566,0.02087264150943396,0.6660675149481251,0.12863292171987745,5.323719231587536,2.2462643101530255,0.06257649256654506,2.24477019004102,2.195579782771864,10.000196540880504,10.000196540880504,0.06218553459119497,0.4217374213836478,0.25596174004192873,0.003199481856945777,25.81761006289308,13.542557651991615,0.09294286996704103,1.0,8065.324528301887,0.6477397492846603,0.06218553459119497,0.6852285651665814,0.13071287093442707,5.4631505008513574,2.244604176695242,0.10840865247092157,0.10382543648048392,0.36266754044676724,2.6399627923965454,5.935164324261925,2.2738292888559477,10.001029829545454,10.0,10.001144255050503,0.3620738636363637,0.11789772727272728,0.38920454545454547,24.112499999999997,99.92045454545455,15.689393939393941,0.2060333800417456,0.7320053960112008,0.14759204493402833,0.6852135425196088,0.6316838836466724,0.9695387997410514,0.5941444485250746,0.04811789772727273,0.011008522727272728,0.05224116161616162,0.04589846052820433,-0.01274118637998356,0.05241397685133632,2.245453023910522,2.2464849217371508,2.2453383685964523
9,1.5250093001719918,0.0,49.662296295166016,1.0,2.489946560046974e-08,0.4321405239033818,False,0.08015494048595428,0.15285460650920868,0.06584963202476501,0.4445483325831271,,2.6678345916406165,10.0,10.0,0.058254716981132076,0.4022169811320755,0.24233490566037735,0.005347550269172369,43.16620283018868,16.58188679245283,0.13153894627431653,1.0,4.9291478768834525,8065.824528301887,0.679665317153031,0.058254716981132076,0.6858705643325482,0.1304784884612395,5.436235313055651,6.784736372389883,10.0,10.0,0.02464622641509434,0.1805424528301887,0.0982311320754717,0.026352284579836537,212.79905660377358,47.67169811320755,0.4771039057452724,1.0,8070.324528301887,0.9779766028782106,0.02464622641509434,0.6589129729090997,0.1289012135951418,5.3120639855006955,2.2462697083095335,0.0631169392955753,2.244787384519037,2.2104010604462534,10.0,10.0,0.061988993710691824,0.4268474842767296,0.2583464360587002,0.0030136909013207948,24.318107966457024,13.127463312368972,0.09314283966643255,1.0,8065.324528301887,0.6465196187391221,0.061988993710691824,0.688865852268487,0.13065374122413925,5.450032127228423,2.244622681875649,0.10954188877868952,0.10489939383037811,0.3642245505778295,2.6359252184629445,5.973369706760753,2.265098053096521,10.0,10.0,10.0,0.36189630681818186,0.11292613636363637,0.3895596590909091,23.06818181818182,92.7159090909091,15.329545454545455,0.20588239964351734,0.7350652600553903,0.1470843040421982,0.6859364237348738,0.632004011320797,0.9697299640287053,0.5944789054643628,0.048792613636363634,0.013139204545454546,0.052754103535353536,0.052139992391839876,0.02903569452568759,0.054707136599190125,2.2455889105796816,2.2464849217371508,2.245489353784407
10,1.524874023824886,0.0,49.89826583862305,1.0,2.5994465246981235e-08,0.4525217890973173,False,0.08018825948238373,0.15179523825645447,0.06883695721626282,0.45360414686907075,0.8045615168405392,2.691648867445172,10.00001179245283,10.00001179245283,0.05983490566037736,0.4075235849056604,0.2454127358490566,0.005251621002515883,42.392169811320755,16.079245283018867,0.130016586915502,1.0,4.917635422832561,8065.824528301887,0.6804008424169612,0.05982311320754717,0.6837307512422778,0.1269403347377221,5.4299847169192335,7.094429958091592,10.0,10.0,0.022995283018867923,0.18443396226415093,0.10141509433962265,0.02562799685292016,206.97181603773586,45.652830188679246,0.47740316191371884,1.0,8070.324528301887,0.9780538023642774,0.022995283018867923,0.6586118464200001,0.12985883764080391,5.302091969184156,2.2461843031757285,0.06393349284552179,2.244758104288353,2.2024509684844586,10.000013102725367,10.000013102725367,0.06392819706498952,0.43231132075471695,0.2614124737945493,0.0029875792413598524,24.10554245283019,12.793291404612159,0.09141807858236681,1.0,8065.324528301887,0.6473282913117039,0.06391509433962264,0.6865217406669752,0.12661605663737968,5.444195022223131,2.2445996377453112,0.11066418511312713,0.10599111588636659,0.3609276756925403,2.6378805518150332,5.941851409998807,2.2707726786835027,10.0,10.0,10.0,0.36523437499999994,0.11931818181818182,0.3925583964646464,23.26704545454545,96.86363636363636,15.089646464646465,0.20393383556511252,0.7225137078626589,0.14631384975427406,0.6846109966829392,0.6320949341424488,0.9698755273764784,0.5945637571164454,0.05031960227272727,0.015625,0.05417455808080808,0.039881236224320035,-0.0018478344887284948,0.04451779963688099,2.2455404072999956,2.2464849217371508,2.2454354612514225
