step,chosen_normalized_regret,effective_positive_count,effective_positive_count_mean,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,informative_row_fraction,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,student_entropy_mean,teacher_entropy,topm_probability_mass_mean
0,7.0196790058504455,10.0,10.0,0.022017045454545456,0.14879261363636365,0.07776988636363637,0.07606883671806744,642.7056107954545,427.40909090909093,0.8260166089643132,1.0,8449.0,0.9648410576311025,0.022017045454545456,1.1842409887097098,-0.055367292704764086,5.223085663535378,2.2459325817498295,0.05849084504949464
1,2.7779573716900567,10.000355113636363,10.000355113636363,0.04332386363636364,0.3093039772727273,0.17578125,0.007054941145311618,59.60014204545455,26.704545454545453,0.41370112279599364,1.0,8448.0,0.6164864244108851,0.04332386363636364,1.2410303929989988,0.0208668176716897,5.231081556190144,2.2457344965501265,0.10697620567357675
2,2.4354445243423637,10.0,10.0,0.04332386363636364,0.3391335227272727,0.19779829545454544,0.0056907307073495094,48.06960227272727,22.920454545454547,0.2816733783957633,1.0,8447.0,0.5997324870391325,0.04332386363636364,1.2485549002885818,0.014688622374127259,5.25630673495206,2.2453233274546536,0.10899573642845181
3,2.3010867698626085,10.0,10.0,0.04580965909090909,0.34907670454545453,0.19708806818181818,0.005252284480692734,44.36079545454545,22.988636363636363,0.21101579247889193,1.0,8446.0,0.5936141234229911,0.04580965909090909,1.2714784348552877,0.010763125110222725,5.279782744971189,2.2450212836265564,0.10952167629941621
4,2.1674282916567544,10.0,10.0,0.04794034090909091,0.3561789772727273,0.20099431818181818,0.005016878920617852,42.36754261363637,21.988636363636363,0.16757686402310024,1.0,8445.0,0.5916956195777113,0.04794034090909091,1.2652736014940522,0.009662712656595896,5.302005605264143,2.24495008316907,0.1085109741808
5,2.101133416491476,10.002130681818182,10.002130681818182,0.053267045454545456,0.3572443181818182,0.2020596590909091,0.004989338210593401,42.12997159090909,21.772727272727273,0.13990327673540873,1.0,8444.0,0.588078707117926,0.053267045454545456,1.2596047479997983,0.008300611397270462,5.323307443748821,2.2448250515894457,0.10698630046946081
6,2.072204348715869,10.011363636363637,10.011363636363637,0.045099431818181816,0.36079545454545453,0.20063920454545456,0.004941559977437878,41.72159090909091,21.78409090909091,0.11990661449222402,1.0,8443.0,0.5850689831105146,0.045099431818181816,1.262631464410912,0.006355807137207525,5.343703681772405,2.2451355809515174,0.10533722557804802
7,2.0795959031040017,10.004261363636363,10.004261363636363,0.04190340909090909,0.3561789772727273,0.20348011363636365,0.004935456972981972,41.66512784090909,21.727272727272727,0.10796357797120106,1.0,8442.0,0.580975370312279,0.04190340909090909,1.2963251315734603,0.006769367702358021,5.3634560758417305,2.2450239089402286,0.10340073065493595
8,2.1274596520445566,10.016690340909092,10.016690340909092,0.044744318181818184,0.3586647727272727,0.20490056818181818,0.004917278464497279,41.50674715909091,21.204545454545453,0.09884256340393965,1.0,8441.0,0.5791672224348242,0.044744318181818184,1.3200242282314734,0.006176703144567661,5.382765889167786,2.2453792880881918,0.10260613245720213
9,2.06037953089584,10.01171875,10.01171875,0.04296875,0.3497869318181818,0.20134943181818182,0.00495194189253115,41.79438920454545,21.545454545454547,0.08678309238431128,1.0,8440.0,0.5811106633733619,0.04296875,1.3077037408947945,0.006400984709733331,5.401495630090887,2.245328491384333,0.10193827282637358
