step,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,loss_effective_positive_count,loss_informative_row_fraction,loss_student_entropy,loss_teacher_entropy,loss_teacher_top1_weight,loss_topm_probability_mass,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,step_loss
0,0.009435876623376624,0.07051542207792208,0.041294642857142856,0.10481786975873689,885.6061789772727,607.4480519480519,0.48577404519930095,10.0,1.0,6.147236337135364,0.5742129188321241,0.7880020827635542,0.030011293732897754,8449.0,0.9710292796809952,0.009435876623376624,0.6767502694644711,0.16390021865157678,7.441997423574522
1,0.03936688311688312,0.26932832792207795,0.16218547077922077,0.015545637538246872,131.32954545454547,70.2646103896104,0.23239196853276778,10.0,1.0,6.1763679083291585,0.5356395922407702,0.8020970209852442,0.06665693863609491,8448.0,0.7181578270316898,0.03936688311688312,0.7533691257371434,0.31357625774967723,5.357384085655212
2,0.040584415584415584,0.27749594155844154,0.16193181818181818,0.012286713154498538,103.78586647727273,50.089285714285715,0.16269716466837503,10.00010146103896,1.0,6.196289502955103,0.5155926825260961,0.8096580428930072,0.0652157808873234,8447.0,0.6796011542538544,0.040584415584415584,0.7617304085983665,0.2460090835215746,5.286711699002749
3,0.03860592532467533,0.2753652597402597,0.16233766233766234,0.010880579196728158,91.8973721590909,44.142857142857146,0.12258738321977873,10.000659496753247,1.0,6.214529169844343,0.5028514388900298,0.8139215411690922,0.06345943870119654,8446.0,0.660896271370448,0.03860592532467533,0.7584885304382483,0.20953111300433266,5.271857544586256
4,0.036881087662337664,0.2674512987012987,0.1590909090909091,0.010523149688823025,88.86799918831169,43.3198051948052,0.09958593720908869,10.000811688311689,1.0,6.230950956994837,0.49330324469158404,0.8177268732968089,0.06221248934728807,8445.0,0.6474417055678832,0.036830357142857144,0.7574291828923024,0.18145587953733497,5.280541189692237
5,0.03556209415584415,0.2701907467532468,0.16101866883116883,0.009835490594285786,83.05088271103897,41.41720779220779,0.08300746859099667,10.000355113636363,1.0,6.246266002778883,0.4826318649212261,0.8222514100663074,0.061126278604489645,8444.0,0.6388765726867435,0.03556209415584415,0.7709980149596155,0.1608550706329985,5.279158423473309
6,0.03515625,0.2656757305194805,0.15665584415584416,0.009784410845494168,82.60978084415585,40.98701298701299,0.07251155349522732,10.001065340909092,1.0,6.260681296323801,0.47475110224218336,0.8256244305279348,0.06017276542351956,8443.0,0.6313422540952633,0.03515625,0.7681649406501031,0.1448423614392603,5.284020704882486
7,0.033887987012987016,0.26263189935064934,0.15295251623376624,0.009666405435984723,81.60379464285714,41.436688311688314,0.06301114922873192,10.002435064935066,1.0,6.27428243376992,0.47148649181638447,0.8268414509373826,0.05939520024634027,8442.0,0.6271384185204258,0.033887987012987016,0.7555724553667106,0.13231898403961292,5.292499082429068
8,0.03530844155844156,0.2603997564935065,0.1474228896103896,0.009539711650271688,80.52470576298701,40.800324675324674,0.056345118988341616,10.000405844155845,1.0,6.287189146140953,0.46931754122790575,0.8272564278601052,0.05829069514565363,8441.0,0.6217717792500149,0.03530844155844156,0.7692955101828103,0.1214620189009558,5.301839218124167
9,0.033786525974025976,0.2533482142857143,0.14640827922077923,0.009452333960857155,79.77769886363636,41.24837662337662,0.050511669586775464,10.001166801948052,1.0,6.299501444612231,0.46502309487285937,0.8293534797894491,0.057421417812387424,8440.0,0.6182063506891975,0.033786525974025976,0.7677849585238796,0.11190421574274353,5.310568187917982
