step,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,loss_effective_positive_count,loss_informative_row_fraction,loss_student_entropy,loss_teacher_entropy,loss_teacher_top1_weight,loss_topm_probability_mass,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,step_loss
0,0.008624188311688312,0.07208806818181818,0.037794237012987016,0.11047235532858796,933.3809354707793,622.9967532467532,0.48825494885783305,10.0,1.0,6.133074907513408,0.5742129188321241,0.7880020827635542,0.029190678242619988,8449.0,0.9703100813286645,0.008624188311688312,0.6792311766729145,0.12329996984855829,6.888652800739585
1,0.03485186688311688,0.24538352272727273,0.14498782467532467,0.0170583713706356,144.1091213474026,73.75162337662337,0.23750835487485997,10.0,1.0,6.171828154619638,0.5401268474177107,0.8008423849166214,0.06386639943078777,8448.0,0.7231215486762586,0.03485186688311688,0.7352910409621024,0.28789731045431743,5.097479747874396
2,0.03885957792207792,0.25953733766233766,0.15482954545454544,0.01353530732766168,114.33274147727273,55.422077922077925,0.16006290899323566,10.000050730519481,1.0,6.193960302061849,0.5160113946570979,0.8091974235200262,0.06293565626845804,8447.0,0.6861784349304515,0.03885957792207792,0.7306170454490688,0.22755084922083996,5.046900876156696
3,0.03424310064935065,0.25618912337662336,0.1476765422077922,0.012915914505096484,109.08781452922078,52.72077922077922,0.12257833370648615,10.000202922077921,1.0,6.212931338068727,0.49946501098766727,0.8160363824723603,0.061019052371878615,8446.0,0.6639184634406845,0.03424310064935065,0.7385419368526185,0.18762202884698145,5.056119171829967
4,0.0315036525974026,0.24939123376623376,0.14118303571428573,0.01225983954286853,103.53434456168831,52.64123376623377,0.0994695281419395,10.000355113636363,1.0,6.229875867242937,0.49055717517803243,0.819582421477739,0.0595254077010655,8445.0,0.6502521099014715,0.0315036525974026,0.7428055334981386,0.16065071570374453,5.069209196737835
5,0.03160511363636364,0.24675324675324675,0.14214691558441558,0.01217683869972107,102.82122564935065,50.021103896103895,0.08266195667568933,10.00091314935065,1.0,6.245393979859043,0.4852866866178327,0.8217962559360963,0.058472407630995496,8444.0,0.6409819373836765,0.03160511363636364,0.7391794640812781,0.1409209990345387,5.082617479872394
6,0.029728084415584416,0.2421875,0.13996550324675325,0.012158951279244238,102.65802556818181,50.97077922077922,0.0723266927767303,10.0,1.0,6.259763597667991,0.4805905385208981,0.8234456445683133,0.057407261008493506,8443.0,0.6324268713496722,0.029728084415584416,0.7534590541058547,0.12492538514613868,5.096585674332334
7,0.02937297077922078,0.2463981331168831,0.1408786525974026,0.011761187700606322,99.28794642857143,49.14772727272727,0.06326920224214577,10.001674107142858,1.0,6.273395572389875,0.47400994342449426,0.8254333321343769,0.05642555986286153,8442.0,0.6266910701796606,0.02937297077922078,0.7475657026319729,0.11263649135670278,5.102382919231019
8,0.03180803571428571,0.2411221590909091,0.1390016233766234,0.011677545376364656,98.57016030844156,49.52272727272727,0.05713099990699247,10.000050730519481,1.0,6.286239647246027,0.47454447420193,0.8249487732718517,0.05566495685239455,8441.0,0.6214933569071355,0.03180803571428571,0.7634195634345342,0.10238426323356922,5.10733575867368
9,0.033583603896103896,0.24015827922077923,0.13529829545454544,0.01161704252151978,98.04783887987013,50.146103896103895,0.05140474067498966,10.0,1.0,6.2985763534322965,0.4710525618261331,0.8260641093184422,0.05497729529659929,8440.0,0.6174547393116858,0.033583603896103896,0.7677106810960459,0.09520348223949837,5.117763927617631
