step,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,loss_pred_rank_mean,loss_top10_acc,loss_top1_acc,loss_top1_top2_margin_mean,loss_top5_acc,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman,step_loss
0,0.00882711038961039,0.07335633116883117,0.040635146103896104,0.10545834492893538,891.0175527597403,613.6866883116883,0.48786213137088463,890.0175020292207,0.07335633116883117,0.00882711038961039,0.022060159718929245,0.040635146103896104,8449.0,0.9708941726909055,0.00882711038961039,0.6788383562649999,0.1671590724476929,7.427013738588854
1,0.04022930194805195,0.26461038961038963,0.1554890422077922,0.016122336783249827,136.20150162337663,74.0211038961039,0.2332652904571022,135.20150162337663,0.26461038961038963,0.04022930194805195,0.026279292004128128,0.1554890422077922,8448.0,0.7171777228449846,0.04022930194805195,0.7531340650718223,0.31159875990024055,5.361154090661507
2,0.03860592532467533,0.272067775974026,0.1561992694805195,0.013116923257540918,110.79865056818181,53.003246753246756,0.16360183844687537,109.79865056818181,0.272067775974026,0.03860592532467533,0.020848676647636403,0.1561992694805195,8447.0,0.6792534355122548,0.03860592532467533,0.7589027389654188,0.24488939018129424,5.301500080080776
3,0.036678165584415584,0.2734882305194805,0.16238839285714285,0.01144229688711144,96.6416396103896,47.074675324675326,0.12365240073012938,95.6416396103896,0.2734882305194805,0.036678165584415584,0.01721355026236708,0.16238839285714285,8446.0,0.6612970561950238,0.036678165584415584,0.7617987329745061,0.2101967331312968,5.270220454637107
4,0.03601866883116883,0.26973417207792205,0.16081574675324675,0.01099196705127996,92.82716112012987,44.1948051948052,0.09993773258847559,91.82716112012987,0.26973417207792205,0.03601866883116883,0.01459203949716893,0.16081574675324675,8445.0,0.6482970971468981,0.03601866883116883,0.7658064093489152,0.18253399871728018,5.2769130003916755
5,0.03495332792207792,0.2662337662337662,0.16025771103896103,0.010712634767503016,90.45748782467533,43.407467532467535,0.08448575575406626,89.45748782467533,0.2662337662337662,0.03495332792207792,0.012703855610942066,0.16025771103896103,8444.0,0.6386124627640495,0.03495332792207792,0.7708897353210425,0.16208162297039275,5.282373693082239
6,0.03622159090909091,0.2671976461038961,0.1598518668831169,0.010409153975432402,87.88448660714286,43.438311688311686,0.07169319120048268,86.88448660714286,0.2671976461038961,0.03622159090909091,0.011255559682703952,0.1598518668831169,8443.0,0.6323298992371404,0.03622159090909091,0.7619555986958084,0.14647840934785658,5.282428114445178
7,0.03825081168831169,0.2601968344155844,0.15011160714285715,0.010465888797058709,88.35303368506493,42.439935064935064,0.06308134832848832,87.35303368506493,0.2601968344155844,0.03825081168831169,0.01008430663252464,0.15011160714285715,8442.0,0.6264299503104254,0.03825081168831169,0.7631239290470136,0.1329866600738417,5.295783215528958
8,0.033380681818181816,0.2526887175324675,0.1444805194805195,0.010045514354053674,84.79418628246754,42.621753246753244,0.05604957560585304,83.79418628246754,0.2526887175324675,0.033380681818181816,0.009073447121054769,0.1444805194805195,8441.0,0.6213438259316729,0.033380681818181816,0.7727651714843202,0.12132716723272982,5.3071118608697665
9,0.03241680194805195,0.2461444805194805,0.13737824675324675,0.010215527766577706,86.21905438311688,43.64772727272727,0.05111332103238114,85.21905438311688,0.2461444805194805,0.03241680194805195,0.008276520005987454,0.13737824675324675,8440.0,0.6161137952820047,0.03241680194805195,0.7784430287149432,0.11138844554415885,5.323723061131193
