epoch,train_block1_n_valid_mean,train_block1_teacher_effective_positives,train_block1_teacher_entropy,train_block1_teacher_top1_mass,train_block2_n_valid_mean,train_block2_teacher_effective_positives,train_block2_teacher_entropy,train_block2_teacher_top1_mass,train_block3_n_valid_mean,train_block3_teacher_effective_positives,train_block3_teacher_entropy,train_block3_teacher_top1_mass,train_kl_block1,train_kl_block2,train_kl_block3,train_kl_g,train_loss,val_block1_mse,val_block2_mse,val_block3_mse,val_block_h720_mse,val_block_h720_mse_reconcheck,val_global_h720_mse,val_n_queries_seen,val_overlap_global_block1,val_overlap_global_block2,val_overlap_global_block3
1,32627.461145504287,11435.725219327845,9.232641192426874,0.0015917183686323417,32627.461145504287,9653.382413195564,8.984992368782388,0.0016787089375753183,32627.461145504287,9226.661720993307,8.975498037914527,0.001616582895596503,0.796305028155824,0.9985977157761319,0.991513931970401,1.059275672246297,0.994040645470688,0.484106862557861,0.6916792503020293,0.8596475428784315,0.7535860098945888,0.7535860098945888,0.7732858347798712,4551,0.11418631345963223,0.2500915569653437,0.23762543392463795
2,32627.45088807254,11435.822269444288,9.232650741998818,0.0015917148865880193,32627.45088807254,9653.503764836674,8.985013499750968,0.0016784501001930246,32627.45088807254,9226.656038800731,8.975491368813636,0.0016166179911044137,0.7525284578669289,0.9211373880622197,0.9037128789871528,0.9533162065988987,0.9062212573814908,0.5079059053797756,0.7014202901008365,0.8935525009673049,0.77808887004987,0.77808887004987,0.7834410098583653,4551,0.059053479899825845,0.18145253608875167,0.22525243163127537
3,32627.473902512975,11435.614243762977,9.232617885156126,0.001591758134637421,32627.473902512975,9653.452232818578,8.984999647721692,0.0016785351470769846,32627.473902512975,9226.642797933404,8.975494901236747,0.0016168327263623675,0.734441974229207,0.8633107959195726,0.831191044935005,0.8622395383685286,0.8359437675790236,0.5355220699321279,0.7447898997183398,0.841972985240547,0.7687184991926456,0.7687184991926456,0.7822765537103142,4551,0.046238922675912154,0.15385524997906166,0.20142721322295498
4,32627.49216987252,11435.778585396252,9.232639722527354,0.0015918284113846488,32627.49216987252,9653.47222823795,8.984992298470015,0.0016786219515718857,32627.49216987252,9226.638866359637,8.975485529156922,0.0016169984195039777,0.7218507010572376,0.8293449869660383,0.7876603469518038,0.8046332151139594,0.7921259736756555,0.54691090204461,0.735618642319707,0.8690496648407325,0.781620822294241,0.781620822294241,0.7764949962035087,4551,0.03493946959023382,0.11614192734693067,0.16841720072101085
5,32627.44782265343,11435.706620540162,9.232631803604056,0.0015921828653405305,32627.44782265343,9653.498696300814,8.985003429855169,0.0016784787046760237,32627.44782265343,9226.656010539053,8.975488536337796,0.0016170085813805278,0.7126561241488059,0.8084464967704318,0.7592718825900172,0.7682586070387091,0.764191746711731,0.5537334596249711,0.7384928983819334,0.9114461519752821,0.8061000342881536,0.8061000342881536,0.7727054630633226,4551,0.032533928106916105,0.1182241483426254,0.15369830039876403
6,32627.452504512636,11435.718031774544,9.232632900649214,0.0015917768347673653,32627.452504512636,9653.46328652985,8.984992844963763,0.0016785085939868812,32627.452504512636,9226.558803968215,8.97547882919318,0.0016167177513565013,0.7054207709438737,0.7944629362538808,0.7404206516169932,0.7447415503702234,0.7457548583242437,0.5270541247450792,0.7424066273775017,0.8683347626886758,0.7808546277892487,0.7808546277892487,0.7706004110021116,4551,0.030233021205118532,0.1087118499195775,0.14836195300028063
