step,set_overlap_at_step
1,0.26463195691202873
2,0.2303411131059246
3,0.22585278276481144
4,0.23303411131059246
5,0.23806104129263922
6,0.24661879114302818
7,0.25529622980251343
8,0.2618940754039497
9,0.2688210652304009
10,0.276193895870736
