delta_candidate_mse,delta_uniform_mse,learned_candidate_mse,learned_uniform_mse,query_id,raw_candidate_mse,raw_uniform_mse,split
1.1145899295806885,0.8838894963264465,3.0122647285461426,2.642245054244995,0,0.7520980834960938,0.5936376452445984,train
1.2131305932998657,0.9558035731315613,2.8998820781707764,2.6034138202667236,1,0.7048377394676208,0.5930750966072083,train
1.300107479095459,1.0589534044265747,2.821481466293335,2.5023698806762695,2,0.7126293182373047,0.5970322489738464,train
1.2576971054077148,1.0347362756729126,2.6403706073760986,2.327545166015625,3,0.6998921036720276,0.5844745635986328,train
1.32594895362854,1.1093144416809082,2.733854293823242,2.393174648284912,4,0.6914747357368469,0.5790973901748657,train
1.3296369314193726,1.121551513671875,2.668065309524536,2.366279125213623,5,0.6906736493110657,0.5776931047439575,train
1.3360934257507324,1.1321580410003662,2.617689847946167,2.3055989742279053,6,0.6949442625045776,0.5811982750892639,train
1.3209431171417236,1.1132441759109497,2.732612133026123,2.3870139122009277,7,0.6927529573440552,0.5788146257400513,train
1.4080091714859009,1.2182916402816772,2.672060251235962,2.3368213176727295,8,0.7048471570014954,0.591157078742981,train
2.613433599472046,1.2968323230743408,2.6910464763641357,2.3414905071258545,9,0.7051994800567627,0.5924959182739258,train
1.3420425653457642,1.1536153554916382,2.7809274196624756,2.3967373371124268,10,0.697447657585144,0.5850250124931335,train
1.3657286167144775,1.1556323766708374,2.556126832962036,2.1924655437469482,11,0.6933536529541016,0.5807627439498901,train
1.3830296993255615,1.1614668369293213,2.3699638843536377,2.151811361312866,12,0.6968804001808167,0.5844975709915161,train
1.4192341566085815,1.1776267290115356,2.4788715839385986,2.1493656635284424,13,0.7889478802680969,0.6242479085922241,train
1.4144762754440308,1.1691725254058838,2.4602794647216797,2.1545510292053223,14,0.7828566431999207,0.6200997233390808,train
1.397003412246704,1.1583013534545898,2.549323558807373,2.2323849201202393,15,0.9732567667961121,0.6755545735359192,train
1.3689531087875366,1.145873785018921,2.529693126678467,2.2302777767181396,16,0.7816299200057983,0.6208357810974121,train
1.39967942237854,1.144315242767334,2.3624463081359863,2.157428503036499,17,0.7171297669410706,0.5995093584060669,train
1.3929917812347412,1.1418428421020508,2.337620973587036,2.1345479488372803,18,0.6978592872619629,0.5934668779373169,train
1.4594628810882568,1.2096915245056152,2.339900016784668,2.1364448070526123,19,0.7087239027023315,0.604692280292511,train
1.3991711139678955,1.1420860290527344,2.3762238025665283,2.141205310821533,20,0.7079883217811584,0.6041626334190369,train
1.3734527826309204,1.1151450872421265,4.767618656158447,2.337467670440674,21,0.7218512296676636,0.6178237199783325,train
1.8465898036956787,1.145615577697754,3.233301877975464,0.9473609924316406,22,0.7170991897583008,0.613633930683136,train
2.1256701946258545,1.221644639968872,3.2121455669403076,0.9277995824813843,23,0.7287575602531433,0.6254000067710876,train
1.3855186700820923,1.1403708457946777,3.1000566482543945,0.8314138054847717,24,0.7272936701774597,0.6241502165794373,train
1.6402122974395752,1.1876484155654907,3.3688437938690186,1.1009966135025024,25,0.7276464104652405,0.6243140697479248,train
1.6130051612854004,1.1519920825958252,3.418525218963623,1.12420654296875,26,0.7351529002189636,0.6319258809089661,train
1.420913577079773,1.1908597946166992,3.4556949138641357,1.1364562511444092,27,0.7393999695777893,0.6361613273620605,train
1.3943551778793335,1.1574591398239136,3.5500245094299316,1.157599687576294,28,0.7368228435516357,0.6286282539367676,train
1.348064661026001,1.1053850650787354,3.559532880783081,1.1670668125152588,29,0.725586473941803,0.6172594428062439,train
1.3566691875457764,1.1160739660263062,3.3190159797668457,1.0648237466812134,30,0.7321041822433472,0.6279262900352478,train
1.3804179430007935,1.1451330184936523,0.9389268755912781,0.8598678112030029,31,0.7420238852500916,0.6376577019691467,train
1.3329789638519287,1.0857782363891602,0.9882632493972778,0.9020049571990967,32,0.7220802903175354,0.6170104146003723,train
1.3398807048797607,1.0945417881011963,3.4228129386901855,1.1565606594085693,33,0.7197477221488953,0.6143175959587097,train
1.585101842880249,1.1237907409667969,0.8794072270393372,0.831365704536438,34,0.729701578617096,0.6205441951751709,train
1.8706594705581665,1.1862596273422241,0.9717034697532654,0.9205046892166138,35,0.7255051732063293,0.6157326698303223,train
1.662946105003357,1.2019473314285278,0.9752280116081238,0.8914855122566223,36,0.7238583564758301,0.6171256303787231,train
1.9108800888061523,1.230147361755371,0.9676974415779114,0.8908004760742188,37,0.7172935009002686,0.6102003455162048,train
1.9652585983276367,1.2809107303619385,0.9283643364906311,0.8603144884109497,38,0.7248700857162476,0.6182557344436646,train
1.5273969173431396,1.306474208831787,0.9024531245231628,0.8381474614143372,39,0.6982241868972778,0.5915746092796326,train
1.6024155616760254,1.3707212209701538,0.9223275184631348,0.8568628430366516,40,0.7027818560600281,0.5936095714569092,train
1.8514314889907837,1.423518180847168,1.0408071279525757,0.9799653887748718,41,0.7024877071380615,0.5932497978210449,train
1.6920967102050781,1.4427988529205322,1.0731163024902344,0.9911184906959534,42,0.7236720323562622,0.6152582764625549,train
