epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_loss,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_selected_individual_future_mse,train_spearman,train_train_prefix_aggregate_future_mse,val_expert_containment_at_10,val_expert_rank_median,val_expert_regret_mean,val_final_t_expert_regret_mean,val_final_t_oracle_action_acc,val_free_running_aggregate_future_mse,val_ndcg_at_10,val_oracle_action_acc,val_selected_individual_future_mse,val_spearman,val_t1_ndcg_at_10,val_t1_oracle_action_acc
1,0.10254860621663804,0.0,22.123647689819336,1.0,2.558933154261922e-08,0.19753733695684736,False,0.08120458573102951,0.0642273873090744,0.2368054836988449,0.011154520401408479,0.6264247246662371,0.007980404551201012,0.060781447534766116,0.0340352402022756,0.15873455711711504,736.1827591656131,407.60050568900124,0.6558162053922184,0.6239170569234189,4614.167588495575,0.9405823792654705,0.007980404551201012,1.1205122656413788,0.4595397623756607,0.7124584559092179,0.03530493080615997,1443.2649159663865,1.341942025361066,1.3678855717088245,0.0033482142857142855,1.6997599191010617,0.9351280597077698,0.0038958230353265746,2.155989046923879,0.4004747550266705,0.9329651642997726,0.0038734243697478993
2,0.1134170888204249,0.0,20.60905647277832,1.0,2.5177680385013446e-08,0.2910605006086809,False,0.08095715939998627,0.09096194058656693,0.24000120162963867,0.011620310403603468,,0.009698957016434893,0.07370022123893805,0.041561314791403285,0.11579948512689896,535.6844579646017,265.019595448799,0.5311506439645582,0.5932507889460673,4608.526548672567,0.9522633965111864,0.009698957016434893,0.9951446232033891,0.5160313258414373,0.6272464079968396,0.03557101150489404,1553.2233193277314,1.2848464526329972,1.299266517553635,0.004332983193277311,1.7312939646791432,0.9355931214111692,0.004203611591971722,2.0989982996386396,0.33000476053141947,0.9285239085805517,0.003931351953006091
3,0.1264515246110589,0.0,20.924949645996094,1.0,2.915244223800073e-08,0.3661502862573429,False,0.08240170776844025,0.06348248571157455,0.23375798761844635,0.011587875943456538,,0.011812579013906447,0.0838140012642225,0.04776390644753477,0.10173792748296381,468.427267699115,229.8242730720607,0.4659227059044971,0.5710534833173836,4608.526548672567,0.9601370380289486,0.011812579013906447,0.9307252251732666,0.5591749572447816,0.5826836644887321,0.034429065754026676,1705.520588235294,1.3396857285058172,1.3602855548168682,0.0038579770152558797,1.7919150816832372,0.9336629053624739,0.004050296589638255,2.1538389258493646,0.2835000525487559,0.9269216656684875,0.0030199579831932774
4,0.12075205490333214,0.0,19.49222183227539,1.0,3.077970589515644e-08,0.42028054385365976,False,0.07846857607364655,0.14287301898002625,0.2530871629714966,0.010330858503502537,,0.01327433628318584,0.09114254108723135,0.05216893173198483,0.0962964812840845,442.6565858091024,219.14032869785083,0.4251799635899956,0.5572519692699466,4610.764103982301,0.9641442905108335,0.01327433628318584,0.8891136329032377,0.5773762275808282,0.5569814926416021,0.028489943777657106,1826.8813025210081,1.309915777880448,1.3229160882344766,0.0032091880874598726,1.7520805371684753,0.9384167518435405,0.0034223615927543457,2.123880007449819,0.34449027321917475,0.9309065117805946,0.002888655462184874
5,0.11628704473913998,0.0,17.64455795288086,1.0,2.8180417999124074e-08,0.46315988474486736,False,0.0797790065407753,0.10994070023298264,0.27718353271484375,0.010120778429779546,0.6046633820008277,0.012484197218710493,0.09319690265486726,0.053650442477876106,0.09357570866346547,429.6969224083439,210.4323640960809,0.4111769980363614,0.5484063498741758,4613.430309734514,0.9660651173287186,0.012484197218710493,0.8758438289655295,0.5824490557259825,0.5402223838660418,0.029262697738947484,1855.5792016806722,1.2481211297910568,1.2544209622472775,0.0034640694522306698,1.7128734969884727,0.9408034116029738,0.003443601705572184,2.0620908243910354,0.3240666590584137,0.9308144085797943,0.0017725840336134454
6,0.1087247085594965,0.0,15.499194145202637,1.0,2.8426541121007176e-08,0.5000351598407768,False,0.07670588791370392,0.16218777000904083,0.31162816286087036,0.009305497246006893,,0.013155815423514539,0.09637721238938053,0.055941845764854614,0.09185415168056642,421.11559734513276,198.8078381795196,0.3960730820592827,0.543440681906928,4608.526548672567,0.9672306289262929,0.013155815423514539,0.8604777527009944,0.5875521825967402,0.5299640253902085,0.02839803201999484,1801.8321428571428,1.2635996532070786,1.2816955861205064,0.003989279536264283,1.7107532732846236,0.9416203926215652,0.0038008217997222886,2.0777210519062117,0.33548204040277246,0.9321674636932982,0.0019695378151260504
