query_start_idx,channel,retmse10_native_p16,retmse10_p24,retmse10_p48,retmse10_p120,winner_arm,winner_retmse10
0,0,0.6074082255363464,0.7744281888008118,0.6333125233650208,0.6423770785331726,native_p16,0.6074082255363464
0,1,0.7288638949394226,1.074440360069275,1.059843897819519,1.1075520515441895,native_p16,0.7288638949394226
0,2,0.4696662127971649,0.4724177420139313,0.4606408178806305,0.47015032172203064,p48,0.4606408178806305
0,3,0.6781901717185974,1.4446176290512085,1.9684776067733765,1.789022445678711,native_p16,0.6781901717185974
0,4,2.0248048305511475,3.0079143047332764,2.1640515327453613,2.9461610317230225,native_p16,2.0248048305511475
0,5,0.4342556893825531,0.8915716409683228,1.1305367946624756,0.8512861132621765,native_p16,0.4342556893825531
0,6,0.3675275146961212,0.9883567690849304,0.889255166053772,1.09227454662323,native_p16,0.3675275146961212
1,0,0.6432898044586182,0.8652417063713074,0.651928722858429,0.721446692943573,native_p16,0.6432898044586182
1,1,0.8092848062515259,1.2773154973983765,1.2407420873641968,0.8513677716255188,native_p16,0.8092848062515259
1,2,0.4694627821445465,0.4650382995605469,0.49737271666526794,0.4577616751194,p120,0.4577616751194
1,3,0.7246830463409424,1.8958367109298706,2.587214708328247,2.0717084407806396,native_p16,0.7246830463409424
1,4,2.4529130458831787,3.3651669025421143,2.7104732990264893,4.430645942687988,native_p16,2.4529130458831787
1,5,0.3759778141975403,0.7082201838493347,0.8445881009101868,0.8693147897720337,native_p16,0.3759778141975403
1,6,0.3807224929332733,1.0086082220077515,1.4644131660461426,1.1411141157150269,native_p16,0.3807224929332733
2,0,0.6472651362419128,0.9399771094322205,0.6772374510765076,0.7050865292549133,native_p16,0.6472651362419128
2,1,0.7114129066467285,1.556748628616333,1.6964672803878784,1.0007432699203491,native_p16,0.7114129066467285
2,2,0.5208284854888916,0.45364466309547424,0.45342355966567993,0.43365368247032166,p120,0.43365368247032166
2,3,0.6588444113731384,2.829833745956421,2.485621213912964,1.9507664442062378,native_p16,0.6588444113731384
2,4,3.053853750228882,3.202763319015503,2.8354744911193848,2.455582857131958,p120,2.455582857131958
2,5,0.46713897585868835,0.7743258476257324,1.1459410190582275,0.8434931635856628,native_p16,0.46713897585868835
2,6,0.3803773820400238,1.1878089904785156,1.160996437072754,1.3618181943893433,native_p16,0.3803773820400238
3,0,0.6190472841262817,0.6216098666191101,0.6879997849464417,0.6165477633476257,p120,0.6165477633476257
3,1,0.633543074131012,1.725754976272583,1.3683195114135742,1.101241111755371,native_p16,0.633543074131012
3,2,0.5540831685066223,0.4565013349056244,0.4625588357448578,0.4648228585720062,p24,0.4565013349056244
3,3,0.6337839365005493,2.833343982696533,2.8601596355438232,2.3986012935638428,native_p16,0.6337839365005493
3,4,2.9948770999908447,3.197180986404419,2.964864492416382,2.1478936672210693,p120,2.1478936672210693
3,5,0.4262599050998688,0.6039509177207947,0.6732341051101685,0.824382483959198,native_p16,0.4262599050998688
3,6,0.34606143832206726,1.1315072774887085,1.3256568908691406,1.3809574842453003,native_p16,0.34606143832206726
4,0,0.5670185089111328,0.6039514541625977,0.6839656233787537,0.5983476638793945,native_p16,0.5670185089111328
4,1,0.7681750655174255,2.1463372707366943,1.334028720855713,0.9628591537475586,native_p16,0.7681750655174255
4,2,0.5156689286231995,0.4531117081642151,0.4897654056549072,0.4841928482055664,p24,0.4531117081642151
4,3,0.6575998663902283,3.049138069152832,3.4485490322113037,2.4688596725463867,native_p16,0.6575998663902283
4,4,2.870993137359619,2.655690908432007,2.920715093612671,2.0901973247528076,p120,2.0901973247528076
4,5,0.44315728545188904,0.7349672913551331,0.5419372916221619,2.2567384243011475,native_p16,0.44315728545188904
4,6,0.5356101989746094,0.7160919904708862,1.3952534198760986,1.3767284154891968,native_p16,0.5356101989746094
5,0,0.5980054140090942,0.6157959699630737,0.7359172701835632,0.5886158347129822,p120,0.5886158347129822
5,1,1.1055278778076172,1.5583635568618774,1.6343164443969727,1.136857032775879,native_p16,1.1055278778076172
5,2,0.4778911769390106,0.47598621249198914,0.4776897430419922,0.4940008223056793,p24,0.47598621249198914
5,3,0.7632805109024048,2.720674991607666,2.6359105110168457,2.1232755184173584,native_p16,0.7632805109024048
5,4,3.269948720932007,2.7223832607269287,3.0914113521575928,2.227999210357666,p120,2.227999210357666
5,5,0.39278873801231384,1.02577805519104,1.4888368844985962,1.3450326919555664,native_p16,0.39278873801231384
5,6,0.4331313669681549,0.9873227477073669,1.550977110862732,1.2527011632919312,native_p16,0.4331313669681549
6,0,0.600827157497406,0.6045911908149719,0.7292373776435852,0.575292706489563,p120,0.575292706489563
6,1,0.6438900828361511,2.4378716945648193,1.7785160541534424,1.4866708517074585,native_p16,0.6438900828361511
6,2,0.4860869348049164,0.45776864886283875,0.4934399724006653,0.4805673062801361,p24,0.45776864886283875
6,3,0.5732135772705078,3.014665365219116,2.3771300315856934,1.7857822179794312,native_p16,0.5732135772705078
6,4,2.6435792446136475,2.7795791625976562,3.0279858112335205,3.3181254863739014,native_p16,2.6435792446136475
6,5,0.326872318983078,1.3025063276290894,0.9870249032974243,0.4479158818721771,native_p16,0.326872318983078
