arm,scope,epoch0_top1,best_top1,epoch0_top5,best_top5,epoch0_top10,best_top10
individual+tf+cosine,overall,0.004324776785714286,0.00703125,0.020814732142857142,0.035853794642857144,0.038337053571428574,0.06997767857142857
individual+tf+cosine,t1,0.005301339285714286,0.010602678571428572,0.027901785714285716,0.04827008928571429,0.054408482142857144,0.10016741071428571
individual+tf+cosine,tgeq2,0.004216269841269841,0.006634424603174603,0.020027281746031748,0.03447420634920635,0.03655133928571429,0.0666232638888889
individual+tf+asymmetric,overall,0.004324776785714286,0.013504464285714286,0.020814732142857142,0.05315290178571429,0.038337053571428574,0.09204799107142857
individual+tf+asymmetric,t1,0.005301339285714286,0.023995535714285716,0.027901785714285716,0.080078125,0.054408482142857144,0.13058035714285715
individual+tf+asymmetric,tgeq2,0.004216269841269841,0.012338789682539682,0.020027281746031748,0.05016121031746032,0.03655133928571429,0.08776661706349206
individual+onpolicy+cosine,overall,0.005831473214285714,0.010602678571428572,0.028152901785714286,0.04790736607142857,0.05217633928571429,0.09090401785714286
individual+onpolicy+cosine,t1,0.005301339285714286,0.012276785714285714,0.027901785714285716,0.05412946428571429,0.054408482142857144,0.09681919642857142
individual+onpolicy+cosine,tgeq2,0.005890376984126984,0.010416666666666666,0.028180803571428572,0.047216021825396824,0.051928323412698416,0.0902467757936508
individual+onpolicy+asymmetric,overall,0.005831473214285714,0.010407366071428571,0.028152901785714286,0.046568080357142855,0.05217633928571429,0.08431919642857143
individual+onpolicy+asymmetric,t1,0.005301339285714286,0.014229910714285714,0.027901785714285716,0.056361607142857144,0.054408482142857144,0.09821428571428571
individual+onpolicy+asymmetric,tgeq2,0.005890376984126984,0.009982638888888888,0.028180803571428572,0.04547991071428571,0.051928323412698416,0.08277529761904762
set+tf+cosine,overall,0.0006975446428571429,0.005245535714285714,0.0038783482142857144,0.019810267857142856,0.008035714285714285,0.03468191964285714
set+tf+cosine,t1,0.005301339285714286,0.011160714285714286,0.027901785714285716,0.04771205357142857,0.054408482142857144,0.08063616071428571
set+tf+cosine,tgeq2,0.00018601190476190475,0.004588293650793651,0.001209077380952381,0.016710069444444444,0.002883184523809524,0.029575892857142856
set+tf+asymmetric,overall,0.0006975446428571429,0.004380580357142857,0.004213169642857143,0.0185546875,0.008286830357142857,0.034012276785714286
set+tf+asymmetric,t1,0.005301339285714286,0.007533482142857143,0.027901785714285716,0.044642857142857144,0.054408482142857144,0.08147321428571429
set+tf+asymmetric,tgeq2,0.00018601190476190475,0.004030257936507937,0.0015811011904761905,0.015656001984126984,0.003162202380952381,0.028738839285714284
set+onpolicy+cosine,overall,0.032896205357142855,0.11746651785714286,0.13532366071428573,0.4318638392857143,0.22935267857142858,0.6415457589285715
set+onpolicy+cosine,t1,0.005301339285714286,0.0078125,0.027901785714285716,0.03459821428571429,0.054408482142857144,0.06110491071428571
set+onpolicy+cosine,tgeq2,0.035962301587301584,0.12965029761904762,0.1472594246031746,0.4760044642857143,0.24879092261904762,0.7060391865079365
set+onpolicy+asymmetric,overall,0.029073660714285715,0.07195870535714285,0.12650669642857143,0.28468191964285716,0.2174107142857143,0.4596540178571429
set+onpolicy+asymmetric,t1,0.005301339285714286,0.005580357142857143,0.027901785714285716,0.027064732142857144,0.054408482142857144,0.04994419642857143
set+onpolicy+asymmetric,tgeq2,0.03171502976190476,0.07933407738095238,0.13746279761904762,0.31330605158730157,0.2355220734126984,0.5051773313492064
