arm,epoch0_top10,best_top10,abs_gain
individual+tf+cosine,0.038337053571428574,0.06997767857142857,0.031640625
individual+tf+asymmetric,0.038337053571428574,0.09204799107142857,0.05371093749999999
individual+onpolicy+cosine,0.05217633928571429,0.09090401785714286,0.03872767857142857
individual+onpolicy+asymmetric,0.05217633928571429,0.08431919642857143,0.03214285714285714
set+tf+cosine,0.008035714285714285,0.03468191964285714,0.026646205357142856
set+tf+asymmetric,0.008286830357142857,0.034012276785714286,0.025725446428571427
set+onpolicy+cosine,0.22935267857142858,0.6415457589285715,0.41219308035714286
set+onpolicy+asymmetric,0.2174107142857143,0.4596540178571429,0.2422433035714286
