step,choice_ce,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,n_valid_mean,ndcg_at_10,oracle_action_acc,selected_individual_future_mse,spearman
1,5.800674091492381,0.049107142857142856,0.2533482142857143,0.16434151785714285,0.05559218141778339,260.78404017857144,123.98214285714286,0.4392542541027069,4644.138671875,0.9600167327693531,0.049107142857142856,0.9007139480007547,0.23756787028397802
2,4.035256274044514,0.21791294642857142,0.6071428571428571,0.49637276785714285,0.011153484646846274,52.053292410714285,10.866071428571429,0.059528598950626996,4643.138671875,0.9945618009993008,0.21791294642857142,0.5410287019663623,0.38090882079092936
3,4.020914450287819,0.19224330357142858,0.6102120535714286,0.47293526785714285,0.009010622620865303,41.810825892857146,9.25,0.057646428575805785,4642.138671875,0.9951196738651821,0.19224330357142858,0.5532174839505127,0.39780562917894713
4,4.159971558621952,0.17047991071428573,0.5744977678571429,0.43443080357142855,0.010328981389778034,48.09375,10.651785714285714,0.05614920804094124,4641.138671875,0.9952207484415599,0.17047991071428573,0.5620094995413508,0.40445307058774105
5,4.21139650366136,0.14536830357142858,0.55078125,0.40708705357142855,0.009349076362143802,43.435546875,12.169642857142858,0.0537383110578438,4640.138671875,0.9953089292560305,0.14536830357142858,0.5688051474945885,0.4100273853946419
6,4.297987673963819,0.13616071428571427,0.5270647321428571,0.38560267857142855,0.010054033423200184,46.733816964285715,13.419642857142858,0.05315353599559915,4639.138671875,0.995305845780032,0.13616071428571427,0.5755833602909531,0.41504557155654503
7,4.425697402230331,0.12639508928571427,0.494140625,0.35630580357142855,0.011481483045437406,53.102120535714285,14.946428571428571,0.051140506456639354,4638.138671875,0.9952448308467865,0.12639508928571427,0.580102585655238,0.41849544871846384
8,4.47101896575519,0.126953125,0.490234375,0.35518973214285715,0.011621634015942359,53.57310267857143,15.955357142857142,0.05181097415541964,4637.138671875,0.9951796340090888,0.126953125,0.5865877635244813,0.4209835104149014
9,4.55150452043329,0.11300223214285714,0.46316964285714285,0.326171875,0.012806803044181183,59.458705357142854,17.196428571428573,0.050092464433484044,4636.138671875,0.9950922009135995,0.11300223214285714,0.5900567738073212,0.4237586753841112
10,4.6073698827198575,0.11272321428571429,0.447265625,0.31724330357142855,0.013587180948109432,63.006417410714285,18.517857142857142,0.05165181074075268,4635.138671875,0.994990815541574,0.11272321428571429,0.5966020210513047,0.4257428281302964
