step,chosen_normalized_regret,chosen_raw_regret,effective_positive_count,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,gap_1_10,gap_1_2,is_t0_hard_ce,multipos_loss,n_valid_mean,ndcg_at_10,normalized_teacher_entropy,oracle_action_acc,positive_count_max,positive_count_mean,positive_count_median,pred_rank_mean,selected_individual_future_mse,spearman,student_entropy,support_size,teacher_entropy,teacher_ess,top10_acc,top1_acc,top1_in_positive_rate,top1_top2_margin_mean,top5_acc,topm_probability_mass
0,13.089450361086177,0.4952881962133499,9.453223928228601,0.008421266233766234,0.06564529220779221,0.03617086038961039,0.10713446871655337,905.1791294642857,634.599025974026,0.4952881962133499,,,1.0,,8449.0,0.969979487746567,0.9755599006236374,0.008421266233766234,,,,904.1791294642857,0.6862644197770044,0.14186256453256932,6.1809958482717535,10.0,2.2463097189153944,8.919873531762656,0.06564529220779221,0.008421266233766234,,0.022060159718929245,0.03617086038961039,0.02813605492226927
1,5.80881739925448,0.23769162484601913,9.449059873432308,0.03520698051948052,0.235643262987013,0.13808847402597402,0.0182606810846558,154.26623376623377,76.7159090909091,0.23769162484601913,0.09779165351314337,0.026573383280288885,0.0,4.326593779898309,8448.0,0.7251412925104816,0.9753684242824455,0.03520698051948052,6.267857142857143,3.253196022727273,3.116883116883117,,0.7262635775539396,0.3051372357608538,6.204784764097883,10.0,2.245868829163638,8.904608844162581,,,1.0,,,0.06010866089188796
2,4.219756712000091,0.16436672465597557,9.444257307362246,0.03485186688311688,0.24157873376623376,0.1396103896103896,0.015225714074663952,128.61160714285714,63.51461038961039,0.16436672465597557,0.07351240206830349,0.021180715343016108,0.0,4.326159652951476,8447.0,0.6857732096082204,0.9751474046474927,0.03485186688311688,6.1980519480519485,3.138595779220779,3.0016233766233764,,0.7325666219044429,0.23323377099040069,6.22507594390349,10.0,2.2453599053543885,8.890438646465153,,,1.0,,,0.0589189448412024
3,3.6439815422931274,0.1276793111759758,9.440524900114381,0.03221387987012987,0.2396002435064935,0.13758116883116883,0.014374077636461294,121.40345982142857,58.64772727272727,0.1276793111759758,0.059094432539188654,0.01746945666654229,0.0,4.353266495775867,8446.0,0.6649053102576887,0.9749757988112313,0.03221387987012987,6.1103896103896105,3.0865462662337664,2.9155844155844157,,0.7446686557264297,0.19137121946239669,6.242768773784885,10.0,2.2449647741658345,8.880825558266082,,,1.0,,,0.05752238058092
4,3.3060988696267852,0.10310707330195741,9.438993262006091,0.03109780844155844,0.23828125,0.13301542207792208,0.014429495858225833,121.85709212662337,59.45454545454545,0.10310707330195741,0.04972425063349331,0.014953810488285464,0.0,4.375560969501347,8445.0,0.6513481451706453,0.9749033140478196,0.03109780844155844,6.009740259740259,3.0562094155844157,2.9009740259740258,,0.7440862126720996,0.16421779458667865,6.2586722466852756,10.000050730519481,2.2448026042479974,8.876458514820445,,,1.0,,,0.05625857933962645
5,3.15277513223035,0.088002881071494,9.437744371302717,0.029981737012987012,0.23574472402597402,0.13068181818181818,0.014172307165266263,119.67096185064935,59.70941558441559,0.088002881071494,0.0427645724179834,0.01308071717981615,0.0,4.403412380388805,8444.0,0.640496076653143,0.9748152823417218,0.029981737012987012,6.009740259740259,3.0162337662337664,2.8587662337662336,,0.7524924302086621,0.14245153258153523,6.273203821925374,10.000760957792208,2.2446407838301226,8.87125676483303,,,1.0,,,0.05507055722409859
6,3.0043950044102483,0.07666631942076681,9.438369579129406,0.027648133116883116,0.2333603896103896,0.1286525974025974,0.013642478052110187,115.18344155844156,57.451298701298704,0.07666631942076681,0.03770460522289134,0.011687795004957468,0.0,4.415291629054329,8443.0,0.6332552286421324,0.9748305301968153,0.027648133116883116,5.970779220779221,2.9987824675324677,2.844155844155844,,0.7591703459560001,0.1283284439917914,6.286668230960895,10.001065340909092,2.244686811775356,8.871071764401027,,,1.0,,,0.054287696567170515
7,2.8783601737254627,0.06703643248924478,9.437025461878095,0.027698863636363636,0.23183847402597402,0.1292106331168831,0.013459133679465263,113.62200689935065,58.17045454545455,0.06703643248924478,0.033767723306021714,0.010579753462255436,0.0,4.434661481287573,8442.0,0.6279808377193941,0.9747930488416127,0.027698863636363636,5.962662337662338,2.9663656655844157,2.792207792207792,,0.7570717046279218,0.11695716414065993,6.299282362708798,10.000507305194805,2.244578499298591,8.867824012582952,,,1.0,,,0.05351049789868585
8,2.794985538566267,0.05985647557127931,9.436186493217171,0.027698863636363636,0.22965706168831168,0.12875405844155843,0.013362091911498187,112.78941761363636,59.478896103896105,0.05985647557127931,0.030498963713044204,0.009619497519499372,0.0,4.45021960565022,8441.0,0.6228384361058087,0.9747721083558999,0.027698863636363636,5.952922077922078,2.963778409090909,2.780844155844156,,0.7589331327683546,0.1064577267732906,6.311255035462318,10.00010146103896,2.244505185198474,8.866266445680099,,,1.0,,,0.05286113549909833
9,2.765218611564729,0.05387910938362119,9.436430550240852,0.027800324675324676,0.229200487012987,0.1296672077922078,0.013101192732357084,110.57406655844156,57.464285714285715,0.05387910938362119,0.027797686706588894,0.008879952937970845,0.0,4.468588359170146,8440.0,0.6187052357603203,0.9747836285016753,0.027800324675324676,5.866883116883117,2.9280641233766236,2.7451298701298703,,0.7600761598290561,0.09799116400279402,6.3226901664362325,10.00010146103896,2.244531690687328,8.865176473345075,,,1.0,,,0.05196775212224766
