channel,b0_mse,f0_mse,c0_mse,c1_mse,c1_gamma_mean,c1_beats_f0,outcome
0,1.4495664834976196,0.7487406469547128,0.7557058334350586,0.7549184560775757,0.9722833633422852,False,B2-D
1,0.3244904577732086,0.21907986877547417,0.24157091975212097,0.23110361397266388,0.665789008140564,False,B2-D
2,1.5371297597885132,0.7716669933015469,0.787041425704956,0.7868210673332214,0.983401358127594,False,B2-D
3,0.27010807394981384,0.1762907889464849,0.19231262803077698,0.19219477474689484,0.6700020432472229,False,B2-D
4,0.7303897142410278,0.5005147195304674,0.5224171280860901,0.5198434591293335,0.6614842414855957,False,B2-D
5,0.15847745537757874,0.1333200386018096,0.1542472243309021,0.1383841633796692,0.4623372256755829,False,B2-D
6,0.056962426751852036,0.062238771934340915,0.08061154186725616,0.060299865901470184,0.2630065381526947,True,B2-B
