epoch,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction
1,0.0,20.287410736083984,1.0,3.328078790332256e-08,0.31533224496619744,False,0.03454205393791199,0.8362643718719482,0.14175572991371155
2,0.0,22.122650146484375,1.0,2.7301524596623494e-08,0.4485004264953894,False,0.037810198962688446,0.8018724918365479,0.12512339651584625
3,0.0,22.759292602539062,1.0,2.8548805985906256e-08,0.5501462636724497,False,0.0414094477891922,0.764527440071106,0.13607101142406464
4,0.0,24.219038009643555,1.0,2.678635624420167e-08,0.6364571233843561,False,0.04240008816123009,0.7517179846763611,0.1152326911687851
5,0.0,24.594711303710938,1.0,2.8426541121007176e-08,0.7143149479106152,False,0.04276400804519653,0.7481836080551147,0.12401421368122101
6,0.0,24.57326889038086,1.0,2.742880589323704e-08,0.7868253186324315,False,0.045348748564720154,0.7192993760108948,0.12371964007616043
7,0.0,24.76207733154297,1.0,2.678635624420167e-08,0.8534691755943564,False,0.050794508308172226,0.6493057012557983,0.11546255648136139
8,0.0,25.607379913330078,1.0,2.8426541121007176e-08,0.9179325639995496,False,0.05014604702591896,0.6559951305389404,0.11614371091127396
9,0.0,26.177148818969727,1.0,3.200027265393146e-08,0.9788535656079738,False,0.04801478609442711,0.6845235824584961,0.1126629114151001
10,0.0,26.01190948486328,1.0,3.189124342384275e-08,1.0362629130708627,False,0.04987994208931923,0.6609700322151184,0.12263843417167664
