epoch,encoder_grad_norm,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction,score_layer_grad_norm,test_free_running_aggregate_future_mse,train_choice_ce,train_expert_containment_at_1,train_expert_containment_at_10,train_expert_containment_at_5,train_expert_rank_fraction,train_expert_rank_mean,train_expert_rank_median,train_expert_regret_mean,train_n_valid_mean,train_ndcg_at_10,train_oracle_action_acc,train_selected_individual_future_mse,train_spearman,train_train_prefix_aggregate_future_mse,val_expert_containment_at_10,val_expert_rank_median,val_expert_regret_mean,val_free_running_aggregate_future_mse,val_ndcg_at_10,val_oracle_action_acc,val_selected_individual_future_mse,val_spearman,val_val_choice_ce
1,0.8564212708092567,0.0,20.287410736083984,1.0,3.328078790332256e-08,0.31533224496619744,False,0.03454205393791199,0.8362643718719482,0.14175572991371155,0.3066117451898611,0.21514694162690928,9.77318766060973,0.0006729079310755536,0.006748972475088246,0.003501197049841913,0.24316453824935857,8830.247279565758,6628.654710009549,0.6619159439406425,36313.999128160416,0.9640171305300929,0.0006729079310755536,0.8638609663409385,0.41217670861286165,0.5452869816099523,0.06545630128400456,6829.158318636097,0.6550617279258099,0.5419232713450156,0.9666068121195188,0.027899948559670783,0.7657024223258955,0.43715393594906315,9.670540727999965
2,0.8664793141380608,0.0,22.122650146484375,1.0,2.7301524596623494e-08,0.4485004264953894,False,0.037810198962688446,0.8018724918365479,0.12512339651584625,0.30896778299157596,,9.650965215854262,0.0009574666832731349,0.008314045612638923,0.004376063852024963,0.22927562906050908,8325.883065978216,6105.452277161955,0.6039778047214654,36313.999802473845,0.9646712121499472,0.0009574666832731349,0.805931988312106,0.4109475606559051,0.542175866772537,0.05539748038481187,6570.051822457378,0.6522148298336357,0.540595983549984,0.9667383644070643,0.020049028065403828,0.7628541697565842,0.43794430682834945,9.611796321776389
3,0.8438661484999631,0.0,22.759292602539062,1.0,2.8548805985906256e-08,0.5501462636724497,False,0.0414094477891922,0.764527440071106,0.13607101142406464,0.3122204422718856,,9.61178580220097,0.001074663373102023,0.009547421846272922,0.005144545467486985,0.22411266615228495,8138.388444090996,5924.546809482294,0.6086042880565146,36313.999128160416,0.9642556925839859,0.001074663373102023,0.8105970230736058,0.4107071296384352,0.5425442425438017,0.04336595480986759,6503.95743680188,0.7065522955780799,0.5554757054068584,0.965705861358836,0.02281322687424102,0.8172018162059203,0.4207019535640189,9.589077880353104
4,0.8320981158446998,0.0,24.219038009643555,1.0,2.678635624420167e-08,0.6364571233843561,False,0.04240008816123009,0.7517179846763611,0.1152326911687851,0.3120227819665375,,9.585160527316612,0.0013090567526051397,0.010283036492868571,0.005699824248262898,0.22072739837514954,8015.450618045636,5803.6078382529995,0.6049297555148077,36313.999128160416,0.9639267261582491,0.0013090567526051397,0.8068735095757208,0.4100375777147862,0.5442262965248611,0.015878607214005254,6454.14012345679,0.6864982259728191,0.5497808810614705,0.9651982312094528,0.0022203611047924227,0.7971507899555415,0.42987274327644087,9.572878502019359
5,0.8167747294398892,0.0,24.594711303710938,1.0,2.8426541121007176e-08,0.7143149479106152,False,0.04276400804519653,0.7481836080551147,0.12401421368122101,0.30886113051353425,0.2255949890075181,9.56610606957646,0.0013933864740316353,0.011052815488350912,0.006130554517702845,0.21806540779569755,7918.781002783165,5702.8221032092,0.6126511755049237,36314.00054489974,0.9636420990133283,0.0013933864740316353,0.814605818063565,0.40924111192120505,0.5419275368141578,0.016007008345831603,6287.84203409759,0.6727333418312297,0.5360774788545363,0.9660379579248042,0.002185654857780112,0.7833791581520192,0.43976331888871084,9.544825763214623
6,0.8100234512087526,0.0,24.57326889038086,1.0,2.742880589323704e-08,0.7868253186324315,False,0.045348748564720154,0.7192993760108948,0.12371964007616043,0.31149398634685294,,9.551715282117582,0.0014141445593058497,0.011317913535913238,0.006159529345116322,0.21561102152349246,7829.65279444523,5583.642960933284,0.60913992080867,36313.999128160416,0.9637781642672777,0.0014141445593058497,0.8110794812138,0.4083051853892147,0.5403514950819115,0.04197910276637453,6378.019576719577,0.64393318194093,0.5323880022282519,0.9665740606847544,0.0100117338267207,0.7545801237876423,0.4390560338854758,9.54844720638338
7,0.800855830092826,0.0,24.76207733154297,1.0,2.678635624420167e-08,0.8534691755943564,False,0.050794508308172226,0.6493057012557983,0.11546255648136139,0.3141528174654976,,9.538489089806182,0.001460417791166059,0.011634474336499665,0.006509389574266576,0.21434800705738735,7783.7860595054435,5554.485157969029,0.6127340068161888,36313.999128160416,0.9639573722425728,0.001460417791166059,0.8146757545539552,0.4048003653728348,0.5390406360565548,0.01728714567131151,6295.775778953557,0.655563242887494,0.5241529101989314,0.9662795228284644,0.002421649349749369,0.7662103090381206,0.43195883435759796,9.536774043641604
8,0.7927328342659293,0.0,25.607379913330078,1.0,2.8426541121007176e-08,0.9179325639995496,False,0.05014604702591896,0.6559951305389404,0.11614371091127396,0.31288579014192575,,9.528173473261706,0.0015970751857848633,0.012167265191664953,0.006716537966692626,0.21302977768784642,7735.916482651512,5490.875409972185,0.6035367105162907,36313.999128160416,0.9640931603461832,0.0015970751857848633,0.8054758646883572,0.40429049633428493,0.5349508030609643,0.019360374652291658,6284.313962375074,0.658738782745788,0.5248684505866292,0.9665050408871366,0.002165406218991078,0.7693862959573183,0.41304680731393323,9.549586307603006
9,0.7861780388261703,0.0,26.177148818969727,1.0,3.200027265393146e-08,0.9788535656079738,False,0.04801478609442711,0.6845235824584961,0.1126629114151001,0.31433638167648215,,9.518518045453684,0.0015750197201810105,0.012189320657268805,0.006730809150163989,0.2120865738780196,7701.664157700349,5481.175239755885,0.6063718002052673,36313.999128160416,0.9640652268287347,0.0015750197201810105,0.8083204276610327,0.4025814680533078,0.5348712478986072,0.02063128626481058,6243.6925925925925,0.6064511490552948,0.5074038672211391,0.967383921600173,0.00237907528831267,0.7171459993303344,0.42223423607834654,9.524497741996926
10,0.7782864336069376,0.0,26.01190948486328,1.0,3.189124342384275e-08,1.0362629130708627,False,0.04987994208931923,0.6609700322151184,0.12263843417167664,0.31807664272968095,0.21386821088897084,9.510098030802054,0.001571560039353528,0.012237756189626858,0.006748540014926813,0.21035859360643294,7638.914167663825,5392.793872213227,0.6034108758459248,36313.999128160416,0.9643893144805469,0.001571560039353528,0.8053606246902716,0.40155107894208164,0.5324025105613197,0.01700470311636174,6226.472045855379,0.6378041218270128,0.5213696643501295,0.9665667393579334,0.0022909318048206936,0.7484486928466368,0.4137361265113815,9.528734250113517
