epoch,rep_dead_dim_ratio,rep_effective_rank,rep_embed_norm_mean,rep_embed_norm_std,rep_encoder_param_displacement,rep_has_nan,rep_mean_dim_std,rep_mean_pairwise_cosine,rep_sv1_fraction
1,0.0,15.227225303649902,1.0,2.6128113006507192e-08,0.33539021158001653,False,0.028534386307001114,0.8822999596595764,0.22127492725849152
2,0.0,17.48084831237793,1.0,2.2550514344743533e-08,0.4597533344738513,False,0.03349553793668747,0.8414545059204102,0.17596697807312012
3,0.0,17.9991512298584,1.0,2.5860126484644752e-08,0.5524082807723062,False,0.03429156914353371,0.8357626795768738,0.1658550500869751
4,0.0,18.727243423461914,1.0,2.4189933611751258e-08,0.6323631162162157,False,0.035161569714546204,0.8277229070663452,0.15240871906280518
5,0.0,19.392112731933594,1.0,2.8303746901769955e-08,0.7041269742624091,False,0.036238521337509155,0.8175472021102905,0.14436019957065582
6,0.0,19.830364227294922,1.0,3.1005203737777265e-08,0.7697075059219057,False,0.0370364673435688,0.8098967671394348,0.14463618397712708
7,0.0,19.596782684326172,1.0,2.717364822046875e-08,0.8312559599978215,False,0.03691805899143219,0.8106493949890137,0.1478191465139389
8,0.0,19.99327278137207,1.0,2.5860126484644752e-08,0.8902293775183566,False,0.03793592005968094,0.800743579864502,0.1464294046163559
9,0.0,20.10508155822754,1.0,3.232515766171673e-08,0.9452628134992094,False,0.038789939135313034,0.7912997603416443,0.14455056190490723
10,0.0,20.325021743774414,1.0,2.2239458274952995e-08,0.9987257071428353,False,0.03929009661078453,0.7855257987976074,0.14340586960315704
