query_id,anchor_policy,channel,i1,i2_dense,i2_oracle,A1,A2_dense,A2_oracle,delta_dense,delta_oracle,continuation_regret,dense_second_true_rank,dense_second_true_rank_fraction,oracle_second_predicted_rank,oracle_second_predicted_rank_fraction,n_remaining_valid,first_candidate_future_mse,dense_second_candidate_future_mse,oracle_second_candidate_future_mse,alpha1_dense,alpha2_dense,alpha1_oracle,alpha2_oracle,b0_score_i1,b0_score_i2_dense,b0_score_i2_oracle,spearman_all,spearman_true_top10pct,spearman_true_top5pct,spearman_true_top1pct,spearman_true_top50,spearman_true_top10,ratio_dense
0_0,dense_first,0,1416,2066,4500,0.17363381385803223,0.1463993638753891,0.07389619946479797,-0.027234449982643127,-0.09973761439323425,0.07250316441059113,530,0.06420351302241066,4378,0.5303452453058752,8256,0.17363381385803223,0.10779720544815063,0.2341735064983368,0.9007173776626587,0.0992826521396637,0.6274758577346802,0.3725241720676422,0.7251690626144409,0.5046470165252686,0.6730287671089172,-0.04999879002571106,-0.07754795998334885,-0.16847915947437286,-0.034751467406749725,-0.1146218478679657,0.3818182051181793,0.8431500792503357
1_0,dense_first,0,3697,5174,2737,1.1240558624267578,1.1074304580688477,0.09401838481426239,-0.016625404357910156,-1.030037522315979,1.0134121179580688,6132,0.7429125272595105,5980,0.7244972134722559,8255,1.1240558624267578,1.8581889867782593,0.32283610105514526,0.9099953174591064,0.09000468999147415,0.3165540099143982,0.6834459900856018,0.6488808989524841,0.4175231456756592,0.7258462905883789,-0.05448932200670242,-0.1189918965101242,-0.09432513266801834,0.08636169880628586,-0.10703481733798981,0.09090910106897354,0.9852094650268555
2_0,dense_first,0,4514,2570,3787,0.1489562690258026,0.1283782720565796,0.06872829049825668,-0.020577996969223022,-0.08022797852754593,0.059649981558322906,488,0.05913001332848661,6759,0.8189749182115594,8254,0.1489562690258026,0.2566227614879608,0.1881394386291504,0.858078122138977,0.14192187786102295,0.4790182411670685,0.5209817290306091,0.7977938055992126,0.617851972579956,0.8061914443969727,0.15560363233089447,-0.2242772877216339,-0.06042647734284401,-0.04624459519982338,-0.2091236561536789,-0.06666667014360428,0.8618521094322205
3_0,dense_first,0,4107,1052,4224,0.24511763453483582,0.23429469764232635,0.12885752320289612,-0.01082293689250946,-0.1162601113319397,0.10543717443943024,1476,0.17886572952011634,5955,0.7216432380029084,8253,0.24511763453483582,0.5648783445358276,0.1155012771487236,0.9653668403625488,0.034633152186870575,0.5774405598640442,0.4225594103336334,0.8123416900634766,0.47957199811935425,0.7811141610145569,0.13718323409557343,-0.13516490161418915,-0.14182400703430176,-0.035556860268116,-0.11625450104475021,-0.17575758695602417,0.9558459520339966
4_0,dense_first,0,4516,727,3789,0.20925140380859375,0.17934656143188477,0.0711311399936676,-0.029904842376708984,-0.13812026381492615,0.10821542143821716,632,0.07659677614834566,5367,0.6504666101078657,8252,0.20925140380859375,0.24174043536186218,0.2714311480522156,0.918475329875946,0.08152469247579575,0.6073609590530396,0.39263904094696045,0.8137646913528442,0.5715837478637695,0.7701414227485657,0.16119696199893951,-0.04733004420995712,-0.19743499159812927,-0.07641404867172241,0.04547419026494026,0.1878788024187088,0.8570865392684937
5_0,dense_first,0,4164,727,3797,0.12593773007392883,0.12405930459499359,0.059368859976530075,-0.0018784254789352417,-0.06656886637210846,0.06469044089317322,3207,0.38872727272727275,2901,0.35163636363636364,8251,0.12593773007392883,0.2839806079864502,0.1162247285246849,0.7636748552322388,0.23632512986660004,0.5634502172470093,0.4365497827529907,0.7487449049949646,0.6314515471458435,0.7232272624969482,0.04162570461630821,-0.045959364622831345,-0.05223236605525017,0.011699914932250977,0.08696278184652328,-0.04242424666881561,0.9850844740867615
6_0,dense_first,0,3703,727,1470,0.9436495304107666,0.532124400138855,0.1748543232679367,-0.4115251302719116,-0.7687951922416687,0.3572700619697571,176,0.021335919505394593,256,0.03103406473511941,8250,0.9436495304107666,0.19821929931640625,0.42086195945739746,0.6462738513946533,0.3537261486053467,0.5738468170166016,0.42615318298339844,0.7567263841629028,0.6964563131332397,0.7269700169563293,0.1280631572008133,-0.02997484616935253,-0.14200417697429657,0.1299833357334137,0.060936372727155685,0.5272727608680725,0.5639004707336426
7_0,dense_first,0,4519,2066,3795,0.1792018860578537,0.16916553676128387,0.06970752775669098,-0.010036349296569824,-0.10949435830116272,0.0994580090045929,1087,0.13178952473326866,3796,0.46023278370514065,8249,0.1792018860578537,0.12468522787094116,0.1781197190284729,0.9659069180488586,0.03409312292933464,0.5839062929153442,0.41609370708465576,0.8774281740188599,0.5430309772491455,0.8435451984405518,0.16453592479228973,-0.18845054507255554,-0.2015015035867691,-0.04615752771496773,-0.17752701044082642,0.23636366426944733,0.9439941644668579
8_0,dense_first,0,1222,1294,2888,0.7940396070480347,0.6943086385726929,0.2699577808380127,-0.0997309684753418,-0.524081826210022,0.4243508577346802,846,0.10258275736631503,980,0.11883109009336729,8248,0.7940396070480347,0.5603212118148804,0.27855542302131653,0.9471406936645508,0.0528593435883522,0.5138813257217407,0.4861186444759369,0.8016016483306885,0.5130202770233154,0.7960476279258728,0.35186320543289185,0.11385703086853027,0.039525434374809265,0.14676591753959656,0.037791118025779724,0.12727274000644684,0.8744004964828491
9_0,dense_first,0,263,718,2914,0.2593677043914795,0.23211312294006348,0.08545758575201035,-0.027254581451416016,-0.17391011118888855,0.14665552973747253,1173,0.142250788260975,5036,0.6107203492602474,8247,0.2593677043914795,0.246466726064682,0.14722637832164764,0.7964704036712646,0.20352961122989655,0.579106330871582,0.4208936095237732,0.7274200320243835,0.59098219871521,0.6955094337463379,0.2041517198085785,0.09386157989501953,0.10563840717077255,-0.04448144510388374,0.001968787517398596,-0.5515152215957642,0.8949191570281982
