epoch,drift_l2_mean,cosine_to_b0_mean,anchor_loss,encoder_grad_norm_r2,encoder_grad_norm_anchor,encoder_grad_norm_total,embedding_pairwise_cosine_mean,embedding_pairwise_cosine_std,embedding_variance,embedding_dimension_std_mean,embedding_effective_rank,embedding_effective_rank_ratio,embedding_dead_dimension_fraction
1,0.07043257355690002,0.9974104166030884,0.006125393529216964,0.24109956277246916,0.029770228347201822,0.24454024289419635,0.49968019127845764,0.20051322877407074,0.003893480869010091,0.06133043020963669,15.703842163085938,0.12268626689910889,0.0
2,0.06633641570806503,0.9977169036865234,0.005842700407102511,0.30578933822906873,0.02994951446070587,0.30566808934514245,0.48696616291999817,0.20239536464214325,0.0039924210868775845,0.06216326728463173,16.056209564208984,0.1254391372203827,0.0
3,0.06913173198699951,0.9975025057792664,0.005865550079903045,0.1901043054562136,0.031839679264960195,0.19235286213915168,0.48692962527275085,0.20527797937393188,0.0039927056059241295,0.06216701865196228,16.122385025024414,0.12595613300800323,0.0
4,0.07120947539806366,0.9973220825195312,0.006121221010561113,0.18405838881656475,0.025637609250130033,0.1866810893846782,0.4858328402042389,0.20443901419639587,0.004001240245997906,0.06222967803478241,16.111833572387695,0.12587369978427887,0.0
5,0.08070223033428192,0.9965085983276367,0.007628023721180953,0.14273216642105527,0.03697656808650528,0.14810528247501967,0.4966185688972473,0.19487601518630981,0.00391730573028326,0.06160628795623779,16.559843063354492,0.12937377393245697,0.0
6,0.06815195083618164,0.9975754618644714,0.005865321337402641,0.23678301194632412,0.028268003043031065,0.23711621912285868,0.48022884130477905,0.204279363155365,0.0040448508225381374,0.06258218735456467,16.231788635253906,0.12681084871292114,0.0
