epoch,train_loss,val_base_mae,val_base_mse,val_final_mae,val_final_mse,val_gate_max,val_gate_mean,val_gate_min,val_gate_saturation_rate,val_gate_std,val_ret_mae,val_ret_mse
1,0.42065684131856235,0.5724047961434391,0.7318882895808266,0.5657319248685717,0.7169943011723248,0.5854194164276123,0.12756063044071198,3.645409546737887e-22,0.3260323107242584,0.13088563084602356,1.1175808701340313,2.4817525262433953
2,0.365826840558142,0.5609832567507012,0.7176532405537908,0.5573948990374312,0.7062384499253662,0.5361170768737793,0.09200045466423035,1.1820687220360383e-24,0.40451398491859436,0.10853362083435059,1.1175808701340313,2.4817525262433953
3,0.35869323864298047,0.5593317382445934,0.7158311875343242,0.5564800529548467,0.7053751132218585,0.7623857855796814,0.07846871018409729,1.1141586695858593e-25,0.46971017122268677,0.10644146800041199,1.1175808701340313,2.4817525262433953
4,0.3553778425140201,0.5561831717675819,0.7092352572716107,0.552749754553566,0.6979345822748062,0.6963421702384949,0.0719102993607521,5.715432227496733e-26,0.4879712760448456,0.09889522939920425,1.1175808701340313,2.4817525262433953
5,0.35537103965597333,0.5563063761184508,0.7118481299892861,0.552865157396842,0.6987201505841848,0.8481512069702148,0.07939377427101135,5.426101158620999e-27,0.46345216035842896,0.109902024269104,1.1175808701340313,2.4817525262433953
6,0.3528994688447916,0.5541687542325953,0.7042113668339532,0.5509639991270412,0.6903840205644333,0.9371458292007446,0.09541460871696472,9.221908782294024e-27,0.442010760307312,0.1335996687412262,1.1175808701340313,2.4817525262433953
7,0.35034393111489853,0.5541102022332616,0.7069948232937259,0.5510175100155159,0.6934832654223948,0.942341148853302,0.08518772572278976,1.1222548476637556e-25,0.4619133174419403,0.12172924727201462,1.1175808701340313,2.4817525262433953
8,0.35098393834986774,0.5510660278478158,0.6963557354474644,0.5494903685772042,0.6842973410701042,0.9241698980331421,0.0987420603632927,7.289264583897468e-26,0.435342401266098,0.14211174845695496,1.1175808701340313,2.4817525262433953
9,0.3502959033790624,0.5532849630209241,0.7079987104503458,0.5504324956807335,0.6944816904230241,0.9097723960876465,0.08372838795185089,1.042320730777165e-24,0.4642215967178345,0.12127777934074402,1.1175808701340313,2.4817525262433953
10,0.349740805940808,0.5512736914941997,0.7004667883318001,0.5484870125169763,0.6886806283229904,0.7958604693412781,0.07098296284675598,8.794749908210338e-25,0.49935880303382874,0.10488254576921463,1.1175808701340313,2.4817525262433953
