epoch,train_loss,val_base_mae,val_base_mse,val_final_mae,val_final_mse,val_gate_max,val_gate_mean,val_gate_min,val_gate_saturation_rate,val_gate_std,val_ret_mae,val_ret_mse
1,0.42069087320903564,0.5725108913308465,0.7323044361350292,0.5658222867371008,0.7173830647259438,0.538028359413147,0.1273563802242279,1.5688163912374198e-22,0.32772505283355713,0.1310751885175705,1.118175222633781,2.4869894805683828
2,0.3658540371453987,0.5610727861823002,0.7178690831498366,0.5574425157180268,0.7063531329186031,0.5067452192306519,0.09417229890823364,6.40630884293976e-25,0.40133368968963623,0.11053748428821564,1.118175222633781,2.4869894805683828
3,0.35864386041209384,0.559351067397496,0.7160775052631799,0.5563813440349455,0.7054177261493425,0.7258157134056091,0.07921746373176575,1.2995263144303406e-25,0.4669915437698364,0.10583418607711792,1.118175222633781,2.4869894805683828
4,0.35545001356106887,0.5562018865803995,0.709791972305547,0.5528697745926596,0.6989910000826116,0.7105416059494019,0.07183372229337692,1.05494815670953e-26,0.49433186650276184,0.09970209747552872,1.118175222633781,2.4869894805683828
5,0.35514188161436117,0.55626072323892,0.711796131836835,0.5526264076366622,0.6984349410839852,0.8178693056106567,0.08053469657897949,4.513972108793053e-26,0.46273404359817505,0.10954459756612778,1.118175222633781,2.4869894805683828
6,0.35286317096566255,0.5536935599673515,0.7037526015961406,0.5504171039952757,0.6899440913768246,0.9302368760108948,0.09282183647155762,1.7137092586248775e-26,0.44934597611427307,0.13045114278793335,1.118175222633781,2.4869894805683828
7,0.3504038843906151,0.5538660676415949,0.7070293014290252,0.5508622494886969,0.6940264837593261,0.8977001309394836,0.0830078199505806,1.5696520099006455e-25,0.47350603342056274,0.12049447745084763,1.118175222633781,2.4869894805683828
8,0.3509017324672555,0.5507303405380803,0.6961151268336063,0.549046594868096,0.6841559163054677,0.839662492275238,0.09533248841762543,1.4440516411682564e-26,0.44837138056755066,0.13728608191013336,1.118175222633781,2.4869894805683828
9,0.3502728193998337,0.5533366903582424,0.70761555021641,0.5504796783526841,0.6942044252573532,0.8763432502746582,0.08789866417646408,5.225745464726109e-25,0.4558604657649994,0.1254071295261383,1.118175222633781,2.4869894805683828
10,0.3496733859462558,0.5513960079503913,0.7009627136520069,0.5487297498375735,0.6897655640013699,0.7161751389503479,0.0708933174610138,3.55204313283512e-26,0.5107976198196411,0.10628610849380493,1.118175222633781,2.4869894805683828
