arm,A_uniform,A_weighted,I,I_weighted,V_uniform,V_weighted,base_mae,base_mse,lambda_mean,lambda_std,n_query_units,overlap_R0,overlap_R1,overlap_R2-U,overlap_R2-W,overlap_R3,queries_dropped_below_k,residual_uniform_max,residual_weighted_max,ret_mae,ret_mse,retrieval_gain,retrieval_gain_pct,stage2_mae,stage2_mse
R0,0.4068984318529854,0.40678636266234386,0.6766668014673582,0.6757200672060717,0.26976836235576557,0.2689337006585912,0.5184529401037727,0.6474026688064297,0.5148769723662783,0.027471568442245006,19495,1.0,0.1364914114986147,0.11673763181482043,0.07819441280194692,0.10628366789647511,0,6.407499313354492e-07,6.109476089477539e-07,0.423731305874993,0.4067863511480694,0.2727107465068448,42.12382179542482,0.39966766477762417,0.3746919222995849
R1,0.18861336181198002,0.1902171770659631,0.31556146585120487,0.3145151611844856,0.12694809887765793,0.1242979808667401,0.5184529401037727,0.6474026688064297,0.5159153468671839,0.03363601731743952,19495,0.1364914114986147,1.0,0.5177994498184749,0.49510133266448975,0.19081815225737436,0,4.3213367462158203e-07,5.066394805908203e-07,0.29212362852485463,0.19021716806392666,0.39292271452560745,60.692167866717504,0.3310529736583025,0.25447995428082226
R2-U,0.15718110851624253,0.15966636345265078,0.38668991206889813,0.38093743297938093,0.2295087982462129,0.22127106604413552,0.5184529401037727,0.6474026688064297,0.5138267590468222,0.03620742748618762,19495,0.11673763181482043,0.5177994498184749,1.0,0.8464118582861764,0.3920390180179051,0,4.3213367462158203e-07,5.960464477539062e-07,0.2601274106913656,0.15966635794377462,0.4082782896520786,63.06404179716964,0.3164510898715647,0.2391243791543511
R2-W,0.1608740497895302,0.15712866666887404,0.40220947769790827,0.3866782953684171,0.24133542218659035,0.22954962495606937,0.5184529401037727,0.6474026688064297,0.5136909571082875,0.036486028062196925,19495,0.07819441280194692,0.49510133266448975,0.8464118582861764,1.0,0.3904950107846941,0,4.3213367462158203e-07,4.76837158203125e-07,0.25878493741219644,0.1571286617124795,0.4098594144866987,63.3082676724715,0.31589509575573044,0.23754325431973097
R3,0.20538251040012281,0.20751161355879727,0.4353407995595718,0.4324786218816224,0.22995828341350635,0.22496700485579232,0.5184529401037727,0.6474026688064297,0.5154772978863614,0.03114296658742714,19495,0.10628366789647511,0.19081815225737436,0.3920390180179051,0.3904950107846941,1.0,0,5.21540641784668e-07,4.6193599700927734e-07,0.3027221937082543,0.2075116063933541,0.3769596994580535,58.2264667139892,0.3391095867582577,0.2704429693483762
