baseline,delta_A_uniform_mean,delta_A_uniform_median,delta_A_weighted_mean,delta_A_weighted_median,delta_stage2_mse_mean,delta_stage2_mse_median,frac_variant_better_A_uniform,frac_variant_better_A_weighted,frac_variant_better_stage2_mse,n_A_uniform,n_A_weighted,n_stage2_mse,overlap,variant
R1,-0.035217430099336144,-0.02898693084716797,-0.033175570064079556,-0.02743348479270935,-0.01571626975711768,-0.014581441879272461,0.99735572155748,0.985588682488266,0.9592781119851921,15127,15127,2161,0.5662986891610282,R2-U
R1,-0.03229051589671038,-0.02663135528564453,-0.03654697266983393,-0.02985309064388275,-0.017309333524015532,-0.0160808265209198,0.988365174852912,0.997818470284921,0.9754743174456271,15127,15127,2161,0.5514642681394305,R2-W
R0,-0.272228810990022,-0.1967698335647583,-0.27054451881323177,-0.1958913803100586,-0.13544031118475028,-0.11877977848052979,0.993984266543267,0.993521517815826,0.9916705229060621,15127,15127,2161,0.08178092432873589,R1
R0,-0.3045193268867324,-0.23364146053791046,-0.3070914914830657,-0.23523128032684326,-0.1527496447087658,-0.13585805892944336,1.0,1.0,0.998149005090236,15127,15127,2161,0.03841475583612919,R2-W
R2-U,0.002926914202625764,0.000590592622756958,-0.003371402605754366,-0.00033049285411834717,-0.0015930637668978556,-0.0008355081081390381,0.15469028888741984,0.6095722879619224,0.6186950485886163,15127,15127,2161,0.8380379251071385,R2-W
