baseline,delta_A_uniform_mean,delta_A_uniform_median,delta_A_weighted_mean,delta_A_weighted_median,delta_stage2_mse_mean,delta_stage2_mse_median,frac_variant_better_A_uniform,frac_variant_better_A_weighted,frac_variant_better_stage2_mse,n_A_uniform,n_A_weighted,n_stage2_mse,overlap,variant
R1,-0.03143225329573748,-0.023503653705120087,-0.030550813613312328,-0.022691354155540466,-0.015355575999622928,-0.014961183071136475,0.9962554501154142,0.9902539112592973,0.9508078994614003,19495,19495,2785,0.5177994498184749,R2-U
R1,-0.027739312022449805,-0.021195806562900543,-0.03308851039708908,-0.024323873221874237,-0.016936699842743215,-0.016146719455718994,0.9716850474480636,0.9981533726596563,0.963016157989228,19495,19495,2785,0.49510133266448975,R2-W
R0,-0.2182850700410054,-0.1131860613822937,-0.21656918559638078,-0.11254675686359406,-0.12021196697515903,-0.11009630560874939,0.9872274942292896,0.9869710182097974,0.9989228007181329,19495,19495,2785,0.1364914114986147,R1
R0,-0.24602438206345517,-0.14217014610767365,-0.24965769599346985,-0.1445878897793591,-0.13714866681790225,-0.12692880630493164,0.9994870479610156,1.0,0.9992818671454219,19495,19495,2785,0.07819441280194692,R2-W
R2-U,0.00369294127328768,0.0001483820378780365,-0.0025376967837767465,-2.4415552616119385e-05,-0.0015811238431202874,-0.0009440481662750244,0.18014875609130546,0.5330597589125416,0.6434470377019749,19495,19495,2785,0.8464118582861764,R2-W
