epoch,train_loss,val_base_mae,val_base_mse,val_final_mae,val_final_mse,val_gate_max,val_gate_mean,val_gate_min,val_gate_saturation_rate,val_gate_std,val_ret_mae,val_ret_mse
1,0.5995224562630189,0.8781119227863808,1.5599126541692374,0.8781780864146522,1.558116396196233,0.995003879070282,0.07426062971353531,3.974938247429861e-29,0.5579427480697632,0.13742999732494354,1.424431669503757,3.9700163327806055
2,0.5528638304862301,0.8593357787600859,1.5160972759915126,0.8654965261136268,1.5345641544242543,0.9948700666427612,0.107813261449337,3.3838650752641954e-27,0.5116679072380066,0.18057502806186676,1.424431669503757,3.9700163327806055
3,0.5456273046742498,0.8698906312836043,1.5562308263989886,0.8716698747479672,1.5544357476777635,0.9915933609008789,0.11419537663459778,2.459825169473085e-28,0.4250677525997162,0.16382108628749847,1.424431669503757,3.9700163327806055
4,0.5439135623452938,0.938295230302421,1.722417992363728,0.9359439873193994,1.7146828918799994,0.9820913672447205,0.0903705582022667,2.0608826914369354e-20,0.505652129650116,0.1481337696313858,1.424431669503757,3.9700163327806055
5,0.5448783647961322,0.8583285966002888,1.503025723354763,0.8574977434256856,1.4977681146558675,0.9992541670799255,0.10546208173036575,1.7471843184559225e-24,0.49996694922447205,0.17608937621116638,1.424431669503757,3.9700163327806055
6,0.5353412533228377,0.8717496711436917,1.552537531050761,0.870856118930899,1.5488067485509263,0.9957646131515503,0.09958180785179138,3.2707261758512354e-24,0.4981820583343506,0.16007022559642792,1.424431669503757,3.9700163327806055
7,0.5404335115335684,0.8715497044008873,1.5216621127750325,0.8711362726427818,1.5197305665045209,0.9992056488990784,0.03388219699263573,1.0503309476682957e-25,0.8195279836654663,0.11350063234567642,1.424431669503757,3.9700163327806055
8,0.5377048871158498,0.8625308136911878,1.5367782964764072,0.8618989520812904,1.5326483860260902,0.9978127479553223,0.12197737395763397,1.3718842713338326e-22,0.4660540819168091,0.18787646293640137,1.424431669503757,3.9700163327806055
9,0.5317863899785861,0.8696589581617536,1.5243069758222971,0.8678939306349758,1.5196005690592795,0.9984851479530334,0.14417017996311188,4.6539359073689824e-20,0.3844780921936035,0.20317678153514862,1.424431669503757,3.9700163327806055
10,0.5363171022813932,0.8505696324074227,1.4909953668316587,0.8495253629943561,1.4857474654407499,0.999785840511322,0.06210369989275932,7.262487785153485e-24,0.6670853495597839,0.1491050124168396,1.424431669503757,3.9700163327806055
