epoch,train_loss,val_base_mae,val_base_mse,val_final_mae,val_final_mse,val_gate_max,val_gate_mean,val_gate_min,val_gate_saturation_rate,val_gate_std,val_ret_mae,val_ret_mse
1,0.6018957615689894,0.8839079108513199,1.5713136209204202,0.8873124803171114,1.5778727132844692,0.9998866319656372,0.14055733382701874,1.1434708710263115e-21,0.4143584370613098,0.19618001580238342,1.4898787072118105,4.338119559087228
2,0.5518743899543729,0.8592960084220957,1.508647259625449,0.8616566312627164,1.5100152906778168,0.9972423315048218,0.14715179800987244,4.164009005618465e-17,0.3323197066783905,0.18045830726623535,1.4898787072118105,4.338119559087228
3,0.5435367036709743,0.8679624316062661,1.5468169749305418,0.8708656644862847,1.5453070958133177,0.9998483657836914,0.1417686492204666,3.939471294209067e-14,0.369802325963974,0.20259124040603638,1.4898787072118105,4.338119559087228
4,0.5422753124637941,0.9219510886387613,1.6793939982913186,0.9236377891720471,1.6785285716638478,0.999988317489624,0.09159266948699951,8.709710578732174e-18,0.583922803401947,0.1768982708454132,1.4898787072118105,4.338119559087228
5,0.5434995462409163,0.8594159241253911,1.5011838762539664,0.860698823815423,1.49997327244492,0.9998099207878113,0.11753405630588531,3.887683541594755e-25,0.4662523865699768,0.18512681126594543,1.4898787072118105,4.338119559087228
6,0.5375654162031359,0.8714206749606801,1.5494220389475588,0.8731915187666874,1.5470300005956512,0.9954273700714111,0.11622421443462372,5.16633746145893e-19,0.456402450799942,0.18865279853343964,1.4898787072118105,4.338119559087228
7,0.5349656123239382,0.8767492758361153,1.531153644226567,0.8761371681281355,1.522673665482939,0.9977940320968628,0.15299157798290253,1.1211297484175255e-17,0.34831756353378296,0.1982758492231369,1.4898787072118105,4.338119559087228
8,0.5360785644930021,0.8695879925255522,1.5495141518534281,0.8700099254408737,1.5466321064122375,0.9999587535858154,0.12400698661804199,6.1585637229962536e-24,0.41918423771858215,0.18637433648109436,1.4898787072118105,4.338119559087228
9,0.531196074543801,0.8713297538594529,1.5284816332826514,0.8690474002691563,1.5186623523266896,0.9940727353096008,0.14289681613445282,3.1915329293983676e-19,0.3711905777454376,0.19590704143047333,1.4898787072118105,4.338119559087228
10,0.5304346067451797,0.8513737042289633,1.487404671409382,0.8633663691681265,1.5070874373303713,0.9997947812080383,0.17349514365196228,1.8219097277942255e-20,0.34045085310935974,0.22477023303508759,1.4898787072118105,4.338119559087228
