epoch,train_loss,val_base_mae,val_base_mse,val_final_mae,val_final_mse,val_gate_max,val_gate_mean,val_gate_min,val_gate_saturation_rate,val_gate_std,val_ret_mae,val_ret_mse
1,0.6144233601810658,0.875078804719578,1.5551703060499806,0.8747996362280837,1.5538484602070526,0.7232049107551575,0.06350246071815491,1.8355987136563125e-33,0.5692470669746399,0.1048058420419693,1.4773371895153442,4.263768229338821
2,0.566009246801908,0.8578963717722358,1.5136488738518505,0.858794818884142,1.5192018370619496,0.9197111129760742,0.08203455805778503,2.3344220086165616e-35,0.5440602898597717,0.14009930193424225,1.4773371895153442,4.263768229338821
3,0.560000861244919,0.8648335455986537,1.5415720977035636,0.8635850396762274,1.53618075224098,0.960370659828186,0.05793813616037369,3.609642677111253e-35,0.5701725482940674,0.09934651851654053,1.4773371895153442,4.263768229338821
4,0.5579441276799261,0.9352097861657871,1.71709491438919,0.9340374872376839,1.7131589176913247,0.9037623405456543,0.05345134809613228,2.9094302518767422e-33,0.6423613429069519,0.1050901785492897,1.4773371895153442,4.263768229338821
5,0.559473057104423,0.8558507013305863,1.5008228602289964,0.853710508909405,1.493439937120344,0.7995801568031311,0.048910412937402725,6.832465060855431e-35,0.6227275729179382,0.09164693206548691,1.4773371895153442,4.263768229338821
6,0.5517212846110352,0.8747097394404459,1.5637829039938704,0.8738265150057063,1.559857707778999,0.9458774924278259,0.06923560053110123,7.477231403504259e-32,0.5793613791465759,0.12783679366111755,1.4773371895153442,4.263768229338821
7,0.551862769817884,0.8694301761434897,1.5169561342439568,0.8670687613965646,1.5097591914785833,0.9050197601318359,0.046113286167383194,3.115795448332295e-33,0.6481126546859741,0.09219764173030853,1.4773371895153442,4.263768229338821
8,0.552035100428404,0.8617725325605475,1.5315948156591324,0.8572510814685661,1.5175390052589466,0.9935635328292847,0.09418363124132156,8.73210512459605e-32,0.503801167011261,0.15360338985919952,1.4773371895153442,4.263768229338821
9,0.5475877410015174,0.8683633524641828,1.525582642194237,0.8640292872774399,1.5119363319955854,0.9784254431724548,0.08618657290935516,3.990644671634729e-38,0.5322271585464478,0.14571943879127502,1.4773371895153442,4.263768229338821
10,0.5486135379930513,0.8492597619954294,1.4905377059587621,0.846802803824609,1.4813854475395356,0.982755720615387,0.0878499373793602,5.461977791128958e-38,0.519137978553772,0.1465965360403061,1.4773371895153442,4.263768229338821
