t,set_top1_agreement,set_top5_overlap,set_top10_overlap,set_spearman,set_kendall,control_individual_top1_agreement,control_individual_top10_overlap,control_individual_spearman
2,0.34778872215244266,0.4643881800753727,0.5196734316123468,0.8730799135382783,0.8045979546427919,1.0,1.0,0.9999999934433709
3,0.5291201163482515,0.6275798241555016,0.667991009453274,0.8816840008656371,0.8257546782282886,1.0,1.0,1.0000000125813202
4,0.6110927480663714,0.6967938123884483,0.733357572552341,0.9032624482843337,0.852779114612456,1.0,1.0,1.0000000341543638
5,0.6682091624248033,0.745699742182837,0.7780062140542745,0.9175125010980353,0.8708717867495944,1.0,1.0,0.9999999716063284
6,0.7164011370397303,0.7845838566800836,0.8117207641963873,0.9304592362230016,0.8877750728981677,1.0,1.0,0.9999999770714995
7,0.7497851523765453,0.8085410193693062,0.8349970251866653,0.9410565747947623,0.9015190228538025,1.0,1.0,0.9999999966034769
8,0.7753685463079262,0.8315330204270128,0.8543399219936906,0.9488901581696232,0.9116575469783539,1.0,1.0,1.0000000611689368
9,0.7956633833542672,0.8455344747801548,0.8665168242214976,0.9534035698485649,0.9184711258073964,1.0,1.0,0.9999999959848527
10,0.8136444767634032,0.8591392873669187,0.8775368546306912,0.9598039957804175,0.9267848508945883,1.0,1.0,0.9999999993774354
