oracle,ambiguity_bin,oracle_action_acc,regret_mean,n
individual,low,0.016781882744031428,0.460817472804895,105888
individual,medium,0.011405426895934798,0.3798607891236097,40244
individual,high,0.011288439081354613,0.4098615306793901,5138
set,low,0.018383289030116004,0.1760113859119087,98187
set,medium,0.011966476585450147,0.12470157452845627,46296
set,high,0.010755856785030205,0.11049106332148378,6787
